fonte,entities,years,values
Coal,15,1949,14656.0
Coal,15,1950,21068.0
Coal,15,1951,25648.0
Coal,15,1952,31707.998
Coal,15,1953,37949.0
Coal,15,1954,42502.0
Coal,15,1955,62288.0
Coal,15,1956,62288.0
Coal,15,1957,76944.0
Coal,15,1958,91600.0
Coal,15,1959,109920.0
Coal,15,1960,127115.0
Coal,15,1961,175872.0
Coal,15,1962,296784.0
Coal,15,1963,263808.0
Coal,15,1964,300448.0
Coal,15,1965,381056.0
Coal,15,1966,428688.0
Coal,15,1967,399376.0
Coal,15,1968,332429.0
Coal,15,1969,362736.0
Coal,15,1970,436974.0
Coal,15,1971,359072.0
Coal,15,1972,190528.0
Coal,15,1973,310745.0
Coal,15,1974,304695.0
Coal,15,1975,398689.0
Coal,15,1976,425024.0
Coal,15,1977,450672.0
Coal,15,1978,576226.0
Coal,15,1979,351744.0
Coal,15,1980,315762.0
Coal,15,1981,333424.0
Coal,15,1982,384720.0
Coal,15,1983,384720.0
Coal,15,1984,392556.0
Coal,15,1985,399794.0
Coal,15,1986,425024.0
Coal,15,1987,442824.0
Coal,15,1988,366400.0
Coal,15,1989,337088.0
Coal,15,1990,278464.0
Coal,15,1991,249627.0
Coal,15,1992,21984.0
Coal,15,1993,18320.0
Coal,15,1994,14693.0
Coal,15,1995,14656.0
Coal,15,1996,7328.0
Coal,15,1997,3664.0
Coal,15,1998,3664.0
Coal,15,1999,3664.0
Coal,15,2000,3664.0
Coal,15,2001,69616.0
Coal,15,2002,55109.0
Coal,15,2003,91813.0
Coal,15,2004,91600.0
Coal,15,2005,106256.0
Coal,15,2006,160944.0
Coal,15,2007,747456.0
Coal,15,2008,1078145.0
Coal,15,2009,1514100.0
Coal,15,2010,2246032.0
Coal,15,2011,4180624.0
Coal,15,2012,3125392.0
Coal,15,2013,3326912.0
Coal,15,2014,3705783.0
Coal,15,2015,2843264.0
Coal,15,2016,2878736.0
Coal,15,2017,3447824.0
Coal,15,2018,3847200.0
Coal,15,2019,3954767.0
Coal,15,2020,4150072.0
Coal,15,2021,4203536.0
Coal,273,1884,21984.0
Coal,273,1885,36640.0
Coal,273,1886,47632.0
Coal,273,1887,47632.0
Coal,273,1888,80608.0
Coal,273,1889,131904.0
Coal,273,1890,296784.0
Coal,273,1891,296784.0
Coal,273,1892,479984.0
Coal,273,1893,1799024.0
Coal,273,1894,2432896.0
Coal,273,1895,3337904.0
Coal,273,1896,4257568.0
Coal,273,1897,4777856.0
Coal,273,1898,6049264.0
Coal,273,1899,5517984.0
Coal,273,1900,2330304.0
Coal,273,1901,3909488.0
Coal,273,1902,5825760.0
Coal,273,1903,7895920.0
Coal,273,1904,8910848.0
Coal,273,1905,10262864.0
Coal,273,1906,11717472.0
Coal,273,1907,12930256.0
Coal,273,1908,13402912.0
Coal,273,1909,15385136.0
Coal,273,1910,17411328.0
Coal,273,1911,16854400.0
Coal,273,1912,17869328.0
Coal,273,1913,19565760.0
Coal,273,1914,19243328.0
Coal,273,1915,19514464.0
Coal,273,1916,23072208.0
Coal,273,1917,24918864.0
Coal,273,1918,23856304.0
Coal,273,1919,24750932.0
Coal,273,1920,27593584.0
Coal,273,1921,27425040.0
Coal,273,1922,23435402.0
Coal,273,1923,28571872.0
Coal,273,1924,30126222.0
Coal,273,1925,31623984.0
Coal,273,1926,33902990.0
Coal,273,1927,33269120.0
Coal,273,1928,33815056.0
Coal,273,1929,34589910.0
Coal,273,1930,32554640.0
Coal,273,1931,28307124.0
Coal,273,1932,25354880.0
Coal,273,1933,27290204.0
Coal,273,1934,31323508.0
Coal,273,1935,34742940.0
Coal,273,1936,37764850.0
Coal,273,1937,40582330.0
Coal,273,1938,42559696.0
Coal,273,1939,43957376.0
Coal,273,1940,46039320.0
Coal,273,1941,49442016.0
Coal,273,1942,54303980.0
Coal,273,1943,55236530.0
Coal,273,1944,61370588.0
Coal,273,1945,62303170.0
Coal,273,1946,62937748.0
Coal,273,1947,62414836.0
Coal,273,1948,64359092.0
Coal,273,1949,68580430.0
Coal,273,1950,68711410.0
Coal,273,1951,72305050.0
Coal,273,1952,78938616.0
Coal,273,1953,78902456.0
Coal,273,1954,81608280.0
Coal,273,1955,91598030.0
Coal,273,1956,95502344.0
Coal,273,1957,99295620.0
Coal,273,1958,103144250.0
Coal,273,1959,101675760.0
Coal,273,1960,103522300.0
Coal,273,1961,105003010.0
Coal,273,1962,106668400.0
Coal,273,1963,109186130.0
Coal,273,1964,115604430.0
Coal,273,1965,124891080.0
Coal,273,1966,123843270.0
Coal,273,1967,127101050.0
Coal,273,1968,132503540.0
Coal,273,1969,135191330.0
Coal,273,1970,140096800.0
Coal,273,1971,149906400.0
Coal,273,1972,153923520.0
Coal,273,1973,154291170.0
Coal,273,1974,157240740.0
Coal,273,1975,162187090.0
Coal,273,1976,171906350.0
Coal,273,1977,176693260.0
Coal,273,1978,178675780.0
Coal,273,1979,197362580.0
Coal,273,1980,212397550.0
Coal,273,1981,237340290.0
Coal,273,1982,250232000.0
Coal,273,1983,260943420.0
Coal,273,1984,286062720.0
Coal,273,1985,294697200.0
Coal,273,1986,305787360.0
Coal,273,1987,312517730.0
Coal,273,1988,322718820.0
Coal,273,1989,313481500.0
Coal,273,1990,295753060.0
Coal,273,1991,306500380.0
Coal,273,1992,288582240.0
Coal,273,1993,318848130.0
Coal,273,1994,330698080.0
Coal,273,1995,346862600.0
Coal,273,1996,353130200.0
Coal,273,1997,360843100.0
Coal,273,1998,355518080.0
Coal,273,1999,366536320.0
Coal,273,2000,370263420.0
Coal,273,2001,371989630.0
Coal,273,2002,361125760.0
Coal,273,2003,390897100.0
Coal,273,2004,417522050.0
Coal,273,2005,412796800.0
Coal,273,2006,419151040.0
Coal,273,2007,430315300.0
Coal,273,2008,454084100.0
Coal,273,2009,423780300.0
Coal,273,2010,429905340.0
Coal,273,2011,422730180.0
Coal,273,2012,427735600.0
Coal,273,2013,427515740.0
Coal,273,2014,441181800.0
Coal,273,2015,419172740.0
Coal,273,2016,426038370.0
Coal,273,2017,420190800.0
Coal,273,2018,418017400.0
Coal,273,2019,458767870.0
Coal,273,2020,430011260.0
Coal,273,2021,433854750.0
Coal,16,1933,0.0
Coal,16,1934,0.0
Coal,16,1935,0.0
Coal,16,1936,0.0
Coal,16,1937,0.0
Coal,16,1938,0.0
Coal,16,1939,0.0
Coal,16,1940,0.0
Coal,16,1941,0.0
Coal,16,1942,0.0
Coal,16,1943,0.0
Coal,16,1944,0.0
Coal,16,1945,0.0
Coal,16,1946,21984.0
Coal,16,1947,0.0
Coal,16,1948,7328.0
Coal,16,1949,0.0
Coal,16,1950,43432.0
Coal,16,1951,73280.0
Coal,16,1952,76197.0
Coal,16,1953,113584.0
Coal,16,1954,157552.0
Coal,16,1955,219840.0
Coal,16,1956,249152.0
Coal,16,1957,274800.0
Coal,16,1958,289456.0
Coal,16,1959,337088.0
Coal,16,1960,326096.0
Coal,16,1961,321914.0
Coal,16,1962,362736.0
Coal,16,1963,282128.0
Coal,16,1964,333424.0
Coal,16,1965,395046.0
Coal,16,1966,477005.0
Coal,16,1967,523952.0
Coal,16,1968,589904.0
Coal,16,1969,688832.0
Coal,16,1970,891225.0
Coal,16,1971,989280.0
Coal,16,1972,1080880.0
Coal,16,1973,1168816.0
Coal,16,1974,1210141.0
