fonte,entities,years,values
Gas,15,1949,0.0
Gas,15,1950,0.0
Gas,15,1951,0.0
Gas,15,1952,0.0
Gas,15,1953,0.0
Gas,15,1954,0.0
Gas,15,1955,0.0
Gas,15,1956,0.0
Gas,15,1957,0.0
Gas,15,1958,0.0
Gas,15,1959,0.0
Gas,15,1960,0.0
Gas,15,1961,0.0
Gas,15,1962,0.0
Gas,15,1963,0.0
Gas,15,1964,0.0
Gas,15,1965,0.0
Gas,15,1966,0.0
Gas,15,1967,260144.0
Gas,15,1968,347041.0
Gas,15,1969,0.0
Gas,15,1970,216651.0
Gas,15,1971,439680.0
Gas,15,1972,300448.0
Gas,15,1973,332680.0
Gas,15,1974,400141.0
Gas,15,1975,475500.0
Gas,15,1976,300448.0
Gas,15,1977,512960.03
Gas,15,1978,300959.0
Gas,15,1979,384720.0
Gas,15,1980,187254.0
Gas,15,1981,304112.0
Gas,15,1982,395712.0
Gas,15,1983,615552.0
Gas,15,1984,931863.0
Gas,15,1985,1192046.0
Gas,15,1986,1201792.0
Gas,15,1987,391588.0
Gas,15,1988,439680.0
Gas,15,1989,479984.0
Gas,15,1990,403040.0
Gas,15,1991,389125.0
Gas,15,1992,362736.0
Gas,15,1993,351744.0
Gas,15,1994,337935.0
Gas,15,1995,322432.0
Gas,15,1996,307776.0
Gas,15,1997,282128.0
Gas,15,1998,263808.0
Gas,15,1999,241824.0
Gas,15,2000,223504.0
Gas,15,2001,208848.0
Gas,15,2002,547416.0
Gas,15,2003,466408.0
Gas,15,2004,227168.0
Gas,15,2005,329760.0
Gas,15,2006,329204.0
Gas,15,2007,307776.0
Gas,15,2008,297040.0
Gas,15,2009,271291.0
Gas,15,2010,271136.0
Gas,15,2011,307776.0
Gas,15,2012,307776.0
Gas,15,2013,296784.0
Gas,15,2014,271244.0
Gas,15,2015,282128.0
Gas,15,2016,318639.0
Gas,15,2017,300448.0
Gas,15,2018,293120.0
Gas,15,2019,245569.0
Gas,15,2020,251244.02
Gas,15,2021,238847.0
Gas,273,1884,0.0
Gas,273,1885,0.0
Gas,273,1886,0.0
Gas,273,1887,0.0
Gas,273,1888,0.0
Gas,273,1889,0.0
Gas,273,1890,0.0
Gas,273,1891,0.0
Gas,273,1892,0.0
Gas,273,1893,0.0
Gas,273,1894,0.0
Gas,273,1895,0.0
Gas,273,1896,0.0
Gas,273,1897,0.0
Gas,273,1898,0.0
Gas,273,1899,0.0
Gas,273,1900,0.0
Gas,273,1901,0.0
Gas,273,1902,0.0
Gas,273,1903,0.0
Gas,273,1904,0.0
Gas,273,1905,0.0
Gas,273,1906,0.0
Gas,273,1907,0.0
Gas,273,1908,0.0
Gas,273,1909,0.0
Gas,273,1910,0.0
Gas,273,1911,0.0
Gas,273,1912,0.0
Gas,273,1913,0.0
Gas,273,1914,0.0
Gas,273,1915,0.0
Gas,273,1916,0.0
Gas,273,1917,0.0
Gas,273,1918,0.0
Gas,273,1919,0.0
Gas,273,1920,0.0
Gas,273,1921,0.0
Gas,273,1922,0.0
Gas,273,1923,0.0
Gas,273,1924,0.0
Gas,273,1925,0.0
Gas,273,1926,0.0
Gas,273,1927,0.0
Gas,273,1928,0.0
Gas,273,1929,0.0
Gas,273,1930,0.0
Gas,273,1931,0.0
Gas,273,1932,0.0
Gas,273,1933,0.0
Gas,273,1934,0.0
Gas,273,1935,0.0
Gas,273,1936,0.0
Gas,273,1937,0.0
Gas,273,1938,0.0
Gas,273,1939,109920.0
Gas,273,1940,91600.0
Gas,273,1941,98928.0
Gas,273,1942,106256.0
Gas,273,1943,117248.0
Gas,273,1944,130941.0
Gas,273,1945,135568.0
Gas,273,1946,134919.0
Gas,273,1947,135568.0
Gas,273,1948,138599.0
Gas,273,1949,139796.0
Gas,273,1950,3664.0
Gas,273,1951,3664.0
Gas,273,1952,7328.0
Gas,273,1953,14656.0
Gas,273,1954,22003.0
Gas,273,1955,21984.0
Gas,273,1956,29297.0
Gas,273,1957,21975.0
Gas,273,1958,18287.0
Gas,273,1959,34512.0
Gas,273,1960,47267.0
Gas,273,1961,498014.0
Gas,273,1962,739735.0
Gas,273,1963,718144.0
Gas,273,1964,1450996.0
Gas,273,1965,2122516.0
Gas,273,1966,2359712.0
Gas,273,1967,2318534.0
Gas,273,1968,2364020.0
Gas,273,1969,2890042.0
Gas,273,1970,816456.0
Gas,273,1971,1692644.0
Gas,273,1972,4414162.0
Gas,273,1973,5360477.0
Gas,273,1974,5111146.0
Gas,273,1975,6422434.0
Gas,273,1976,8885064.0
Gas,273,1977,13669397.0
Gas,273,1978,34434260.0
Gas,273,1979,19657064.0
Gas,273,1980,34631890.0
Gas,273,1981,29401288.0
Gas,273,1982,23984876.0
Gas,273,1983,30430676.0
Gas,273,1984,47570148.0
Gas,273,1985,48848144.0
Gas,273,1986,58356932.0
Gas,273,1987,67871910.0
Gas,273,1988,68951960.0
Gas,273,1989,71402780.0
Gas,273,1990,75954400.0
Gas,273,1991,78465950.0
Gas,273,1992,74272820.0
Gas,273,1993,81721840.0
Gas,273,1994,85588376.0
Gas,273,1995,101556504.0
Gas,273,1996,108019270.0
Gas,273,1997,95205190.0
Gas,273,1998,112711800.0
Gas,273,1999,114376710.0
Gas,273,2000,114349780.0
Gas,273,2001,120125510.0
Gas,273,2002,134354850.0
Gas,273,2003,145781020.0
Gas,273,2004,152687410.0
Gas,273,2005,183636590.0
Gas,273,2006,179342960.0
Gas,273,2007,192322740.0
Gas,273,2008,195080460.0
Gas,273,2009,191714060.0
Gas,273,2010,201907870.0
Gas,273,2011,221726270.0
Gas,273,2012,234033900.0
Gas,273,2013,236611740.0
Gas,273,2014,239098080.0
Gas,273,2015,253875410.0
Gas,273,2016,269763140.0
Gas,273,2017,284338660.0
Gas,273,2018,287462300.0
Gas,273,2019,308338430.0
Gas,273,2020,305151840.0
Gas,273,2021,326296350.0
Gas,16,1933,0.0
Gas,16,1934,0.0
Gas,16,1935,0.0
Gas,16,1936,0.0
