fonte,entities,years,values
Oil,15,1949,0.0
Oil,15,1950,63203.996
Oil,15,1951,65952.0
Oil,15,1952,59892.0
Oil,15,1953,68307.0
Oil,15,1954,63754.0
Oil,15,1955,91600.0
Oil,15,1956,120912.0
Oil,15,1957,216176.0
Oil,15,1958,238160.0
Oil,15,1959,256480.02
Oil,15,1960,268758.0
Oil,15,1961,293120.0
Oil,15,1962,362736.0
Oil,15,1963,392048.0
Oil,15,1964,476320.0
Oil,15,1965,542272.0
Oil,15,1966,575248.0
Oil,15,1967,556928.0
Oil,15,1968,496817.0
Oil,15,1969,527616.0
Oil,15,1970,671986.0
Oil,15,1971,747456.0
Oil,15,1972,626544.0
Oil,15,1973,701918.0
Oil,15,1974,770914.0
Oil,15,1975,874189.0
Oil,15,1976,883024.0
Oil,15,1977,974624.0
Oil,15,1978,935909.0
Oil,15,1979,1165152.0
Oil,15,1980,925256.0
Oil,15,1981,1014928.0
Oil,15,1982,992944.0
Oil,15,1983,1220112.0
Oil,15,1984,1133644.0
Oil,15,1985,1547825.0
Oil,15,1986,1139504.0
Oil,15,1987,2012837.9
Oil,15,1988,1821008.0
Oil,15,1989,1864976.0
Oil,15,1990,1271408.0
Oil,15,1991,1204085.0
Oil,15,1992,1029584.06
Oil,15,1993,1047904.0
Oil,15,1994,1032171.0
Oil,15,1995,1011263.94
Oil,15,1996,985616.0
Oil,15,1997,948976.0
Oil,15,1998,941648.0
Oil,15,1999,776768.0
Oil,15,2000,787760.0
Oil,15,2001,762112.0
Oil,15,2002,727438.0
Oil,15,2003,991575.0
Oil,15,2004,908672.0
Oil,15,2005,1447280.0
Oil,15,2006,1656993.0
Oil,15,2007,1733072.0
Oil,15,2008,2864051.0
Oil,15,2009,4593624.0
Oil,15,2010,5833088.0
Oil,15,2011,7335328.0
Oil,15,2012,6573216.0
Oil,15,2013,5591264.0
Oil,15,2014,5164638.0
Oil,15,2015,6624512.0
Oil,15,2016,5794097.0
Oil,15,2017,6074912.0
Oil,15,2018,6620848.0
Oil,15,2019,6842956.0
Oil,15,2020,7219776.0
Oil,15,2021,7419570.0
Oil,273,1884,0.0
Oil,273,1885,0.0
Oil,273,1886,0.0
Oil,273,1887,0.0
Oil,273,1888,0.0
Oil,273,1889,0.0
Oil,273,1890,0.0
Oil,273,1891,0.0
Oil,273,1892,0.0
Oil,273,1893,0.0
Oil,273,1894,0.0
Oil,273,1895,0.0
Oil,273,1896,0.0
Oil,273,1897,0.0
Oil,273,1898,0.0
Oil,273,1899,0.0
Oil,273,1900,0.0
Oil,273,1901,0.0
Oil,273,1902,0.0
Oil,273,1903,0.0
Oil,273,1904,0.0
Oil,273,1905,0.0
Oil,273,1906,0.0
Oil,273,1907,0.0
Oil,273,1908,0.0
Oil,273,1909,0.0
Oil,273,1910,0.0
Oil,273,1911,10992.0
Oil,273,1912,84272.0
Oil,273,1913,40304.0
Oil,273,1914,307776.0
Oil,273,1915,91600.0
Oil,273,1916,183200.0
Oil,273,1917,425024.0
Oil,273,1918,868368.0
Oil,273,1919,691885.0
Oil,273,1920,458000.0
Oil,273,1921,560592.0
Oil,273,1922,534486.0
Oil,273,1923,472656.0
Oil,273,1924,504818.0
Oil,273,1925,560592.0
Oil,273,1926,534944.0
Oil,273,1927,571584.0
Oil,273,1928,827878.0
Oil,273,1929,845906.0
Oil,273,1930,879897.0
Oil,273,1931,890493.0
Oil,273,1932,835392.0
Oil,273,1933,736464.0
Oil,273,1934,681504.0
Oil,273,1935,556928.0
Oil,273,1936,560592.0
Oil,273,1937,534944.0
Oil,273,1938,703488.0
Oil,273,1939,2055811.1
Oil,273,1940,2865248.0
Oil,273,1941,3762928.0
Oil,273,1942,3642181.0
Oil,273,1943,3957120.0
Oil,273,1944,4162455.2
Oil,273,1945,4151311.8
Oil,273,1946,3942406.0
Oil,273,1947,4103632.0
Oil,273,1948,5811104.0
Oil,273,1949,7071520.0
Oil,273,1950,22722880.0
Oil,273,1951,25284406.0
Oil,273,1952,27609180.0
Oil,273,1953,29242204.0
Oil,273,1954,31485828.0
Oil,273,1955,33029636.0
Oil,273,1956,34460790.0
Oil,273,1957,36954676.0
Oil,273,1958,41153348.0
Oil,273,1959,42011380.0
Oil,273,1960,48671584.0
Oil,273,1961,52277100.0
Oil,273,1962,54557344.0
Oil,273,1963,60599070.0
Oil,273,1964,69513570.0
Oil,273,1965,76131740.0
Oil,273,1966,84024110.0
Oil,273,1967,81110500.0
Oil,273,1968,86207640.0
Oil,273,1969,93837360.0
Oil,273,1970,98498440.0
Oil,273,1971,115385500.0
Oil,273,1972,119489350.0
Oil,273,1973,128435270.0
Oil,273,1974,134347340.0
Oil,273,1975,143982240.0
Oil,273,1976,151079460.0
Oil,273,1977,160014620.0
Oil,273,1978,165874190.0
Oil,273,1979,181782130.0
Oil,273,1980,198541260.0
Oil,273,1981,214145840.0
Oil,273,1982,236400930.0
Oil,273,1983,244078050.0
Oil,273,1984,251662990.0
Oil,273,1985,252614400.0
Oil,273,1986,255195410.0
Oil,273,1987,245605330.0
Oil,273,1988,263569460.0
Oil,273,1989,269745540.0
Oil,273,1990,244036480.0
Oil,273,1991,258805470.0
Oil,273,1992,257537840.0
Oil,273,1993,261817680.0
Oil,273,1994,256322990.0
Oil,273,1995,272345200.0
Oil,273,1996,270778180.0
Oil,273,1997,305256700.0
Oil,273,1998,317747040.0
Oil,273,1999,295761730.0
Oil,273,2000,315197630.0
Oil,273,2001,301074240.0
Oil,273,2002,290391870.0
Oil,273,2003,328521440.0
Oil,273,2004,351535420.0
Oil,273,2005,343372540.0
Oil,273,2006,372377630.0
Oil,273,2007,384250340.0
Oil,273,2008,408404100.0
Oil,273,2009,437761630.0
Oil,273,2010,459295740.0
Oil,273,2011,489684960.0
Oil,273,2012,469763550.0
Oil,273,2013,477485500.0
Oil,273,2014,540660200.0
Oil,273,2015,519220160.0
Oil,273,2016,532382200.0
Oil,273,2017,537400400.0
Oil,273,2018,521562460.0
Oil,273,2019,559950850.0
Oil,273,2020,517393660.0
Oil,273,2021,556611650.0
Oil,16,1933,7328.0
Oil,16,1934,7328.0
Oil,16,1935,18320.0
Oil,16,1936,124576.0
Oil,16,1937,289456.0
Oil,16,1938,348080.0
Oil,16,1939,432352.0
Oil,16,1940,692496.0
Oil,16,1941,619216.0
Oil,16,1942,743792.0
Oil,16,1943,461664.0
Oil,16,1944,153888.0
Oil,16,1945,120912.0
Oil,16,1946,461664.0
Oil,16,1947,926992.0
Oil,16,1948,696160.0
Oil,16,1949,1014928.0
Oil,16,1950,246114.0
Oil,16,1951,311440.0
Oil,16,1952,279389.0
Oil,16,1953,274800.0
Oil,16,1954,307776.0
Oil,16,1955,384720.0
Oil,16,1956,509296.0
Oil,16,1957,1135840.0
Oil,16,1958,806080.0
Oil,16,1959,992944.0
Oil,16,1960,1575520.0
Oil,16,1961,1814427.0
Oil,16,1962,1956576.0
Oil,16,1963,1648800.0
Oil,16,1964,1535216.0
Oil,16,1965,1620419.0
Oil,16,1966,1900683.0
Oil,16,1967,1916272.0
Oil,16,1968,2183744.0
Oil,16,1969,2220384.0
Oil,16,1970,2482960.0
Oil,16,1971,2938528.0
Oil,16,1972,4081696.0
Oil,16,1973,3495456.0
Oil,16,1974,2423950.0
Oil,16,1975,2454880.0
Oil,16,1976,2654702.0
Oil,16,1977,2943969.0
Oil,16,1978,3284799.0
Oil,16,1979,3772097.0
Oil,16,1980,1571856.0
Oil,16,1981,3493711.0
Oil,16,1982,3143712.0
Oil,16,1983,3129056.0
Oil,16,1984,2945856.0
