Entity,Code,Year,Coal Consumption - TWh
Africa,,1965,323.49612
Africa,,1966,323.1222
Africa,,1967,330.29156
Africa,,1968,343.5129
Africa,,1969,346.64294
Africa,,1970,360.7569
Africa,,1971,383.01233
Africa,,1972,384.21082
Africa,,1973,408.91034
Africa,,1974,425.6462
Africa,,1975,451.0805
Africa,,1976,481.07416
Africa,,1977,491.69846
Africa,,1978,477.81558
Africa,,1979,507.24698
Africa,,1980,543.55707
Africa,,1981,635.79877
Africa,,1982,701.1759
Africa,,1983,713.24603
Africa,,1984,762.8978
Africa,,1985,787.1659
Africa,,1986,805.3561
Africa,,1987,828.3197
Africa,,1988,890.16077
Africa,,1989,835.62085
Africa,,1990,877.6783
Africa,,1991,853.76215
Africa,,1992,858.8312
Africa,,1993,871.7139
Africa,,1994,894.4478
Africa,,1995,922.47125
Africa,,1996,935.2283
Africa,,1997,959.0191
Africa,,1998,937.03894
Africa,,1999,966.0107
Africa,,2000,963.7306
Africa,,2001,975.9263
Africa,,2002,934.4216
Africa,,2003,1017.04846
Africa,,2004,1119.1619
Africa,,2005,1039.0726
Africa,,2006,1054097
Africa,,2007,1071.6333
Africa,,2008,1180.7251
Africa,,2009,1176.0021
Africa,,2010,1164.8401
Africa,,2011,1147.2993
Africa,,2012,1118487
Africa,,2013,1130.1606
Africa,,2014,1183806
Africa,,2015,1119.0386
Africa,,2016,1186288
Africa,,2017,1185.0671
Africa,,2018,1163.5999
Africa,,2019,1231.3168
Africa,,2020,1157.9011
Africa,,2021,1168.7407
Africa (BP),,1965,323.49612
Africa (BP),,1966,323.1222
Africa (BP),,1967,330.2916
Africa (BP),,1968,343.5129
Africa (BP),,1969,346.6429
Africa (BP),,1970,360.7569
Africa (BP),,1971,383.01233
Africa (BP),,1972,384.21082
Africa (BP),,1973,408.91034
Africa (BP),,1974,425.64624
Africa (BP),,1975,451.0805
Africa (BP),,1976,481.07416
Africa (BP),,1977,491.69846
Africa (BP),,1978,477.81558
Africa (BP),,1979,507247
Africa (BP),,1980,543.55707
Africa (BP),,1981,635.79877
Africa (BP),,1982,701.1759
Africa (BP),,1983,713.24603
Africa (BP),,1984,762.8979
Africa (BP),,1985,787.1659
Africa (BP),,1986,805.3561
Africa (BP),,1987,828.3197
Africa (BP),,1988,890.1608
Africa (BP),,1989,835.62085
Africa (BP),,1990,877.6782
Africa (BP),,1991,853.76215
Africa (BP),,1992,858.8312
Africa (BP),,1993,871.7139
Africa (BP),,1994,894.4478
Africa (BP),,1995,922.47125
Africa (BP),,1996,935.2282
Africa (BP),,1997,959.0191
Africa (BP),,1998,937.03894
Africa (BP),,1999,966.01074
Africa (BP),,2000,963.7305
Africa (BP),,2001,975.9263
Africa (BP),,2002,934.4216
Africa (BP),,2003,1017.04846
Africa (BP),,2004,1119.1617
Africa (BP),,2005,1039.0726
Africa (BP),,2006,1054097
Africa (BP),,2007,1071.6333
Africa (BP),,2008,1180725
Africa (BP),,2009,1176.0021
Africa (BP),,2010,1164.8401
Africa (BP),,2011,1147.2993
Africa (BP),,2012,1118.4869
Africa (BP),,2013,1130.1606
Africa (BP),,2014,1183.8062
Africa (BP),,2015,1119.0386
Africa (BP),,2016,1186288
Africa (BP),,2017,1185.0671
Africa (BP),,2018,1163.5999
Africa (BP),,2019,1231.3169
Africa (BP),,2020,1157.9011
Africa (BP),,2021,1168.7406
Algeria,DZA,1965,0.8141
Algeria,DZA,1966,0.79084
Algeria,DZA,1967,0.60476
Algeria,DZA,1968,0.63965
Algeria,DZA,1969,0.8141
Algeria,DZA,1970,0.96529
Algeria,DZA,1971,0.26749
Algeria,DZA,1972,0.2326
Algeria,DZA,1973,0.26749
Algeria,DZA,1974,0.22097
Algeria,DZA,1975,0.27912
Algeria,DZA,1976,0.54661
Algeria,DZA,1977,0.70943
Algeria,DZA,1978,0.36053
Algeria,DZA,1979,0.83736
Algeria,DZA,1980,0.74432
Algeria,DZA,1981,0.52335
Algeria,DZA,1982,9.71105
Algeria,DZA,1983,8.66435
Algeria,DZA,1984,9.60638
Algeria,DZA,1985,10.02506
Algeria,DZA,1986,10.29255
Algeria,DZA,1987,12.30454
Algeria,DZA,1988,11.57185
Algeria,DZA,1989,9.78083
Algeria,DZA,1990,7.66417
Algeria,DZA,1991,7.9084
Algeria,DZA,1992,9.39704
Algeria,DZA,1993,7.65254
Algeria,DZA,1994,7.2106
Algeria,DZA,1995,7.2106
Algeria,DZA,1996,3.39596
Algeria,DZA,1997,5.95456
Algeria,DZA,1998,6.37324
Algeria,DZA,1999,6.82681
Algeria,DZA,2000,5.64055
Algeria,DZA,2001,6.5128
Algeria,DZA,2002,8.54805
Algeria,DZA,2003,7.04778
Algeria,DZA,2004,8.40849
Algeria,DZA,2005,6.90822
Algeria,DZA,2006,10.25766
Algeria,DZA,2007,8.80391
Algeria,DZA,2008,8.80391
Algeria,DZA,2009,5.65218
Algeria,DZA,2010,3.6053
Algeria,DZA,2011,3.19825
Algeria,DZA,2012,3.39596
Algeria,DZA,2013,1.83754
Algeria,DZA,2014,2.08177
Algeria,DZA,2015,1.54679
Algeria,DZA,2016,0.56987
