Entity,Code,Year,Gas Consumption - TWh
Africa,,1965,9.543755
Africa,,1966,10.669916
Africa,,1967,10.54567
Africa,,1968,10.68897
Africa,,1969,12492
Africa,,1970,15.520325
Africa,,1971,18.405264
Africa,,1972,24.670656
Africa,,1973,39.551792
Africa,,1974,44.518486
Africa,,1975,53.63838
Africa,,1976,60.98139
Africa,,1977,68.23419
Africa,,1978,97.3699
Africa,,1979,148.84282
Africa,,1980,186.91399
Africa,,1981,228.49117
Africa,,1982,246.73355
Africa,,1983,271.27533
Africa,,1984,259.90277
Africa,,1985,278.84274
Africa,,1986,313.2712
Africa,,1987,323.38437
Africa,,1988,358.44455
Africa,,1989,371.47104
Africa,,1990,398.6454
Africa,,1991,401.6356
Africa,,1992,421.27026
Africa,,1993,412.64398
Africa,,1994,431.82794
Africa,,1995,461.2435
Africa,,1996,484.19177
Africa,,1997,474.47552
Africa,,1998,499.33698
Africa,,1999,504.01962
Africa,,2000,556.8224
Africa,,2001,634.63617
Africa,,2002,670.6054
Africa,,2003,711.5067
Africa,,2004,783.0682
Africa,,2005,807.7816
Africa,,2006,843.4421
Africa,,2007,900.0697
Africa,,2008,935.1621
Africa,,2009,940.86066
Africa,,2010,980.7318
Africa,,2011,1060527
Africa,,2012,1146.7704
Africa,,2013,1169.7455
Africa,,2014,1202.32
Africa,,2015,1325.3599
Africa,,2016,1370.4951
Africa,,2017,1448.7449
Africa,,2018,1543.5508
Africa,,2019,1549.7299
Africa,,2020,1535.9724
Africa,,2021,1643.8152
Africa (BP),,1965,9.543755
Africa (BP),,1966,10.669916
Africa (BP),,1967,10.54567
Africa (BP),,1968,10.68897
Africa (BP),,1969,12492
Africa (BP),,1970,15.520325
Africa (BP),,1971,18.405264
Africa (BP),,1972,24.670656
Africa (BP),,1973,39.551792
Africa (BP),,1974,44.518486
Africa (BP),,1975,53.63838
Africa (BP),,1976,60.98139
Africa (BP),,1977,68.23419
Africa (BP),,1978,97.369896
Africa (BP),,1979,148.84282
Africa (BP),,1980,186.91397
Africa (BP),,1981,228.49115
Africa (BP),,1982,246.73355
Africa (BP),,1983,271.27536
Africa (BP),,1984,259.90277
Africa (BP),,1985,278.84274
Africa (BP),,1986,313.2712
Africa (BP),,1987,323.38437
Africa (BP),,1988,358.44455
Africa (BP),,1989,371.47104
Africa (BP),,1990,398.6454
Africa (BP),,1991,401.6356
Africa (BP),,1992,421.27026
Africa (BP),,1993,412.64398
Africa (BP),,1994,431.82794
Africa (BP),,1995,461.2435
Africa (BP),,1996,484.19174
Africa (BP),,1997,474.47552
Africa (BP),,1998,499337
Africa (BP),,1999,504.0196
Africa (BP),,2000,556.8223
Africa (BP),,2001,634.63617
Africa (BP),,2002,670.60535
Africa (BP),,2003,711.5067
Africa (BP),,2004,783.06824
Africa (BP),,2005,807.7816
Africa (BP),,2006,843.4421
Africa (BP),,2007,900.0697
Africa (BP),,2008,935.1621
Africa (BP),,2009,940.86066
Africa (BP),,2010,980.7318
Africa (BP),,2011,1060527
Africa (BP),,2012,1146.7704
Africa (BP),,2013,1169.7455
Africa (BP),,2014,1202.32
Africa (BP),,2015,1325.3599
Africa (BP),,2016,1370.4951
Africa (BP),,2017,1448.7448
Africa (BP),,2018,1543.5508
Africa (BP),,2019,1549.7299
Africa (BP),,2020,1535.9724
Africa (BP),,2021,1643.8151
Algeria,DZA,1965,7.4305
Algeria,DZA,1966,7.71925
Algeria,DZA,1967,7.48825
Algeria,DZA,1968,7.87325
Algeria,DZA,1969,10.351687
Algeria,DZA,1970,9.730875
Algeria,DZA,1971,11.0495
Algeria,DZA,1972,12.830125
Algeria,DZA,1973,17.859188
Algeria,DZA,1974,20.6745
Algeria,DZA,1975,28.49
Algeria,DZA,1976,33.6875
Algeria,DZA,1977,35.90125
Algeria,DZA,1978,57.65375
Algeria,DZA,1979,81.52375
Algeria,DZA,1980,109.43625
Algeria,DZA,1981,142.2575
Algeria,DZA,1982,161.41125
Algeria,DZA,1983,176715
Algeria,DZA,1984,155.25125
Algeria,DZA,1985,153.8075
Algeria,DZA,1986,168.4375
Algeria,DZA,1987,172.2875
Algeria,DZA,1988,194.13625
Algeria,DZA,1989,182.6825
Algeria,DZA,1990,195.09875
Algeria,DZA,1991,192.6925
Algeria,DZA,1992,198.94875
Algeria,DZA,1993,178.54375
Algeria,DZA,1994,188.16875
Algeria,DZA,1995,202.22125
Algeria,DZA,1996,207.7075
Algeria,DZA,1997,194.04
Algeria,DZA,1998,200.68124
Algeria,DZA,1999,205.10875
Algeria,DZA,2000,191.01294
Algeria,DZA,2001,197.32213
Algeria,DZA,2002,194.83888
Algeria,DZA,2003,205.93169
Algeria,DZA,2004,211.89919
Algeria,DZA,2005,223.55988
Algeria,DZA,2006,228.4975
Algeria,DZA,2007,233.80681
Algeria,DZA,2008,244.04187
Algeria,DZA,2009,262.1176
Algeria,DZA,2010,253.27225
Algeria,DZA,2011,267.96964
Algeria,DZA,2012,298.74075
Algeria,DZA,2013,321.21512
Algeria,DZA,2014,360.91824
Algeria,DZA,2015,379225
Algeria,DZA,2016,385.9625
Algeria,DZA,2017,394625
Algeria,DZA,2018,434.0875
Algeria,DZA,2019,450.54626
Algeria,DZA,2020,436.0125
Algeria,DZA,2021,458.15
Argentina,ARG,1965,41234
Argentina,ARG,1966,44.6572
Argentina,ARG,1967,46.69945
Argentina,ARG,1968,51.999577
Argentina,ARG,1969,51.805077
Argentina,ARG,1970,58.5445
Argentina,ARG,1971,63.202774
Argentina,ARG,1972,70.92442
Argentina,ARG,1973,80.70777
Argentina,ARG,1974,85.4244
Argentina,ARG,1975,87525
Argentina,ARG,1976,98.51425
Argentina,ARG,1977,102.8905
Argentina,ARG,1978,100.07025
Argentina,ARG,1979,102.8905
Argentina,ARG,1980,112.12925
Argentina,ARG,1981,117.18625
Argentina,ARG,1982,133.13525
Argentina,ARG,1983,143152
Argentina,ARG,1984,152.39075
Argentina,ARG,1985,155.69725
Argentina,ARG,1986,168.2425
Argentina,ARG,1987,168.33975
Argentina,ARG,1988,196.6395
Argentina,ARG,1989,206559
Argentina,ARG,1990,197.32025
Argentina,ARG,1991,200.9185
Argentina,ARG,1992,217.2565
Argentina,ARG,1993,229.41275
Argentina,ARG,1994,235.83125
Argentina,ARG,1995,262.47775
Argentina,ARG,1996,301.18326
Argentina,ARG,1997,277.5515
Argentina,ARG,1998,296.70975
Argentina,ARG,1999,314701
Argentina,ARG,2000,322.96725
Argentina,ARG,2001,302.35025
Argentina,ARG,2002,294.37576
Argentina,ARG,2003,336.2905
Argentina,ARG,2004,368.09125
Argentina,ARG,2005,392.89
Argentina,ARG,2006,406505
Argentina,ARG,2007,427122
Argentina,ARG,2008,431.88724
Argentina,ARG,2009,418.3556
Argentina,ARG,2010,420.87418
Argentina,ARG,2011,438.3979
Argentina,ARG,2012,456.6421
Argentina,ARG,2013,460.2769
Argentina,ARG,2014,461.5498
Argentina,ARG,2015,466.5257
Argentina,ARG,2016,482.1001
Argentina,ARG,2017,483.00027
Argentina,ARG,2018,487.02142
Argentina,ARG,2019,465.58917
Argentina,ARG,2020,439.31244
Argentina,ARG,2021,459.35156
Asia,,1965,94.07477
Asia,,1966,108.526505
Asia,,1967,126.21153
Asia,,1968,148.64937
Asia,,1969,183.48022
Asia,,1970,218.33952
Asia,,1971,249.01793
Asia,,1972,276.8143
Asia,,1973,338.35718
Asia,,1974,400.5083
Asia,,1975,459.15836
Asia,,1976,511.23123
Asia,,1977,619.9296
Asia,,1978,733.8872
Asia,,1979,894.3802
Asia,,1980,932.26654
Asia,,1981,957.2914
Asia,,1982,1022.4517
Asia,,1983,1100.3403
Asia,,1984,1353.0009
Asia,,1985,2157.7722
Asia,,1986,2427474
Asia,,1987,2586.5667
Asia,,1988,2777.1804
Asia,,1989,3012.6296
Asia,,1990,3132374
Asia,,1991,3316262
Asia,,1992,3529.3804
Asia,,1993,3513.7263
Asia,,1994,3796.9973
Asia,,1995,4033.9578
Asia,,1996,4316743
Asia,,1997,4538378
Asia,,1998,4738892
Asia,,1999,5115055
Asia,,2000,5395233
Asia,,2001,5743.8115
Asia,,2002,6074999
Asia,,2003,6503.45
Asia,,2004,6988.3374
Asia,,2005,7521.4087
Asia,,2006,7977.54
Asia,,2007,8605575
Asia,,2008,9200066
Asia,,2009,9460394
Asia,,2010,10398672
Asia,,2011,11160103
Asia,,2012,11738725
Asia,,2013,12044907
Asia,,2014,12535039
Asia,,2015,12983826
Asia,,2016,13336904
Asia,,2017,13976306
Asia,,2018,14723519
Asia,,2019,15092289
Asia,,2020,15312.18
Asia,,2021,16249497
Asia Pacific (BP),,1965,56.231968
Asia Pacific (BP),,1966,62.38925
Asia Pacific (BP),,1967,71.39151
Asia Pacific (BP),,1968,77.81803
Asia Pacific (BP),,1969,102.600426
Asia Pacific (BP),,1970,142.32472
Asia Pacific (BP),,1971,170.55856
Asia Pacific (BP),,1972,196.7801
Asia Pacific (BP),,1973,243.52914
Asia Pacific (BP),,1974,305.92618
Asia Pacific (BP),,1975,349.8788
Asia Pacific (BP),,1976,405.0799
Asia Pacific (BP),,1977,498.98422
Asia Pacific (BP),,1978,598111
Asia Pacific (BP),,1979,683.5137
Asia Pacific (BP),,1980,734.6105
Asia Pacific (BP),,1981,744.45795
Asia Pacific (BP),,1982,774.53735
Asia Pacific (BP),,1983,855.2932
Asia Pacific (BP),,1984,1000.5268
Asia Pacific (BP),,1985,1087.1436
Asia Pacific (BP),,1986,1186.6627
Asia Pacific (BP),,1987,1259.7146
Asia Pacific (BP),,1988,1343.3666
Asia Pacific (BP),,1989,1405.8042
Asia Pacific (BP),,1990,1516671
Asia Pacific (BP),,1991,1664.5177
Asia Pacific (BP),,1992,1777.8474
Asia Pacific (BP),,1993,1862.8564
Asia Pacific (BP),,1994,2028.1571
Asia Pacific (BP),,1995,2124306
Asia Pacific (BP),,1996,2319488
Asia Pacific (BP),,1997,2506.7385
Asia Pacific (BP),,1998,2563.8523
Asia Pacific (BP),,1999,2768.8025
