Entity,Code,Year,Renewables (TWh - equivalent)
Africa,,1965,41.118813
Africa,,1966,45.86292
Africa,,1967,47.875538
Africa,,1968,56.00047
Africa,,1969,65.35209
Africa,,1970,81.70288
Africa,,1971,77.44483
Africa,,1972,88.15176
Africa,,1973,93.23159
Africa,,1974,106.02579
Africa,,1975,112.08069
Africa,,1976,124.1857
Africa,,1977,136.41418
Africa,,1978,137.55159
Africa,,1979,147.20549
Africa,,1980,143.51822
Africa,,1981,149.11578
Africa,,1982,149.21266
Africa,,1983,134.52957
Africa,,1984,132.30334
Africa,,1985,147.08089
Africa,,1986,153.20944
Africa,,1987,147.03255
Africa,,1988,160.35904
Africa,,1989,168.26318
Africa,,1990,171.72678
Africa,,1991,181.8325
Africa,,1992,173.68442
Africa,,1993,170.51233
Africa,,1994,172.8998
Africa,,1995,179.86812
Africa,,1996,188.1668
Africa,,1997,193.12903
Africa,,1998,202.4394
Africa,,1999,214.34258
Africa,,2000,230.1742
Africa,,2001,246.1166
Africa,,2002,256.6696
Africa,,2003,249.13718
Africa,,2004,262.70853
Africa,,2005,265.86
Africa,,2006,276.00446
Africa,,2007,281.75714
Africa,,2008,286.28897
Africa,,2009,293.45267
Africa,,2010,317.1091
Africa,,2011,325.29272
Africa,,2012,326.64407
Africa,,2013,345.71643
Africa,,2014,370.72437
Africa,,2015,377.18365
Africa,,2016,378.97818
Africa,,2017,411.37933
Africa,,2018,444.38046
Africa,,2019,475.35547
Africa,,2020,504.88995
Africa,,2021,530.74036
Africa (BP),,1965,41.118813
Africa (BP),,1966,45.86291
Africa (BP),,1967,47.875538
Africa (BP),,1968,56.000465
Africa (BP),,1969,65.35209
Africa (BP),,1970,81.70288
Africa (BP),,1971,77.44483
Africa (BP),,1972,88.15176
Africa (BP),,1973,93.2316
Africa (BP),,1974,106.02579
Africa (BP),,1975,112.08069
Africa (BP),,1976,124.1857
Africa (BP),,1977,136.41418
Africa (BP),,1978,137.55159
Africa (BP),,1979,147.20549
Africa (BP),,1980,143.51822
Africa (BP),,1981,149.11578
Africa (BP),,1982,149.21266
Africa (BP),,1983,134.52957
Africa (BP),,1984,132.30334
Africa (BP),,1985,147.08089
Africa (BP),,1986,153.20944
Africa (BP),,1987,147.03255
Africa (BP),,1988,160.35902
Africa (BP),,1989,168.26318
Africa (BP),,1990,171.72678
Africa (BP),,1991,181.83252
Africa (BP),,1992,173.68442
Africa (BP),,1993,170.51233
Africa (BP),,1994,172.8998
Africa (BP),,1995,179.86813
Africa (BP),,1996,188.1668
Africa (BP),,1997,193.12904
Africa (BP),,1998,202.4394
Africa (BP),,1999,214.34258
Africa (BP),,2000,230.1742
Africa (BP),,2001,246.11658
Africa (BP),,2002,257.16046
Africa (BP),,2003,249.67854
Africa (BP),,2004,263.34528
Africa (BP),,2005,266.10287
Africa (BP),,2006,276.07675
Africa (BP),,2007,282.54834
Africa (BP),,2008,286.89908
Africa (BP),,2009,293.79294
Africa (BP),,2010,317.3199
Africa (BP),,2011,325.79742
Africa (BP),,2012,327.25082
Africa (BP),,2013,346.30502
Africa (BP),,2014,371.29285
Africa (BP),,2015,377.8981
Africa (BP),,2016,379617
Africa (BP),,2017,412.00797
Africa (BP),,2018,445.3587
Africa (BP),,2019,476.19922
Africa (BP),,2020,505.9275
Africa (BP),,2021,531.80133
Algeria,DZA,1965,1.1827958
Algeria,DZA,1966,1.0497311
Algeria,DZA,1967,1.2123655
Algeria,DZA,1968,1.664785
Algeria,DZA,1969,1.067473
Algeria,DZA,1970,1.7150539
Algeria,DZA,1971,0.97580636
Algeria,DZA,1972,1.4637097
Algeria,DZA,1973,2.2236557
Algeria,DZA,1974,1.4696236
Algeria,DZA,1975,0.9698925
Algeria,DZA,1976,1.1502688
Algeria,DZA,1977,0.79543
Algeria,DZA,1978,0.73924726
Algeria,DZA,1979,0.8604839
Algeria,DZA,1980,0.75994605
Algeria,DZA,1981,1.0822581
Algeria,DZA,1982,1.4163978
Algeria,DZA,1983,0.69489247
Algeria,DZA,1984,1.336559
Algeria,DZA,1985,1.910215
Algeria,DZA,1986,0.73924726
Algeria,DZA,1987,1.4755375
Algeria,DZA,1988,0.5411292
Algeria,DZA,1989,0.6682794
Algeria,DZA,1990,0.39919358
Algeria,DZA,1991,0.86639774
Algeria,DZA,1992,0.58844084
Algeria,DZA,1993,1.0438172
Algeria,DZA,1994,0.49086028
Algeria,DZA,1995,0.57069886
Algeria,DZA,1996,0.39919358
Algeria,DZA,1997,0.22177416
Algeria,DZA,1998,0.6357528
Algeria,DZA,1999,0.6002689
Algeria,DZA,2000,0.1596775
Algeria,DZA,2001,0.2027075
Algeria,DZA,2002,0.16637361
Algeria,DZA,2003,0.76853275
Algeria,DZA,2004,0.72329473
Algeria,DZA,2005,1.5900536
Algeria,DZA,2006,0.61916
Algeria,DZA,2007,0.63904226
Algeria,DZA,2008,0.79524636
Algeria,DZA,2009,0.9551075
Algeria,DZA,2010,0.5054253
Algeria,DZA,2011,1.0927546
Algeria,DZA,2012,1.1398855
Algeria,DZA,2013,0.34776333
Algeria,DZA,2014,0.68811
Algeria,DZA,2015,0.59784
Algeria,DZA,2016,0.8996238
Algeria,DZA,2017,1.5408869
Algeria,DZA,2018,1.9313679
Algeria,DZA,2019,2.048152
Algeria,DZA,2020,1.949494
Algeria,DZA,2021,1.7892791
Argentina,ARG,1965,3.6226554
Argentina,ARG,1966,3.6694171
Argentina,ARG,1967,3.7574394
Argentina,ARG,1968,4.428607
Argentina,ARG,1969,3.971993
Argentina,ARG,1970,4.783944
Argentina,ARG,1971,4.760254
Argentina,ARG,1972,4.6860037
Argentina,ARG,1973,9.054804
Argentina,ARG,1974,14.963899
Argentina,ARG,1975,15.565163
Argentina,ARG,1976,15.023618
Argentina,ARG,1977,17.256618
Argentina,ARG,1978,23.110882
Argentina,ARG,1979,31.815584
