fonte,entities,years,values
Coal,367191,2000,71.03
Coal,367191,2001,80.02
Coal,367191,2002,87.16
Coal,367191,2003,98.51
Coal,367191,2004,111.62
Coal,367191,2005,122.39
Coal,367191,2006,135.26
Coal,367191,2007,152.04
Coal,367191,2008,149.68
Coal,367191,2009,160.27
Coal,367191,2010,182.44
Coal,367191,2011,205.73
Coal,367191,2012,234.36
Coal,367191,2013,248.09
Coal,367191,2014,272.59
Coal,367191,2015,306.49
Coal,367191,2016,349.37
Coal,367191,2017,366.93
Coal,367191,2018,412.58
Coal,367191,2019,463.35
Coal,367191,2020,480.26
Coal,367191,2021,486.15
Coal,367191,2022,487.16
Coal,15,2000,0.0
Coal,15,2001,0.0
Coal,15,2002,0.0
Coal,15,2003,0.0
Coal,15,2004,0.0
Coal,15,2005,0.0
Coal,15,2006,0.0
Coal,15,2007,0.0
Coal,15,2008,0.0
Coal,15,2009,0.0
Coal,15,2010,0.0
Coal,15,2011,0.0
Coal,15,2012,0.0
Coal,15,2013,0.0
Coal,15,2014,0.0
Coal,15,2015,0.0
Coal,15,2016,0.0
Coal,15,2017,0.0
Coal,15,2018,0.0
Coal,15,2019,0.0
Coal,15,2020,0.0
Coal,15,2021,0.0
Coal,273,1985,139.51434
Coal,273,1986,142.07826
Coal,273,1987,152.22748
Coal,273,1988,152.44873
Coal,273,1989,157.21063
Coal,273,1990,164.67352
Coal,273,1991,164.78598
Coal,273,1992,165.42041
Coal,273,1993,175.95685
Coal,273,1994,179.79367
Coal,273,1995,186.88583
Coal,273,1996,197.29121
Coal,273,1997,206.04503
Coal,273,1998,201.69763
Coal,273,1999,199.79572
Coal,273,2000,194.63
Coal,273,2001,199.22
Coal,273,2002,205.15999
Coal,273,2003,219.97
Coal,273,2004,229.76001
Coal,273,2005,232.13998
Coal,273,2006,239.01
Coal,273,2007,247.17001
Coal,273,2008,241.42001
Coal,273,2009,231.71
Coal,273,2010,241.26
Coal,273,2011,244.8
Coal,273,2012,241.79001
Coal,273,2013,235.34001
Coal,273,2014,234.33
Coal,273,2015,230.79
Coal,273,2016,232.47
Coal,273,2017,238.12001
Coal,273,2018,243.38
Coal,273,2019,239.62001
Coal,273,2020,226.62999
Coal,273,2021,224.95
Coal,273,2022,236.40463
Coal,367024,1985,139.51434
Coal,367024,1986,142.07825
Coal,367024,1987,152.22748
Coal,367024,1988,152.44873
Coal,367024,1989,157.21063
Coal,367024,1990,164.67354
Coal,367024,1991,164.78598
Coal,367024,1992,165.42041
Coal,367024,1993,175.95685
Coal,367024,1994,179.79367
Coal,367024,1995,186.88585
Coal,367024,1996,197.2912
Coal,367024,1997,206.04503
Coal,367024,1998,201.69763
Coal,367024,1999,199.79572
Coal,367024,2000,208.21358
Coal,367024,2001,214.43117
Coal,367024,2002,222.89767
Coal,367024,2003,235.01547
Coal,367024,2004,245.1946
Coal,367024,2005,248.81207
Coal,367024,2006,255.90143
Coal,367024,2007,262.47043
Coal,367024,2008,257.49133
Coal,367024,2009,247.70558
Coal,367024,2010,257.33923
Coal,367024,2011,259.97665
Coal,367024,2012,255.55765
Coal,367024,2013,251.39537
Coal,367024,2014,251.98518
Coal,367024,2015,250.95241
Coal,367024,2016,252.6567
Coal,367024,2017,252.55457
Coal,367024,2018,259.67236
Coal,367024,2019,257.74313
Coal,367024,2020,245.52843
