fonte,entities,years,values
Gas,367191,2000,163.22
Gas,367191,2001,185.35
Gas,367191,2002,203.52
Gas,367191,2003,216.92
Gas,367191,2004,237.97
Gas,367191,2005,250.68
Gas,367191,2006,256.2
Gas,367191,2007,266.35
Gas,367191,2008,290.13
Gas,367191,2009,296.9
Gas,367191,2010,325.32
Gas,367191,2011,304.6
Gas,367191,2012,317.78
Gas,367191,2013,343.64
Gas,367191,2014,356.0
Gas,367191,2015,358.95
Gas,367191,2016,369.66
Gas,367191,2017,354.16
Gas,367191,2018,354.75
Gas,367191,2019,377.12
Gas,367191,2020,328.37
Gas,367191,2021,343.72
Gas,367191,2022,351.92
Gas,15,2000,0.0
Gas,15,2001,0.0
Gas,15,2002,0.0
Gas,15,2003,0.0
Gas,15,2004,0.0
Gas,15,2005,0.0
Gas,15,2006,0.0
Gas,15,2007,0.0
Gas,15,2008,0.0
Gas,15,2009,0.0
Gas,15,2010,0.0
Gas,15,2011,0.0
Gas,15,2012,0.0
Gas,15,2013,0.0
Gas,15,2014,0.0
Gas,15,2015,0.0
Gas,15,2016,0.0
Gas,15,2017,0.0
Gas,15,2018,0.0
Gas,15,2019,0.0
Gas,15,2020,0.0
Gas,15,2021,0.0
Gas,273,1985,27.9265
Gas,273,1986,28.348999
Gas,273,1987,31.584
Gas,273,1988,34.0095
Gas,273,1989,36.939003
Gas,273,1990,42.646
Gas,273,1991,45.6115
Gas,273,1992,50.544502
Gas,273,1993,55.1335
Gas,273,1994,62.1015
Gas,273,1995,66.313995
Gas,273,1996,69.9915
Gas,273,1997,75.8445
Gas,273,1998,77.3305
Gas,273,1999,86.0905
Gas,273,2000,89.71
Gas,273,2001,96.380005
Gas,273,2002,112.36
Gas,273,2003,119.149994
Gas,273,2004,134.5
Gas,273,2005,143.71
Gas,273,2006,155.06
Gas,273,2007,166.01
Gas,273,2008,173.11
Gas,273,2009,177.79
Gas,273,2010,221.1
Gas,273,2011,226.01999
Gas,273,2012,246.8
Gas,273,2013,251.17
Gas,273,2014,259.51
Gas,273,2015,275.27
Gas,273,2016,278.15
Gas,273,2017,303.59998
Gas,273,2018,312.0
Gas,273,2019,311.49002
Gas,273,2020,304.16
Gas,273,2021,321.16
Gas,273,2022,363.22937
Gas,367024,1985,27.9265
Gas,367024,1986,28.349
Gas,367024,1987,31.584
Gas,367024,1988,34.0095
Gas,367024,1989,36.939
Gas,367024,1990,42.646
Gas,367024,1991,45.6115
Gas,367024,1992,50.5445
Gas,367024,1993,55.1335
Gas,367024,1994,62.1015
Gas,367024,1995,66.314
Gas,367024,1996,69.9915
Gas,367024,1997,75.8445
Gas,367024,1998,77.3305
Gas,367024,1999,86.0905
Gas,367024,2000,91.84336
Gas,367024,2001,100.97834
Gas,367024,2002,115.954704
Gas,367024,2003,123.983795
Gas,367024,2004,141.14304
Gas,367024,2005,151.72424
Gas,367024,2006,164.53581
Gas,367024,2007,174.97655
Gas,367024,2008,184.68463
Gas,367024,2009,192.54382
Gas,367024,2010,218.89923
Gas,367024,2011,236.5074
Gas,367024,2012,261.457
Gas,367024,2013,268.4181
Gas,367024,2014,277.07233
Gas,367024,2015,288.89154
Gas,367024,2016,304.53928
Gas,367024,2017,326.0414
Gas,367024,2018,341.62424
Gas,367024,2019,356.60193
Gas,367024,2020,353.61197
Gas,367024,2021,375.98114
Gas,367024,2022,363.22937
Gas,353242,2000,89.71
Gas,353242,2001,96.38
Gas,353242,2002,112.36
Gas,353242,2003,119.15
Gas,353242,2004,134.5
Gas,353242,2005,143.71
Gas,353242,2006,155.06
Gas,353242,2007,166.01
Gas,353242,2008,173.11
Gas,353242,2009,177.79
Gas,353242,2010,221.1
Gas,353242,2011,226.02
Gas,353242,2012,246.8
Gas,353242,2013,251.17
Gas,353242,2014,259.51
Gas,353242,2015,275.27
Gas,353242,2016,278.15
Gas,353242,2017,303.6
Gas,353242,2018,312.0
Gas,353242,2019,311.49
Gas,353242,2020,304.16
Gas,353242,2021,321.16
Gas,353242,2022,293.33
Gas,16,1990,0.0
Gas,16,1991,0.0
Gas,16,1992,0.0
Gas,16,1993,0.0
Gas,16,1994,0.0
Gas,16,1995,0.0
Gas,16,1996,0.0
Gas,16,1997,0.0
Gas,16,1998,0.0
Gas,16,1999,0.0
Gas,16,2000,0.0
Gas,16,2001,0.0
Gas,16,2002,0.0
Gas,16,2003,0.0
Gas,16,2004,0.0
Gas,16,2005,0.0
Gas,16,2006,0.0
Gas,16,2007,0.0
Gas,16,2008,0.0
Gas,16,2009,0.0
Gas,16,2010,0.0
Gas,16,2011,0.0
Gas,16,2012,0.0
Gas,16,2013,0.0
Gas,16,2014,0.0
Gas,16,2015,0.0
Gas,16,2016,0.0
Gas,16,2017,0.0
Gas,16,2018,0.0
Gas,16,2019,0.0
Gas,16,2020,0.0
Gas,16,2021,0.0
Gas,17,2000,21.67
Gas,17,2001,22.84
Gas,17,2002,23.65
Gas,17,2003,25.13
Gas,17,2004,26.72
Gas,17,2005,28.52
Gas,17,2006,30.32
Gas,17,2007,31.66
Gas,17,2008,34.08
Gas,17,2009,32.97
Gas,17,2010,39.67
Gas,17,2011,43.91
Gas,17,2012,49.51
Gas,17,2013,51.4
Gas,17,2014,55.22
Gas,17,2015,59.54
Gas,17,2016,61.23
Gas,17,2017,64.9
Gas,17,2018,65.8
Gas,17,2019,70.54
Gas,17,2020,66.7
Gas,17,2021,71.4
Gas,246,2000,0.0
Gas,246,2001,0.0
Gas,246,2002,0.0
Gas,246,2003,0.0
Gas,246,2004,0.0
Gas,246,2005,0.0
Gas,246,2006,0.0
Gas,246,2007,0.0
Gas,246,2008,0.0
Gas,246,2009,0.0
Gas,246,2010,0.0
Gas,246,2011,0.0
Gas,246,2012,0.0
Gas,246,2013,0.0
Gas,246,2014,0.0
Gas,246,2015,0.0
Gas,246,2016,0.0
Gas,246,2017,0.0
Gas,246,2018,0.0
Gas,246,2019,0.0
Gas,246,2020,0.0
Gas,246,2021,0.0
Gas,19,2000,0.0
Gas,19,2001,0.0
Gas,19,2002,0.0
Gas,19,2003,0.0
Gas,19,2004,0.0
Gas,19,2005,0.0
Gas,19,2006,0.0
Gas,19,2007,0.0
Gas,19,2008,0.0
Gas,19,2009,0.0
Gas,19,2010,0.0
Gas,19,2011,0.0
Gas,19,2012,0.0
Gas,19,2013,0.0
Gas,19,2014,0.0
Gas,19,2015,0.0
Gas,19,2016,0.0
Gas,19,2017,1.27
Gas,19,2018,1.25
Gas,19,2019,1.84
Gas,19,2020,1.89
Gas,19,2021,2.01
Gas,20,2000,0.0
Gas,20,2001,0.0
Gas,20,2002,0.0
Gas,20,2003,0.0
Gas,20,2004,0.0
Gas,20,2005,0.0
Gas,20,2006,0.0
Gas,20,2007,0.0
Gas,20,2008,0.0
Gas,20,2009,0.0
Gas,20,2010,0.0
Gas,20,2011,0.0
Gas,20,2012,0.0
Gas,20,2013,0.0
Gas,20,2014,0.0
Gas,20,2015,0.0
Gas,20,2016,0.0
