fonte,entities,years,values
Hydropower,367191,2000,50.37
Hydropower,367191,2001,54.26
Hydropower,367191,2002,53.32
Hydropower,367191,2003,53.28
Hydropower,367191,2004,52.88
Hydropower,367191,2005,53.76
Hydropower,367191,2006,60.38
Hydropower,367191,2007,63.13
Hydropower,367191,2008,69.8
Hydropower,367191,2009,73.52
Hydropower,367191,2010,78.85
Hydropower,367191,2011,99.42
Hydropower,367191,2012,115.07
Hydropower,367191,2013,126.96
Hydropower,367191,2014,130.61
Hydropower,367191,2015,122.36
Hydropower,367191,2016,144.21
Hydropower,367191,2017,181.03
Hydropower,367191,2018,188.64
Hydropower,367191,2019,162.44
Hydropower,367191,2020,181.36
Hydropower,367191,2021,185.58
Hydropower,367191,2022,229.26
Hydropower,15,2000,0.31
Hydropower,15,2001,0.5
Hydropower,15,2002,0.56
Hydropower,15,2003,0.63
Hydropower,15,2004,0.56
Hydropower,15,2005,0.59
Hydropower,15,2006,0.64
Hydropower,15,2007,0.75
Hydropower,15,2008,0.54
Hydropower,15,2009,0.78
Hydropower,15,2010,0.75
Hydropower,15,2011,0.6
Hydropower,15,2012,0.71
Hydropower,15,2013,0.86
Hydropower,15,2014,0.97
Hydropower,15,2015,1.0
Hydropower,15,2016,1.02
Hydropower,15,2017,1.05
Hydropower,15,2018,0.93
Hydropower,15,2019,0.84
Hydropower,15,2020,0.62
Hydropower,15,2021,0.62
Hydropower,273,1965,13.905635
Hydropower,273,1966,15.510005
Hydropower,273,1967,16.190636
Hydropower,273,1968,18.938341
Hydropower,273,1969,22.100891
Hydropower,273,1970,27.630428
Hydropower,273,1971,26.01339
Hydropower,273,1972,29.633196
Hydropower,273,1973,31.345707
Hydropower,273,1974,35.667076
Hydropower,273,1975,37.717968
Hydropower,273,1976,41.797634
Hydropower,273,1977,45.92877
Hydropower,273,1978,46.306942
Hydropower,273,1979,49.56523
Hydropower,273,1980,48.311787
Hydropower,273,1981,50.192905
Hydropower,273,1982,50.206238
Hydropower,273,1983,45.24716
Hydropower,273,1984,44.489975
Hydropower,273,1985,49.449684
Hydropower,273,1986,51.14537
Hydropower,273,1987,49.05646
Hydropower,273,1988,53.593452
Hydropower,273,1989,56.27621
Hydropower,273,1990,57.254658
Hydropower,273,1991,60.65149
Hydropower,273,1992,57.86029
Hydropower,273,1993,56.682507
Hydropower,273,1994,57.59605
Hydropower,273,1995,59.76888
Hydropower,273,1996,62.31646
Hydropower,273,1997,63.852497
Hydropower,273,1998,66.654884
Hydropower,273,1999,70.68426
Hydropower,273,2000,74.520004
Hydropower,273,2001,81.22
Hydropower,273,2002,83.409996
Hydropower,273,2003,81.68
Hydropower,273,2004,86.54
Hydropower,273,2005,88.65
Hydropower,273,2006,91.85
Hydropower,273,2007,93.92
Hydropower,273,2008,95.56
Hydropower,273,2009,98.61
Hydropower,273,2010,109.5
Hydropower,273,2011,110.57
Hydropower,273,2012,111.14
Hydropower,273,2013,116.39
Hydropower,273,2014,121.68
Hydropower,273,2015,119.33
Hydropower,273,2016,118.520004
Hydropower,273,2017,125.04
Hydropower,273,2018,132.92
Hydropower,273,2019,135.51
Hydropower,273,2020,142.22
Hydropower,273,2021,145.22
Hydropower,273,2022,156.7211
Hydropower,367024,1965,13.905635
Hydropower,367024,1966,15.510004
Hydropower,367024,1967,16.190636
Hydropower,367024,1968,18.938341
Hydropower,367024,1969,22.10089
Hydropower,367024,1970,27.63043
Hydropower,367024,1971,26.013391
Hydropower,367024,1972,29.633196
Hydropower,367024,1973,31.345707
Hydropower,367024,1974,35.667076
Hydropower,367024,1975,37.71797
Hydropower,367024,1976,41.797634
Hydropower,367024,1977,45.92877
Hydropower,367024,1978,46.30694
Hydropower,367024,1979,49.56523
Hydropower,367024,1980,48.311783
Hydropower,367024,1981,50.192905
