fonte,entities,years,values
Nuclear,367191,2000,0.0
Nuclear,367191,2001,0.0
Nuclear,367191,2002,0.0
Nuclear,367191,2003,0.0
Nuclear,367191,2004,0.0
Nuclear,367191,2005,0.0
Nuclear,367191,2006,0.0
Nuclear,367191,2007,0.0
Nuclear,367191,2008,0.0
Nuclear,367191,2009,0.0
Nuclear,367191,2010,0.0
Nuclear,367191,2011,0.0
Nuclear,367191,2012,0.0
Nuclear,367191,2013,0.0
Nuclear,367191,2014,0.0
Nuclear,367191,2015,0.0
Nuclear,367191,2016,0.0
Nuclear,367191,2017,0.0
Nuclear,367191,2018,0.0
Nuclear,367191,2019,0.0
Nuclear,367191,2020,0.0
Nuclear,367191,2021,0.0
Nuclear,367191,2022,0.0
Nuclear,15,2000,0.0
Nuclear,15,2001,0.0
Nuclear,15,2002,0.0
Nuclear,15,2003,0.0
Nuclear,15,2004,0.0
Nuclear,15,2005,0.0
Nuclear,15,2006,0.0
Nuclear,15,2007,0.0
Nuclear,15,2008,0.0
Nuclear,15,2009,0.0
Nuclear,15,2010,0.0
Nuclear,15,2011,0.0
Nuclear,15,2012,0.0
Nuclear,15,2013,0.0
Nuclear,15,2014,0.0
Nuclear,15,2015,0.0
Nuclear,15,2016,0.0
Nuclear,15,2017,0.0
Nuclear,15,2018,0.0
Nuclear,15,2019,0.0
Nuclear,15,2020,0.0
Nuclear,15,2021,0.0
Nuclear,273,1965,0.0
Nuclear,273,1966,0.0
Nuclear,273,1967,0.0
Nuclear,273,1968,0.0
Nuclear,273,1969,0.0
Nuclear,273,1970,0.0
Nuclear,273,1971,0.0
Nuclear,273,1972,0.0
Nuclear,273,1973,0.0
Nuclear,273,1974,0.0
Nuclear,273,1975,0.0
Nuclear,273,1976,0.0
Nuclear,273,1977,0.0
Nuclear,273,1978,0.0
Nuclear,273,1979,0.0
Nuclear,273,1980,0.0
Nuclear,273,1981,0.0
Nuclear,273,1982,0.0
Nuclear,273,1983,0.0
Nuclear,273,1984,3.925
Nuclear,273,1985,5.315
Nuclear,273,1986,8.803
Nuclear,273,1987,6.167
Nuclear,273,1988,10.493
Nuclear,273,1989,11.099
Nuclear,273,1990,8.449
Nuclear,273,1991,9.144
Nuclear,273,1992,9.288
Nuclear,273,1993,7.255
Nuclear,273,1994,9.697
Nuclear,273,1995,11.301
Nuclear,273,1996,11.775
Nuclear,273,1997,12.647
Nuclear,273,1998,13.601
Nuclear,273,1999,12.837
Nuclear,273,2000,13.01
Nuclear,273,2001,10.72
Nuclear,273,2002,11.99
Nuclear,273,2003,12.66
Nuclear,273,2004,14.28
Nuclear,273,2005,12.24
Nuclear,273,2006,10.07
Nuclear,273,2007,12.6
Nuclear,273,2008,12.75
Nuclear,273,2009,11.57
Nuclear,273,2010,12.9
Nuclear,273,2011,12.94
Nuclear,273,2012,12.4
Nuclear,273,2013,13.61
Nuclear,273,2014,14.76
Nuclear,273,2015,10.97
Nuclear,273,2016,15.21
Nuclear,273,2017,15.09
Nuclear,273,2018,10.56
Nuclear,273,2019,13.6
