fonte,entities,years,values
Oil,367191,2000,61.5
Oil,367191,2001,55.14
Oil,367191,2002,56.15
Oil,367191,2003,56.01
Oil,367191,2004,58.33
Oil,367191,2005,59.39
Oil,367191,2006,57.89
Oil,367191,2007,55.75
Oil,367191,2008,51.76
Oil,367191,2009,50.67
Oil,367191,2010,53.18
Oil,367191,2011,63.17
Oil,367191,2012,57.65
Oil,367191,2013,48.93
Oil,367191,2014,49.9
Oil,367191,2015,55.85
Oil,367191,2016,46.1
Oil,367191,2017,46.75
Oil,367191,2018,44.03
Oil,367191,2019,39.81
Oil,367191,2020,33.48
Oil,367191,2021,34.62
Oil,367191,2022,37.33
Oil,15,2000,0.16
Oil,15,2001,0.09
Oil,15,2002,0.13
Oil,15,2003,0.31
Oil,15,2004,0.33
Oil,15,2005,0.34
Oil,15,2006,0.2
Oil,15,2007,0.2
Oil,15,2008,0.19
Oil,15,2009,0.16
Oil,15,2010,0.19
Oil,15,2011,0.18
Oil,15,2012,0.14
Oil,15,2013,0.22
Oil,15,2014,0.16
Oil,15,2015,0.15
Oil,15,2016,0.15
Oil,15,2017,0.18
Oil,15,2018,0.2
Oil,15,2019,0.18
Oil,15,2020,0.12
Oil,15,2021,0.13
Oil,273,1985,34.29558
Oil,273,1986,37.18415
Oil,273,1987,38.68359
Oil,273,1988,42.612885
Oil,273,1989,43.337883
Oil,273,1990,42.950825
Oil,273,1991,42.02842
Oil,273,1992,42.57579
Oil,273,1993,41.756973
Oil,273,1994,39.784073
Oil,273,1995,36.13778
Oil,273,1996,37.295067
Oil,273,1997,38.503864
Oil,273,1998,43.03158
Oil,273,1999,44.874702
Oil,273,2000,45.82
Oil,273,2001,46.61
Oil,273,2002,46.38
Oil,273,2003,48.35
Oil,273,2004,46.17
Oil,273,2005,54.21
Oil,273,2006,57.3
Oil,273,2007,58.8
Oil,273,2008,64.75
Oil,273,2009,69.71
Oil,273,2010,71.07
Oil,273,2011,67.84
Oil,273,2012,75.78
Oil,273,2013,87.28
Oil,273,2014,94.350006
Oil,273,2015,104.11
Oil,273,2016,100.60999
Oil,273,2017,90.17
Oil,273,2018,82.77
Oil,273,2019,85.85
Oil,273,2020,82.1
Oil,273,2021,88.95
Oil,273,2022,70.556366
