fonte,entities,years,values
Renewables,367191,2000,72.9
Renewables,367191,2001,76.68
Renewables,367191,2002,75.99
Renewables,367191,2003,75.71
Renewables,367191,2004,77.02
Renewables,367191,2005,78.22
Renewables,367191,2006,85.32
Renewables,367191,2007,89.87
Renewables,367191,2008,98.61
Renewables,367191,2009,103.33
Renewables,367191,2010,111.32
Renewables,367191,2011,133.83
Renewables,367191,2012,151.51
Renewables,367191,2013,164.78
Renewables,367191,2014,171.24
Renewables,367191,2015,166.99
Renewables,367191,2016,194.52
Renewables,367191,2017,237.63
Renewables,367191,2018,252.7
Renewables,367191,2019,236.83
Renewables,367191,2020,262.71
Renewables,367191,2021,289.59
Renewables,367191,2022,348.79
Renewables,15,2000,0.31
Renewables,15,2001,0.5
Renewables,15,2002,0.56
Renewables,15,2003,0.63
Renewables,15,2004,0.56
Renewables,15,2005,0.59
Renewables,15,2006,0.64
Renewables,15,2007,0.75
Renewables,15,2008,0.54
Renewables,15,2009,0.78
Renewables,15,2010,0.75
Renewables,15,2011,0.6
Renewables,15,2012,0.74
Renewables,15,2013,0.89
Renewables,15,2014,1.0
Renewables,15,2015,1.03
Renewables,15,2016,1.06
Renewables,15,2017,1.09
Renewables,15,2018,0.97
Renewables,15,2019,0.89
Renewables,15,2020,0.68
Renewables,15,2021,0.7
Renewables,273,1971,26.17739
Renewables,273,1972,29.798197
Renewables,273,1973,31.515707
Renewables,273,1974,35.842075
Renewables,273,1975,37.88997
Renewables,273,1976,41.982635
Renewables,273,1977,46.117767
Renewables,273,1978,46.50194
Renewables,273,1979,49.76623
Renewables,273,1980,48.518787
Renewables,273,1981,50.410904
Renewables,273,1982,50.442238
Renewables,273,1983,45.47716
Renewables,273,1984,44.723976
Renewables,273,1985,49.718685
Renewables,273,1986,51.80437
Renewables,273,1987,49.714462
Renewables,273,1988,54.21945
Renewables,273,1989,56.89321
Renewables,273,1990,58.06041
Renewables,273,1991,61.473236
Renewables,273,1992,58.714237
Renewables,273,1993,57.633877
Renewables,273,1994,58.448147
Renewables,273,1995,60.803646
Renewables,273,1996,63.591396
Renewables,273,1997,65.25609
Renewables,273,1998,68.38672
Renewables,273,1999,72.41384
Renewables,273,2000,77.38
Renewables,273,2001,84.33
Renewables,273,2002,86.45
Renewables,273,2003,85.08
Renewables,273,2004,90.560005
Renewables,273,2005,93.35
Renewables,273,2006,96.43
Renewables,273,2007,98.71
Renewables,273,2008,100.729996
Renewables,273,2009,104.72
Renewables,273,2010,116.78
Renewables,273,2011,118.18
