fonte,entities,years,values
Coal,273,1965,323.49615
Coal,273,1966,323.1222
Coal,273,1967,330.29156
Coal,273,1968,343.5129
Coal,273,1969,346.64288
Coal,273,1970,360.7569
Coal,273,1971,383.0123
Coal,273,1972,384.21082
Coal,273,1973,408.9103
Coal,273,1974,425.64618
Coal,273,1975,451.08047
Coal,273,1976,481.07413
Coal,273,1977,491.69846
Coal,273,1978,477.81558
Coal,273,1979,507.24698
Coal,273,1980,543.55707
Coal,273,1981,635.79877
Coal,273,1982,701.17584
Coal,273,1983,713.24603
Coal,273,1984,762.8979
Coal,273,1985,787.16583
Coal,273,1986,805.356
Coal,273,1987,828.3197
Coal,273,1988,890.16077
Coal,273,1989,835.62085
Coal,273,1990,877.6782
Coal,273,1991,853.76215
Coal,273,1992,858.8312
Coal,273,1993,871.7139
Coal,273,1994,894.4478
Coal,273,1995,922.47125
Coal,273,1996,935.2283
Coal,273,1997,959.01904
Coal,273,1998,937.03894
Coal,273,1999,966.0107
Coal,273,2000,963.73047
Coal,273,2001,975.9262
Coal,273,2002,934.42163
Coal,273,2003,1017.0484
Coal,273,2004,1119.1617
Coal,273,2005,1039.0726
Coal,273,2006,1054.0969
Coal,273,2007,1071.6333
Coal,273,2008,1180.7251
Coal,273,2009,1176.002
Coal,273,2010,1165.7358
Coal,273,2011,1147.9299
Coal,273,2012,1119.2825
Coal,273,2013,1131.4148
Coal,273,2014,1184.3005
Coal,273,2015,1120.4587
Coal,273,2016,1186.4392
Coal,273,2017,1185.3502
Coal,273,2018,1164.7024
Coal,273,2019,1230.6681
Coal,273,2020,1178.5452
Coal,273,2021,1159.7943
Coal,273,2022,1103.5779
Coal,367024,1965,323.49615
Coal,367024,1966,323.1222
Coal,367024,1967,330.2916
Coal,367024,1968,343.51288
Coal,367024,1969,346.64288
Coal,367024,1970,360.7569
Coal,367024,1971,383.0123
Coal,367024,1972,384.21082
Coal,367024,1973,408.91034
Coal,367024,1974,425.6462
Coal,367024,1975,451.08047
Coal,367024,1976,481.07416
Coal,367024,1977,491.69843
