fonte,entities,years,values
Gas,273,1965,9.571929
Gas,273,1966,10.698091
Gas,273,1967,10.573845
Gas,273,1968,10.717145
Gas,273,1969,12.520175
Gas,273,1970,15.5485
Gas,273,1971,18.405262
Gas,273,1972,24.670656
Gas,273,1973,39.551792
Gas,273,1974,44.518486
Gas,273,1975,53.63838
Gas,273,1976,60.98139
Gas,273,1977,68.23419
Gas,273,1978,97.369896
Gas,273,1979,148.8428
Gas,273,1980,186.91397
Gas,273,1981,228.49115
Gas,273,1982,246.73354
Gas,273,1983,271.27533
Gas,273,1984,259.90277
Gas,273,1985,278.84274
Gas,273,1986,313.27118
Gas,273,1987,323.38437
Gas,273,1988,358.44452
Gas,273,1989,371.47104
Gas,273,1990,398.64536
Gas,273,1991,401.6356
Gas,273,1992,421.27026
Gas,273,1993,412.64395
Gas,273,1994,431.82794
Gas,273,1995,461.2435
Gas,273,1996,484.19174
Gas,273,1997,474.47552
Gas,273,1998,499.33698
Gas,273,1999,504.01962
Gas,273,2000,556.8223
Gas,273,2001,634.6361
Gas,273,2002,670.636
Gas,273,2003,711.536
Gas,273,2004,783.10583
Gas,273,2005,808.0279
Gas,273,2006,843.74774
Gas,273,2007,900.41455
Gas,273,2008,935.5027
Gas,273,2009,941.2384
Gas,273,2010,981.41986
Gas,273,2011,1061.5934
Gas,273,2012,1147.7354
Gas,273,2013,1170.6193
Gas,273,2014,1203.4098
Gas,273,2015,1326.6871
Gas,273,2016,1371.4885
Gas,273,2017,1450.0593
Gas,273,2018,1544.4722
Gas,273,2019,1551.5337
Gas,273,2020,1536.9286
Gas,273,2021,1684.705
Gas,273,2022,1625.0382
Gas,367024,1965,9.571929
Gas,367024,1966,10.698091
Gas,367024,1967,10.573844
Gas,367024,1968,10.717145
Gas,367024,1969,12.520175
Gas,367024,1970,15.548499
Gas,367024,1971,18.405264
Gas,367024,1972,24.670656
Gas,367024,1973,39.551792
Gas,367024,1974,44.518486
Gas,367024,1975,53.638374
Gas,367024,1976,60.98139
Gas,367024,1977,68.23419
Gas,367024,1978,97.369896
Gas,367024,1979,148.8428
Gas,367024,1980,186.91397
Gas,367024,1981,228.49115
Gas,367024,1982,246.73354
