fonte,entities,years,values
Hydropower,273,1965,41.118813
Hydropower,273,1966,45.862915
Hydropower,273,1967,47.875538
Hydropower,273,1968,56.00047
Hydropower,273,1969,65.3521
Hydropower,273,1970,81.70287
Hydropower,273,1971,76.92131
Hydropower,273,1972,87.62504
Hydropower,273,1973,92.68892
Hydropower,273,1974,105.46715
Hydropower,273,1975,111.53163
Hydropower,273,1976,123.59514
Hydropower,273,1977,135.81085
Hydropower,273,1978,136.92912
Hydropower,273,1979,146.56386
Hydropower,273,1980,142.85742
Hydropower,273,1981,148.41988
Hydropower,273,1982,148.4593
Hydropower,273,1983,133.79536
Hydropower,273,1984,131.55637
Hydropower,273,1985,146.22218
Hydropower,273,1986,151.23631
Hydropower,273,1987,145.05942
Hydropower,273,1988,158.47527
Hydropower,273,1989,166.40814
Hydropower,273,1990,169.30139
Hydropower,273,1991,179.3458
Hydropower,273,1992,171.09227
Hydropower,273,1993,167.60956
Hydropower,273,1994,170.3109
Hydropower,273,1995,176.73593
Hydropower,273,1996,184.26909
Hydropower,273,1997,188.81113
Hydropower,273,1998,197.09778
Hydropower,273,1999,209.0126
Hydropower,273,2000,222.53064
Hydropower,273,2001,237.57632
Hydropower,273,2002,248.17819
Hydropower,273,2003,239.47658
Hydropower,273,2004,251.33615
Hydropower,273,2005,254.37917
Hydropower,273,2006,261.91766
Hydropower,273,2007,269.18546
Hydropower,273,2008,272.4835
Hydropower,273,2009,278.0456
Hydropower,273,2010,298.87427
Hydropower,273,2011,305.47137
Hydropower,273,2012,304.92633
Hydropower,273,2013,320.25552
Hydropower,273,2014,336.39395
Hydropower,273,2015,324.0321
Hydropower,273,2016,312.72516
Hydropower,273,2017,333.38794
Hydropower,273,2018,354.02264
Hydropower,273,2019,364.74646
Hydropower,273,2020,388.30878
Hydropower,273,2021,398.66202
Hydropower,273,2022,408.593
Hydropower,367024,1965,41.118813
Hydropower,367024,1966,45.86291
Hydropower,367024,1967,47.875538
Hydropower,367024,1968,56.000465
Hydropower,367024,1969,65.35209
Hydropower,367024,1970,81.70288
Hydropower,367024,1971,76.92132
Hydropower,367024,1972,87.625046
Hydropower,367024,1973,92.68892
Hydropower,367024,1974,105.467155
Hydropower,367024,1975,111.53163
Hydropower,367024,1976,123.595146
Hydropower,367024,1977,135.81087
Hydropower,367024,1978,136.92912
Hydropower,367024,1979,146.56386
Hydropower,367024,1980,142.85742
Hydropower,367024,1981,148.41988
Hydropower,367024,1982,148.4593
Hydropower,367024,1983,133.79536
Hydropower,367024,1984,131.55637
Hydropower,367024,1985,146.22218
Hydropower,367024,1986,151.23631
Hydropower,367024,1987,145.05942
Hydropower,367024,1988,158.47527
Hydropower,367024,1989,166.40816
Hydropower,367024,1990,169.3014
Hydropower,367024,1991,179.3458
Hydropower,367024,1992,171.09227
Hydropower,367024,1993,167.60956
Hydropower,367024,1994,170.3109
Hydropower,367024,1995,176.73593
Hydropower,367024,1996,184.26909
Hydropower,367024,1997,188.81116
Hydropower,367024,1998,197.0978
Hydropower,367024,1999,209.01259
Hydropower,367024,2000,222.53064
Hydropower,367024,2001,237.57631
Hydropower,367024,2002,248.17819
Hydropower,367024,2003,239.4766
Hydropower,367024,2004,251.33614
Hydropower,367024,2005,254.37918
Hydropower,367024,2006,261.91766
Hydropower,367024,2007,269.18546
Hydropower,367024,2008,272.4835
Hydropower,367024,2009,278.0456
Hydropower,367024,2010,298.87427
Hydropower,367024,2011,305.47137
Hydropower,367024,2012,304.92633
Hydropower,367024,2013,320.25552
Hydropower,367024,2014,336.39395
Hydropower,367024,2015,324.03214
Hydropower,367024,2016,312.72516
Hydropower,367024,2017,333.38794
Hydropower,367024,2018,354.0226
Hydropower,367024,2019,364.74643
Hydropower,367024,2020,388.30878
Hydropower,367024,2021,398.662
Hydropower,367024,2022,408.593
Hydropower,17,1965,1.1827958
Hydropower,17,1966,1.0497311
Hydropower,17,1967,1.2123655
Hydropower,17,1968,1.664785
Hydropower,17,1969,1.067473
Hydropower,17,1970,1.7150539
Hydropower,17,1971,0.97580636
Hydropower,17,1972,1.4637097
Hydropower,17,1973,2.2236557
Hydropower,17,1974,1.4696236
Hydropower,17,1975,0.9698925
Hydropower,17,1976,1.1502688
Hydropower,17,1977,0.79543
Hydropower,17,1978,0.73924726
Hydropower,17,1979,0.8604839
Hydropower,17,1980,0.75994605
Hydropower,17,1981,1.0822581
Hydropower,17,1982,1.4163978
Hydropower,17,1983,0.69489247
Hydropower,17,1984,1.336559
Hydropower,17,1985,1.910215
Hydropower,17,1986,0.73924726
Hydropower,17,1987,1.4755378
Hydropower,17,1988,0.5411292
Hydropower,17,1989,0.6682794
Hydropower,17,1990,0.39919358
Hydropower,17,1991,0.86639774
Hydropower,17,1992,0.58844084
Hydropower,17,1993,1.0438172
Hydropower,17,1994,0.49086028
Hydropower,17,1995,0.57069886
Hydropower,17,1996,0.39919358
Hydropower,17,1997,0.22177416
Hydropower,17,1998,0.6357528
Hydropower,17,1999,0.6002689
Hydropower,17,2000,0.1596775
Hydropower,17,2001,0.2027075
Hydropower,17,2002,0.16637361
Hydropower,17,2003,0.76853275
Hydropower,17,2004,0.72329473
Hydropower,17,2005,1.5900536
Hydropower,17,2006,0.61916
Hydropower,17,2007,0.63904226
Hydropower,17,2008,0.79524636
Hydropower,17,2009,0.9551075
Hydropower,17,2010,0.48017526
Hydropower,17,2011,1.0427713
Hydropower,17,2012,1.0666127
Hydropower,17,2013,0.26981637
Hydropower,17,2014,0.5228558
Hydropower,17,2015,0.3904811
Hydropower,17,2016,0.19274665
Hydropower,17,2017,0.14903222
Hydropower,17,2018,0.30955
Hydropower,17,2019,0.40066776
Hydropower,17,2020,0.13026388
Hydropower,17,2021,0.024335083
Hydropower,17,2022,0.20017584
Hydropower,21,1965,3.6226556
Hydropower,21,1966,3.6694174
Hydropower,21,1967,3.7574391
Hydropower,21,1968,4.428607
Hydropower,21,1969,3.971993
Hydropower,21,1970,4.6044087
Hydropower,21,1971,4.5719438
Hydropower,21,1972,4.443309
Hydropower,21,1973,8.863367
Hydropower,21,1974,14.769164
Hydropower,21,1975,15.360892
Hydropower,21,1976,14.829011
Hydropower,21,1977,17.052307
Hydropower,21,1978,22.906666
Hydropower,21,1979,31.512377
Hydropower,21,1980,44.77142
Hydropower,21,1981,43.42278
Hydropower,21,1982,52.01993
Hydropower,21,1983,54.463337
Hydropower,21,1984,58.778633
Hydropower,21,1985,61.071068
Hydropower,21,1986,62.18621
Hydropower,21,1987,64.795074
