fonte,entities,years,values
Nuclear,273,1965,0.0
Nuclear,273,1966,0.0
Nuclear,273,1967,0.0
Nuclear,273,1968,0.0
Nuclear,273,1969,0.0
Nuclear,273,1970,0.0
Nuclear,273,1971,0.0
Nuclear,273,1972,0.0
Nuclear,273,1973,0.0
Nuclear,273,1974,0.0
Nuclear,273,1975,0.0
Nuclear,273,1976,0.0
Nuclear,273,1977,0.0
Nuclear,273,1978,0.0
Nuclear,273,1979,0.0
Nuclear,273,1980,0.0
Nuclear,273,1981,0.0
Nuclear,273,1982,0.0
Nuclear,273,1983,0.0
Nuclear,273,1984,11.137245
Nuclear,273,1985,15.081391
Nuclear,273,1986,24.978643
Nuclear,273,1987,17.498955
Nuclear,273,1988,29.774042
Nuclear,273,1989,31.493576
Nuclear,273,1990,23.974163
Nuclear,273,1991,25.946236
Nuclear,273,1992,26.35484
Nuclear,273,1993,20.58617
Nuclear,273,1994,27.51538
Nuclear,273,1995,32.066753
Nuclear,273,1996,33.41174
Nuclear,273,1997,35.88605
Nuclear,273,1998,38.593037
Nuclear,273,1999,36.42518
Nuclear,273,2000,36.91607
Nuclear,273,2001,30.217817
Nuclear,273,2002,33.585613
Nuclear,273,2003,35.24046
Nuclear,273,2004,36.957523
Nuclear,273,2005,31.029053
Nuclear,273,2006,27.375378
Nuclear,273,2007,30.707249
Nuclear,273,2008,35.065548
Nuclear,273,2009,34.31848
Nuclear,273,2010,36.028275
Nuclear,273,2011,34.154095
Nuclear,273,2012,34.119267
Nuclear,273,2013,36.891415
Nuclear,273,2014,35.859425
Nuclear,273,2015,31.62243
Nuclear,273,2016,38.599903
Nuclear,273,2017,36.245564
Nuclear,273,2018,29.399641
Nuclear,273,2019,33.520515
Nuclear,273,2020,24.957308
Nuclear,273,2021,31.02282
Nuclear,273,2022,25.268139
Nuclear,367024,1965,0.0
Nuclear,367024,1966,0.0
Nuclear,367024,1967,0.0
Nuclear,367024,1968,0.0
Nuclear,367024,1969,0.0
Nuclear,367024,1970,0.0
Nuclear,367024,1971,0.0
Nuclear,367024,1972,0.0
