fonte,entities,years,values
Oil,273,1965,342.1337
Oil,273,1966,370.45
Oil,273,1967,369.19354
Oil,273,1968,390.3657
Oil,273,1969,398.15326
Oil,273,1970,435.02704
Oil,273,1971,474.3054
Oil,273,1972,510.7296
Oil,273,1973,549.80396
Oil,273,1974,569.7385
Oil,273,1975,597.671
Oil,273,1976,652.5852
Oil,273,1977,695.1952
Oil,273,1978,732.366
Oil,273,1979,771.1747
Oil,273,1980,818.15454
Oil,273,1981,885.4927
Oil,273,1982,926.532
Oil,273,1983,964.7042
Oil,273,1984,982.0362
Oil,273,1985,1007.3241
Oil,273,1986,984.45636
Oil,273,1987,1038.56
Oil,273,1988,1081.7913
Oil,273,1989,1117.5557
Oil,273,1990,1135.7396
Oil,273,1991,1141.6711
Oil,273,1992,1163.9397
Oil,273,1993,1175.8846
Oil,273,1994,1213.9683
Oil,273,1995,1255.8745
Oil,273,1996,1283.199
Oil,273,1997,1323.6312
Oil,273,1998,1354.9565
Oil,273,1999,1404.4688
Oil,273,2000,1407.994
Oil,273,2001,1422.8947
Oil,273,2002,1456.7892
Oil,273,2003,1501.1073
Oil,273,2004,1571.3392
Oil,273,2005,1641.0862
Oil,273,2006,1657.1124
Oil,273,2007,1719.9576
Oil,273,2008,1806.7784
Oil,273,2009,1871.0247
Oil,273,2010,1950.0488
Oil,273,2011,1916.3331
Oil,273,2012,2036.6793
Oil,273,2013,2110.8115
Oil,273,2014,2132.531
Oil,273,2015,2192.255
Oil,273,2016,2207.7068
Oil,273,2017,2233.6814
Oil,273,2018,2255.9873
Oil,273,2019,2274.9304
Oil,273,2020,2024.5469
Oil,273,2021,2208.283
Oil,273,2022,2329.607
Oil,367024,1965,342.1337
Oil,367024,1966,370.45
Oil,367024,1967,369.1935
Oil,367024,1968,390.3657
Oil,367024,1969,398.15326
Oil,367024,1970,435.02707
Oil,367024,1971,474.30536
Oil,367024,1972,510.7296
Oil,367024,1973,549.804
Oil,367024,1974,569.7385
Oil,367024,1975,597.6711
Oil,367024,1976,652.5852
Oil,367024,1977,695.1952
Oil,367024,1978,732.366
Oil,367024,1979,771.1747
Oil,367024,1980,818.15454
Oil,367024,1981,885.4927
Oil,367024,1982,926.5319
Oil,367024,1983,964.7042
Oil,367024,1984,982.03625
Oil,367024,1985,1007.3241
Oil,367024,1986,984.45636
Oil,367024,1987,1038.56
Oil,367024,1988,1081.7911
Oil,367024,1989,1117.5557
Oil,367024,1990,1135.7397
Oil,367024,1991,1141.6711
Oil,367024,1992,1163.9397
Oil,367024,1993,1175.8846
Oil,367024,1994,1213.9683
Oil,367024,1995,1255.8746
Oil,367024,1996,1283.199
Oil,367024,1997,1323.6312
Oil,367024,1998,1354.9564
Oil,367024,1999,1404.4688
Oil,367024,2000,1407.994
Oil,367024,2001,1422.8947
Oil,367024,2002,1456.7892
Oil,367024,2003,1501.1073
Oil,367024,2004,1571.3392
Oil,367024,2005,1641.0863
Oil,367024,2006,1657.1124
Oil,367024,2007,1719.9576
Oil,367024,2008,1806.7784
Oil,367024,2009,1871.0248
Oil,367024,2010,1950.0487
Oil,367024,2011,1916.3333
Oil,367024,2012,2036.6794
Oil,367024,2013,2110.8115
