fonte,entities,years,values
Renewables,273,1965,41.118813
Renewables,273,1966,45.862915
Renewables,273,1967,47.875538
Renewables,273,1968,56.00047
Renewables,273,1969,65.3521
Renewables,273,1970,81.70287
Renewables,273,1971,77.44483
Renewables,273,1972,88.15175
Renewables,273,1973,93.23159
Renewables,273,1974,106.02579
Renewables,273,1975,112.08069
Renewables,273,1976,124.1857
Renewables,273,1977,136.41418
Renewables,273,1978,137.5516
Renewables,273,1979,147.20549
Renewables,273,1980,143.5182
Renewables,273,1981,149.11578
Renewables,273,1982,149.21266
Renewables,273,1983,134.52957
Renewables,273,1984,132.30334
Renewables,273,1985,147.08089
Renewables,273,1986,153.20944
Renewables,273,1987,147.03256
Renewables,273,1988,160.35902
Renewables,273,1989,168.26317
Renewables,273,1990,171.75789
Renewables,273,1991,181.86363
Renewables,273,1992,173.72177
Renewables,273,1993,170.54959
Renewables,273,1994,172.9371
Renewables,273,1995,179.8993
Renewables,273,1996,188.19789
Renewables,273,1997,193.16016
Renewables,273,1998,202.4767
Renewables,273,1999,214.38618
Renewables,273,2000,230.31697
Renewables,273,2001,246.27814
Renewables,273,2002,257.338
Renewables,273,2003,249.88144
Renewables,273,2004,263.5605
Renewables,273,2005,266.1506
Renewables,273,2006,276.33334
Renewables,273,2007,282.79562
Renewables,273,2008,287.1557
Renewables,273,2009,294.06564
Renewables,273,2010,317.51855
Renewables,273,2011,326.30954
Renewables,273,2012,327.6733
Renewables,273,2013,346.35474
Renewables,273,2014,371.89658
Renewables,273,2015,378.58588
Renewables,273,2016,377.9695
Renewables,273,2017,410.54053
Renewables,273,2018,439.371
Renewables,273,2019,469.3043
Renewables,273,2020,501.9976
Renewables,273,2021,528.69495
Renewables,273,2022,543.33484
Renewables,367024,1965,41.118813
Renewables,367024,1966,45.86291
Renewables,367024,1967,47.875538
Renewables,367024,1968,56.000465
Renewables,367024,1969,65.35209
Renewables,367024,1970,81.70288
Renewables,367024,1971,77.44484
Renewables,367024,1972,88.15176
Renewables,367024,1973,93.23159
Renewables,367024,1974,106.025795
Renewables,367024,1975,112.08069
Renewables,367024,1976,124.18571
Renewables,367024,1977,136.4142
Renewables,367024,1978,137.5516
Renewables,367024,1979,147.20549
Renewables,367024,1980,143.5182
Renewables,367024,1981,149.11578
Renewables,367024,1982,149.21266
Renewables,367024,1983,134.52957
Renewables,367024,1984,132.30334
Renewables,367024,1985,147.08089
Renewables,367024,1986,153.20944
Renewables,367024,1987,147.03256
Renewables,367024,1988,160.35902
Renewables,367024,1989,168.26318
Renewables,367024,1990,171.7579
Renewables,367024,1991,181.86363
Renewables,367024,1992,173.72177
Renewables,367024,1993,170.54959
Renewables,367024,1994,172.9371
Renewables,367024,1995,179.8993
Renewables,367024,1996,188.19789
Renewables,367024,1997,193.16019
Renewables,367024,1998,202.47672
Renewables,367024,1999,214.38617
Renewables,367024,2000,230.31697
Renewables,367024,2001,246.27812
Renewables,367024,2002,257.338
Renewables,367024,2003,249.88145
Renewables,367024,2004,263.5605
Renewables,367024,2005,266.15063
Renewables,367024,2006,276.33334
Renewables,367024,2007,282.79562
Renewables,367024,2008,287.15573
Renewables,367024,2009,294.06564
Renewables,367024,2010,317.51855
Renewables,367024,2011,326.30954
Renewables,367024,2012,327.6733
Renewables,367024,2013,346.35474
Renewables,367024,2014,371.89658
Renewables,367024,2015,378.58588
Renewables,367024,2016,377.9695
Renewables,367024,2017,410.54056
Renewables,367024,2018,439.37097
Renewables,367024,2019,469.30423
Renewables,367024,2020,501.9976
Renewables,367024,2021,528.6949
Renewables,367024,2022,543.33484
Renewables,17,1965,1.1827958
Renewables,17,1966,1.0497311
Renewables,17,1967,1.2123655
Renewables,17,1968,1.664785
Renewables,17,1969,1.067473
Renewables,17,1970,1.7150539
Renewables,17,1971,0.97580636
Renewables,17,1972,1.4637097
Renewables,17,1973,2.2236557
Renewables,17,1974,1.4696236
Renewables,17,1975,0.9698925
Renewables,17,1976,1.1502688
Renewables,17,1977,0.79543
Renewables,17,1978,0.73924726
Renewables,17,1979,0.8604839
Renewables,17,1980,0.75994605
Renewables,17,1981,1.0822581
Renewables,17,1982,1.4163978
Renewables,17,1983,0.69489247
Renewables,17,1984,1.336559
Renewables,17,1985,1.910215
Renewables,17,1986,0.73924726
Renewables,17,1987,1.4755378
Renewables,17,1988,0.5411292
Renewables,17,1989,0.6682794
Renewables,17,1990,0.39919358
Renewables,17,1991,0.86639774
Renewables,17,1992,0.58844084
Renewables,17,1993,1.0438172
Renewables,17,1994,0.49086028
Renewables,17,1995,0.57069886
Renewables,17,1996,0.39919358
Renewables,17,1997,0.22177416
Renewables,17,1998,0.6357528
Renewables,17,1999,0.6002689
Renewables,17,2000,0.1596775
Renewables,17,2001,0.2027075
Renewables,17,2002,0.16637361
Renewables,17,2003,0.76853275
Renewables,17,2004,0.72329473
Renewables,17,2005,1.5900536
Renewables,17,2006,0.61916
Renewables,17,2007,0.63904226
Renewables,17,2008,0.79524636
Renewables,17,2009,0.9551075
Renewables,17,2010,0.505433
Renewables,17,2011,1.0927547
Renewables,17,2012,1.1398855
Renewables,17,2013,0.3477633
Renewables,17,2014,0.68811077
Renewables,17,2015,0.59784
Renewables,17,2016,0.8996238
Renewables,17,2017,1.5408869
Renewables,17,2018,1.9313807
Renewables,17,2019,2.0481505
Renewables,17,2020,1.9494944
Renewables,17,2021,1.7892834
Renewables,17,2022,2.005017
Renewables,21,1965,3.6226556
Renewables,21,1966,3.6694174
Renewables,21,1967,3.7574391
Renewables,21,1968,4.428607
Renewables,21,1969,3.971993
Renewables,21,1970,4.783944
Renewables,21,1971,4.7602544
Renewables,21,1972,4.6860037
Renewables,21,1973,9.054804
Renewables,21,1974,14.963899
Renewables,21,1975,15.565163
Renewables,21,1976,15.023616
Renewables,21,1977,17.256618
Renewables,21,1978,23.11088
Renewables,21,1979,31.815584
Renewables,21,1980,45.087505
Renewables,21,1981,43.700558
Renewables,21,1982,52.38695
Renewables,21,1983,54.95805
Renewables,21,1984,59.1457
Renewables,21,1985,61.45415
Renewables,21,1986,62.582012
Renewables,21,1987,65.13341
Renewables,21,1988,45.51364
Renewables,21,1989,39.333355
Renewables,21,1990,52.8023
Renewables,21,1991,47.34342
Renewables,21,1992,57.085903
Renewables,21,1993,70.58906
Renewables,21,1994,81.00245
Renewables,21,1995,78.75102
Renewables,21,1996,67.1889
Renewables,21,1997,83.18672
Renewables,21,1998,79.044495
Renewables,21,1999,64.20936
Renewables,21,2000,85.83184
Renewables,21,2001,108.76871
Renewables,21,2002,106.3387
Renewables,21,2003,101.06318
Renewables,21,2004,90.760284
Renewables,21,2005,101.10619
Renewables,21,2006,111.707115
Renewables,21,2007,91.87159
Renewables,21,2008,91.640976
Renewables,21,2009,100.57703
Renewables,21,2010,102.9839
Renewables,21,2011,99.22063
Renewables,21,2012,96.03914
Renewables,21,2013,107.368965
Renewables,21,2014,108.16618
Renewables,21,2015,108.600266
Renewables,21,2016,100.94731
Renewables,21,2017,108.8468
Renewables,21,2018,111.5426
Renewables,21,2019,110.459015
Renewables,21,2020,107.07653
Renewables,21,2021,108.64311
Renewables,21,2022,128.27484
Renewables,275,1965,422.89035
Renewables,275,1966,441.11557
Renewables,275,1967,412.31503
Renewables,275,1968,458.258
Renewables,275,1969,475.70972
Renewables,275,1970,487.58813
Renewables,275,1971,533.2094
Renewables,275,1972,551.4753
Renewables,275,1973,512.8583
Renewables,275,1974,584.10034
Renewables,275,1975,629.3584
Renewables,275,1976,647.06866
Renewables,275,1977,636.32385
Renewables,275,1978,670.6555
Renewables,275,1979,727.4789
Renewables,275,1980,783.02045
Renewables,275,1981,839.83997
Renewables,275,1982,859.5091
Renewables,275,1983,903.67566
Renewables,275,1984,910.4209
Renewables,275,1985,1072.1606
Renewables,275,1986,1082.7856
Renewables,275,1987,1120.735
Renewables,275,1988,1283.508
Renewables,275,1989,1316.8866
Renewables,275,1990,1370.6444
Renewables,275,1991,1386.5365
Renewables,275,1992,1397.3082
Renewables,275,1993,1546.0802
Renewables,275,1994,1546.1249
Renewables,275,1995,1679.6674
Renewables,275,1996,1669.7766
Renewables,275,1997,1675.4253
Renewables,275,1998,1776.861
Renewables,275,1999,1745.1959
Renewables,275,2000,1806.3025
Renewables,275,2001,1932.9921
Renewables,275,2002,2001.6842
Renewables,275,2003,2074.142
Renewables,275,2004,2420.2273
Renewables,275,2005,2514.9468
Renewables,275,2006,2766.1106
Renewables,275,2007,2914.7615
Renewables,275,2008,3316.4937
Renewables,275,2009,3300.3213
Renewables,275,2010,3830.0332
Renewables,275,2011,3975.6506
Renewables,275,2012,4531.1377
Renewables,275,2013,5012.1665
Renewables,275,2014,5567.4023
Renewables,275,2015,5939.2886
Renewables,275,2016,6430.733
Renewables,275,2017,7017.512
Renewables,275,2018,7686.7256
Renewables,275,2019,8452.521
Renewables,275,2020,9032.268
Renewables,275,2021,9940.498
Renewables,275,2022,10879.1045
Renewables,367029,1965,466.325
Renewables,367029,1966,484.71707
Renewables,367029,1967,456.16882
Renewables,367029,1968,502.08557
Renewables,367029,1969,519.6629
Renewables,367029,1970,539.4915
Renewables,367029,1971,594.86444
Renewables,367029,1972,611.69183
Renewables,367029,1973,579.01697
Renewables,367029,1974,652.71344
Renewables,367029,1975,696.1894
Renewables,367029,1976,698.39355
Renewables,367029,1977,680.0965
Renewables,367029,1978,710.519
Renewables,367029,1979,771.731
Renewables,367029,1980,824.5519
Renewables,367029,1981,878.227
Renewables,367029,1982,885.64154
Renewables,367029,1983,941.4458
Renewables,367029,1984,946.8012
Renewables,367029,1985,1011.03644
Renewables,367029,1986,1038.0441
Renewables,367029,1987,1035.3352
Renewables,367029,1988,1144.2135
Renewables,367029,1989,1228.8286
Renewables,367029,1990,1248.8961
Renewables,367029,1991,1283.836
Renewables,367029,1992,1258.068
Renewables,367029,1993,1372.8188
Renewables,367029,1994,1392.8475
Renewables,367029,1995,1527.4911
Renewables,367029,1996,1498.8856
Renewables,367029,1997,1518.1621
Renewables,367029,1998,1617.2632
Renewables,367029,1999,1611.0736
Renewables,367029,2000,1686.8328
Renewables,367029,2001,1824.9501
Renewables,367029,2002,1856.9089
Renewables,367029,2003,1904.9984
Renewables,367029,2004,2221.506
Renewables,367029,2005,2326.6777
Renewables,367029,2006,2562.2917
Renewables,367029,2007,2734.419
Renewables,367029,2008,3195.6814
Renewables,367029,2009,3182.026
Renewables,367029,2010,3642.4995
Renewables,367029,2011,3808.2063
Renewables,367029,2012,4329.6333
Renewables,367029,2013,4810.1567
Renewables,367029,2014,5422.066
Renewables,367029,2015,5729.3945
Renewables,367029,2016,6197.4404
Renewables,367029,2017,6768.9624
Renewables,367029,2018,7457.2954
Renewables,367029,2019,8058.7793
Renewables,367029,2020,8690.854
Renewables,367029,2021,9669.253
Renewables,367029,2022,10605.89
Renewables,23,1965,23.683418
Renewables,23,1966,22.625797
Renewables,23,1967,23.41597
Renewables,23,1968,24.409746
Renewables,23,1969,26.575861
Renewables,23,1970,30.907778
Renewables,23,1971,34.866936
Renewables,23,1972,35.056843
Renewables,23,1973,37.40806
Renewables,23,1974,42.39449
Renewables,23,1975,45.584057
Renewables,23,1976,43.397835
Renewables,23,1977,41.418774
Renewables,23,1978,44.687695
Renewables,23,1979,43.459774
Renewables,23,1980,41.049583
Renewables,23,1981,42.29228
Renewables,23,1982,39.408916
Renewables,23,1983,37.225334
Renewables,23,1984,40.22105
Renewables,23,1985,42.677586
Renewables,23,1986,42.94255
Renewables,23,1987,41.756184
Renewables,23,1988,44.720295
Renewables,23,1989,44.73363
Renewables,23,1990,46.068165
Renewables,23,1991,48.60014
Renewables,23,1992,49.313396
Renewables,23,1993,50.644047
Renewables,23,1994,50.046463
Renewables,23,1995,48.939106
Renewables,23,1996,50.3365
Renewables,23,1997,50.466812
Renewables,23,1998,50.323784
Renewables,23,1999,52.009785
Renewables,23,2000,52.065205
Renewables,23,2001,50.915432
Renewables,23,2002,52.75004
Renewables,23,2003,54.63819
Renewables,23,2004,56.691235
Renewables,23,2005,60.8362
Renewables,23,2006,62.266647
Renewables,23,2007,59.896095
Renewables,23,2008,56.388546
Renewables,23,2009,59.178158
Renewables,23,2010,65.073265
Renewables,23,2011,88.660194
Renewables,23,2012,87.37707
Renewables,23,2013,101.3024
Renewables,23,2014,93.46402
Renewables,23,2015,100.612686
Renewables,23,2016,115.454475
Renewables,23,2017,108.02024
Renewables,23,2018,134.56378
Renewables,23,2019,149.09915
Renewables,23,2020,171.95312
Renewables,23,2021,205.36688
Renewables,23,2022,240.12027
Renewables,24,1965,47.55726
Renewables,24,1966,51.24758
Renewables,24,1967,52.332794
Renewables,24,1968,53.772846
Renewables,24,1969,49.434944
Renewables,24,1970,62.953415
Renewables,24,1971,49.736855
Renewables,24,1972,51.119247
Renewables,24,1973,56.801395
Renewables,24,1974,67.15973
Renewables,24,1975,70.362144
Renewables,24,1976,60.81226
Renewables,24,1977,73.69054
Renewables,24,1978,73.74968
Renewables,24,1979,83.08193
Renewables,24,1980,86.07766
Renewables,24,1981,91.215126
Renewables,24,1982,91.36002
Renewables,24,1983,90.502495
Renewables,24,1984,79.393875
Renewables,24,1985,94.01306
Renewables,24,1986,95.49254
Renewables,24,1987,107.533455
Renewables,24,1988,107.735916
Renewables,24,1989,107.26399
Renewables,24,1990,96.89259
Renewables,24,1991,96.97279
Renewables,24,1992,107.38001
Renewables,24,1993,112.99009
Renewables,24,1994,109.527504
Renewables,24,1995,115.67315
Renewables,24,1996,106.39695
Renewables,24,1997,112.44349
Renewables,24,1998,116.06899
Renewables,24,1999,125.784775
Renewables,24,2000,128.99109
Renewables,24,2001,124.920685
Renewables,24,2002,123.12208
Renewables,24,2003,103.139915
Renewables,24,2004,115.47339
Renewables,24,2005,118.82487
Renewables,24,2006,120.292366
Renewables,24,2007,127.58024
Renewables,24,2008,131.58855
Renewables,24,2009,139.61539
Renewables,24,2010,132.76695
Renewables,24,2011,120.841354
Renewables,24,2012,148.79189
Renewables,24,2013,145.05257
Renewables,24,2014,144.66635
Renewables,24,2015,138.20769
Renewables,24,2016,145.64502
Renewables,24,2017,144.09386
Renewables,24,2018,140.98167
Renewables,24,2019,152.49455
Renewables,24,2020,153.16536
Renewables,24,2021,145.65163
Renewables,24,2022,139.69252
Renewables,25,1985,3.881231
Renewables,25,1986,2.3783975
Renewables,25,1987,2.3783975
Renewables,25,1988,2.0647626
Renewables,25,1989,2.0647626
Renewables,25,1990,4.902688
Renewables,25,1991,5.2022314
Renewables,25,1992,5.166747
Renewables,25,1993,7.173656
Renewables,25,1994,5.41129
Renewables,25,1995,4.601075
Renewables,25,1996,4.5448923
Renewables,25,1997,5.0623655
Renewables,25,1998,5.769086
Renewables,25,1999,4.453226
Renewables,25,2000,4.5360217
Renewables,25,2001,3.822062
Renewables,25,2002,5.8960457
Renewables,25,2003,7.163306
Renewables,25,2004,7.938951
Renewables,25,2005,8.617157
Renewables,25,2006,7.164729
Renewables,25,2007,6.684496
Renewables,25,2008,6.27205
Renewables,25,2009,6.452561
Renewables,25,2010,9.566865
Renewables,25,2011,7.3816075
Renewables,25,2012,4.9930644
Renewables,25,2013,4.2766576
Renewables,25,2014,3.8128233
Renewables,25,2015,4.7246885
Renewables,25,2016,5.6791754
Renewables,25,2017,5.077308
Renewables,25,2018,5.2592063
Renewables,25,2019,4.831787
Renewables,25,2020,3.504816
Renewables,25,2021,4.034253
Renewables,25,2022,4.861487
Renewables,28,1971,0.51747304
Renewables,28,1972,0.51747304
Renewables,28,1973,0.9787633
Renewables,28,1974,0.71854836
Renewables,28,1975,1.2892472
Renewables,28,1976,1.4607527
Renewables,28,1977,1.2922041
Renewables,28,1978,1.4962367
Renewables,28,1979,1.7357528
Renewables,28,1980,1.7239248
Renewables,28,1981,1.8481183
Renewables,28,1982,1.5465052
Renewables,28,1983,1.9575269
Renewables,28,1984,2.6524193
Renewables,28,1985,2.185215
Renewables,28,1986,1.330645
Renewables,28,1987,1.5287633
Renewables,28,1988,1.9959676
Renewables,28,1989,2.7204301
Renewables,28,1990,2.6139784
Renewables,28,1991,2.477957
Renewables,28,1992,2.3537633
Renewables,28,1993,1.7978494
Renewables,28,1994,2.5045698
Renewables,28,1995,1.0999999
Renewables,28,1996,2.185215
Renewables,28,1997,2.1260753
Renewables,28,1998,2.557796
Renewables,28,1999,2.463172
Renewables,28,2000,2.2147849
Renewables,28,2001,2.9172235
Renewables,28,2002,2.1864989
Renewables,28,2003,2.174803
Renewables,28,2004,2.1638322
Renewables,28,2005,2.1544325
Renewables,28,2006,2.1511257
Renewables,28,2007,2.1478608
Renewables,28,2008,2.720417
Renewables,28,2009,1.2498105
Renewables,28,2010,2.162397
Renewables,28,2011,2.5835178
Renewables,28,2012,2.3974414
Renewables,28,2013,2.356739
Renewables,28,2014,2.006208
Renewables,28,2015,2.9779804
Renewables,28,2016,2.9826427
Renewables,28,2017,3.4395626
Renewables,28,2018,3.0427399
Renewables,28,2019,3.0585682
Renewables,28,2020,2.8878322
Renewables,28,2021,3.3477104
Renewables,28,2022,3.7606997
Renewables,30,1985,0.05913972
Renewables,30,1986,0.05913972
Renewables,30,1987,0.05913972
Renewables,30,1988,0.05913972
Renewables,30,1989,0.05913972
Renewables,30,1990,0.05913972
Renewables,30,1991,0.05322583
Renewables,30,1992,0.050268885
Renewables,30,1993,0.056182776
Renewables,30,1994,0.056182776
Renewables,30,1995,0.05913972
Renewables,30,1996,0.047311943
Renewables,30,1997,0.062096667
Renewables,30,1998,0.08279583
Renewables,30,1999,0.056182776
Renewables,30,2000,0.07983861
Renewables,30,2001,0.08813361
Renewables,30,2002,0.08464611
Renewables,30,2003,0.081203334
Renewables,30,2004,0.09800519
Renewables,30,2005,0.10594619
Renewables,30,2006,0.108819
Renewables,30,2007,0.1464851
Renewables,30,2008,0.29996726
Renewables,30,2009,0.55638576
Renewables,30,2010,0.78637743
Renewables,30,2011,0.7487688
Renewables,30,2012,0.85629714
Renewables,30,2013,0.9279843
Renewables,30,2014,0.89756286
Renewables,30,2015,0.9543609
Renewables,30,2016,1.1507889
Renewables,30,2017,2.119413
Renewables,30,2018,1.9231772
Renewables,30,2019,2.3502238
Renewables,30,2020,2.9966106
Renewables,30,2021,2.813156
Renewables,30,2022,2.955624
Renewables,4,1965,0.8043011
Renewables,4,1966,0.88413966
Renewables,4,1967,0.7037633
Renewables,4,1968,0.7215053
Renewables,4,1969,0.6801075
Renewables,4,1970,0.72741944
Renewables,4,1971,0.39623666
Renewables,4,1972,0.53225803
Renewables,4,1973,0.8759411
Renewables,4,1974,1.0544355
Renewables,4,1975,0.80608225
Renewables,4,1976,0.5042675
Renewables,4,1977,1.45084
Renewables,4,1978,1.4893816
Renewables,4,1979,1.69748
Renewables,4,1980,1.7797045
Renewables,4,1981,2.0555441
Renewables,4,1982,1.1315188
Renewables,4,1983,1.0637769
Renewables,4,1984,1.1145161
Renewables,4,1985,1.0178428
Renewables,4,1986,1.3941194
Renewables,4,1987,1.7395833
Renewables,4,1988,1.6598117
Renewables,4,1989,1.5322917
Renewables,4,1990,1.7074597
Renewables,4,1991,1.6552756
Renewables,4,1992,1.8872647
Renewables,4,1993,1.5568211
Renewables,4,1994,1.8318212
Renewables,4,1995,2.0507727
Renewables,4,1996,1.7327287
Renewables,4,1997,1.8033936
Renewables,4,1998,2.328797
Renewables,4,1999,2.6301074
Renewables,4,2000,3.2206988
Renewables,4,2001,3.3100085
Renewables,4,2002,3.518733
Renewables,4,2003,3.7072606
Renewables,4,2004,4.6358757
Renewables,4,2005,6.5531263
Renewables,4,2006,9.171264
Renewables,4,2007,10.805004
Renewables,4,2008,13.687
Renewables,4,2009,18.292332
Renewables,4,2010,24.401985
Renewables,4,2011,29.101002
Renewables,4,2012,35.25785
Renewables,4,2013,38.324295
Renewables,4,2014,40.042107
Renewables,4,2015,44.693233
Renewables,4,2016,45.997673
Renewables,4,2017,50.561905
Renewables,4,2018,53.84039
Renewables,4,2019,59.65564
Renewables,4,2020,72.13415
Renewables,4,2021,70.46962
Renewables,4,2022,72.73318
Renewables,37,1965,75.447586
Renewables,37,1966,82.51774
Renewables,37,1967,86.311554
Renewables,37,1968,90.33602
Renewables,37,1969,96.66989
Renewables,37,1970,122.93911
Renewables,37,1971,133.2507
Renewables,37,1972,156.45473
Renewables,37,1973,177.15948
Renewables,37,1974,200.06517
Renewables,37,1975,219.73415
Renewables,37,1976,250.88127
Renewables,37,1977,286.41428
Renewables,37,1978,319.62863
Renewables,37,1979,366.2914
Renewables,37,1980,406.40073
Renewables,37,1981,410.46942
Renewables,37,1982,449.0857
Renewables,37,1983,493.07523
Renewables,37,1984,545.8572
Renewables,37,1985,591.3355
Renewables,37,1986,619.0688
Renewables,37,1987,630.5249
