fonte,entities,years,values
Solar,273,1971,0.0
Solar,273,1972,0.0
Solar,273,1973,0.0
Solar,273,1974,0.0
Solar,273,1975,0.0
Solar,273,1976,0.0
Solar,273,1977,0.0
Solar,273,1978,0.0
Solar,273,1979,0.0
Solar,273,1980,0.0
Solar,273,1981,0.0
Solar,273,1982,0.0
Solar,273,1983,0.0
Solar,273,1984,0.0
Solar,273,1985,0.0
Solar,273,1986,0.0
Solar,273,1987,0.0
Solar,273,1988,0.0
Solar,273,1989,0.0
Solar,273,1990,0.0
Solar,273,1991,0.0
Solar,273,1992,0.0
Solar,273,1993,0.0
Solar,273,1994,0.0
Solar,273,1995,0.0
Solar,273,1996,0.0
Solar,273,1997,0.0
Solar,273,1998,0.0
Solar,273,1999,0.0
Solar,273,2000,0.035309397
Solar,273,2001,0.043949258
Solar,273,2002,0.04903564
Solar,273,2003,0.058174383
Solar,273,2004,0.07079313
Solar,273,2005,0.0841371
Solar,273,2006,0.10787505
Solar,273,2007,0.14273654
Solar,273,2008,0.2041617
Solar,273,2009,0.26760218
Solar,273,2010,0.5996689
Solar,273,2011,1.6609564
Solar,273,2012,2.7218072
Solar,273,2013,2.1511917
Solar,273,2014,5.163514
Solar,273,2015,9.722824
Solar,273,2016,14.239504
Solar,273,2017,18.50974
Solar,273,2018,22.178051
Solar,273,2019,29.34746
Solar,273,2020,40.154903
Solar,273,2021,46.85353
Solar,273,2022,47.401512
Solar,367024,1971,0.0
Solar,367024,1972,0.0
Solar,367024,1973,0.0
Solar,367024,1974,0.0
Solar,367024,1975,0.0
Solar,367024,1976,0.0
Solar,367024,1977,0.0
Solar,367024,1978,0.0
Solar,367024,1979,0.0
Solar,367024,1980,0.0
Solar,367024,1981,0.0
Solar,367024,1982,0.0
Solar,367024,1983,0.0
Solar,367024,1984,0.0
Solar,367024,1985,0.0
Solar,367024,1986,0.0
Solar,367024,1987,0.0
Solar,367024,1988,0.0
Solar,367024,1989,0.0
Solar,367024,1990,0.0
Solar,367024,1991,0.0
Solar,367024,1992,0.0
Solar,367024,1993,0.0
Solar,367024,1994,0.0
Solar,367024,1995,0.0
Solar,367024,1996,0.0
Solar,367024,1997,0.0
Solar,367024,1998,0.0
Solar,367024,1999,0.0
Solar,367024,2000,0.035309445
Solar,367024,2001,0.043949444
Solar,367024,2002,0.049035557
Solar,367024,2003,0.058174446
Solar,367024,2004,0.07079333
Solar,367024,2005,0.08413694
Solar,367024,2006,0.107875
Solar,367024,2007,0.14273639
Solar,367024,2008,0.20416167
Solar,367024,2009,0.26760194
Solar,367024,2010,0.59966856
Solar,367024,2011,1.6609564
Solar,367024,2012,2.7218072
Solar,367024,2013,2.1511917
Solar,367024,2014,5.1635137
Solar,367024,2015,9.722824
Solar,367024,2016,14.239504
Solar,367024,2017,18.509743
Solar,367024,2018,22.178051
Solar,367024,2019,29.34746
Solar,367024,2020,40.154903
Solar,367024,2021,46.85353
Solar,367024,2022,47.401516
Solar,17,1990,0.0
Solar,17,1991,0.0
Solar,17,1992,0.0
Solar,17,1993,0.0
Solar,17,1994,0.0
Solar,17,1995,0.0
Solar,17,1996,0.0
Solar,17,1997,0.0
Solar,17,1998,0.0
Solar,17,1999,0.0
Solar,17,2000,0.0
Solar,17,2001,0.0
Solar,17,2002,0.0
Solar,17,2003,0.0
Solar,17,2004,0.0
Solar,17,2005,0.0
Solar,17,2006,0.0
Solar,17,2007,0.0
Solar,17,2008,0.0
Solar,17,2009,0.0
Solar,17,2010,0.025257777
Solar,17,2011,0.049983334
Solar,17,2012,0.07327278
Solar,17,2013,0.077946946
Solar,17,2014,0.16254583
Solar,17,2015,0.1561925
Solar,17,2016,0.65587413
Solar,17,2017,1.3412902
Solar,17,2018,1.5953735
Solar,17,2019,1.6211231
Solar,17,2020,1.799008
Solar,17,2021,1.7374732
Solar,17,2022,1.7774663
Solar,21,1990,0.0
Solar,21,1991,0.0
Solar,21,1992,0.0
Solar,21,1993,0.0
Solar,21,1994,0.0
Solar,21,1995,0.0
Solar,21,1996,0.0
Solar,21,1997,0.0
Solar,21,1998,5.026889e-05
Solar,21,1999,7.688166e-05
Solar,21,2000,0.00010645166
Solar,21,2001,0.000126325
Solar,21,2002,0.00013718527
Solar,21,2003,0.00018850806
Solar,21,2004,0.00020171555
Solar,21,2005,0.00023193638
Solar,21,2006,0.00025608638
Solar,21,2007,0.00030792778
Solar,21,2008,0.00040380552
Solar,21,2009,0.00021248082
Solar,21,2010,0.00023839444
Solar,21,2011,0.004452472
Solar,21,2012,0.022409748
Solar,21,2013,0.041083056
Solar,21,2014,0.043193888
Solar,21,2015,0.03954083
Solar,21,2016,0.038209442
Solar,21,2017,0.043690275
Solar,21,2018,0.2860825
Solar,21,2019,2.1079817
Solar,21,2020,3.5306728
Solar,21,2021,5.763542
Solar,21,2022,7.658984
Solar,275,1965,0.0
Solar,275,1966,0.0
Solar,275,1967,0.0
Solar,275,1968,0.0
Solar,275,1969,0.0
Solar,275,1970,0.0
Solar,275,1971,0.0
Solar,275,1972,0.0
Solar,275,1973,0.0
Solar,275,1974,0.0
Solar,275,1975,0.0
Solar,275,1976,0.0
Solar,275,1977,0.0
Solar,275,1978,0.0
Solar,275,1979,0.0
Solar,275,1980,0.0
Solar,275,1981,0.0
Solar,275,1982,0.0
Solar,275,1983,0.0
Solar,275,1984,0.0
Solar,275,1985,0.0
Solar,275,1986,0.0
Solar,275,1987,0.0
Solar,275,1988,0.0
Solar,275,1989,0.0
Solar,275,1990,0.011827972
Solar,275,1991,0.011827972
Solar,275,1992,0.045833275
Solar,275,1993,0.084274136
Solar,275,1994,0.1064517
Solar,275,1995,0.14640085
Solar,275,1996,0.21456084
Solar,275,1997,0.34409136
Solar,275,1998,0.49475983
Solar,275,1999,0.7264335
Solar,275,2000,1.128829
Solar,275,2001,1.6286256
Solar,275,2002,2.249915
Solar,275,2003,3.0549488
Solar,275,2004,4.007963
Solar,275,2005,5.0639973
Solar,275,2006,6.242032
Solar,275,2007,7.4404664
Solar,275,2008,8.967487
Solar,275,2009,11.51467
Solar,275,2010,16.258839
Solar,275,2011,28.539404
Solar,275,2012,42.711147
Solar,275,2013,79.66127
Solar,275,2014,160.74902
Solar,275,2015,246.3561
Solar,275,2016,370.0739
Solar,275,2017,579.48773
Solar,275,2018,822.4198
Solar,275,2019,1032.6302
Solar,275,2020,1233.8334
Solar,275,2021,1556.135
Solar,275,2022,1944.5848
Solar,367029,1965,0.0
Solar,367029,1966,0.0
Solar,367029,1967,0.0
Solar,367029,1968,0.0
Solar,367029,1969,0.0
Solar,367029,1970,0.0
Solar,367029,1971,0.0
Solar,367029,1972,0.0
Solar,367029,1973,0.0
Solar,367029,1974,0.0
Solar,367029,1975,0.0
Solar,367029,1976,0.0
Solar,367029,1977,0.0
Solar,367029,1978,0.0
Solar,367029,1979,0.0
Solar,367029,1980,0.0
Solar,367029,1981,0.0
Solar,367029,1982,0.0
Solar,367029,1983,0.0
Solar,367029,1984,0.0
Solar,367029,1985,0.0
Solar,367029,1986,0.0
Solar,367029,1987,0.0
Solar,367029,1988,0.0
Solar,367029,1989,0.0
Solar,367029,1990,0.011827944
Solar,367029,1991,0.02794361
Solar,367029,1992,0.08161277
Solar,367029,1993,0.1274461
Solar,367029,1994,0.15790333
Solar,367029,1995,0.2089411
Solar,367029,1996,0.29025972
Solar,367029,1997,0.43472302
Solar,367029,1998,0.6000289
Solar,367029,1999,0.8464872
Solar,367029,2000,1.2670684
Solar,367029,2001,1.7877069
Solar,367029,2002,2.4200828
Solar,367029,2003,3.238237
Solar,367029,2004,4.218179
Solar,367029,2005,5.3046675
Solar,367029,2006,6.519174
Solar,367029,2007,7.771456
Solar,367029,2008,9.358497
Solar,367029,2009,12.239552
Solar,367029,2010,18.704361
Solar,367029,2011,33.556084
Solar,367029,2012,48.138897
Solar,367029,2013,88.26674
Solar,367029,2014,170.58592
Solar,367029,2015,257.51294
Solar,367029,2016,379.34018
Solar,367029,2017,585.0704
Solar,367029,2018,818.4995
Solar,367029,2019,1029.0088
Solar,367029,2020,1226.2024
Solar,367029,2021,1546.4756
Solar,367029,2022,1937.5665
Solar,23,1990,0.0
Solar,23,1991,0.016115583
Solar,23,1992,0.035779443
Solar,23,1993,0.043171942
Solar,23,1994,0.051451664
Solar,23,1995,0.06254028
Solar,23,1996,0.07569888
Solar,23,1997,0.090631664
Solar,23,1998,0.10526888
Solar,23,1999,0.12005389
Solar,23,2000,0.13823916
Solar,23,2001,0.15908112
Solar,23,2002,0.17016806
Solar,23,2003,0.18328777
Solar,23,2004,0.21021637
Solar,23,2005,0.24067
Solar,23,2006,0.27742696
Solar,23,2007,0.32164195
Solar,23,2008,0.39116
Solar,23,2009,0.8105625
Solar,23,2010,2.7135398
Solar,23,2011,5.6401973
Solar,23,2012,6.6135483
Solar,23,2013,10.485772
Solar,23,2014,13.415453
Solar,23,2015,16.684376
Solar,23,2016,19.91656
Solar,23,2017,23.732206
Solar,23,2018,32.628548
Solar,23,2019,48.23035
Solar,23,2020,62.617725
Solar,23,2021,81.624115
Solar,23,2022,101.26366
Solar,24,1990,0.0
Solar,24,1991,0.0
Solar,24,1992,0.0
Solar,24,1993,0.002957
Solar,24,1994,0.002957
Solar,24,1995,0.002957
Solar,24,1996,0.002957
Solar,24,1997,0.005913972
Solar,24,1998,0.005913972
Solar,24,1999,0.005913972
Solar,24,2000,0.008870971
Solar,24,2001,0.014688944
Solar,24,2002,0.0262695
Solar,24,2003,0.043501943
Solar,24,2004,0.051869724
Solar,24,2005,0.060184166
Solar,24,2006,0.06369972
Solar,24,2007,0.06853694
Solar,24,2008,0.08463861
Solar,24,2009,0.13660361
Solar,24,2010,0.24650778
Solar,24,2011,0.48019886
Solar,24,2012,0.9253566
Solar,24,2013,1.7060405
Solar,24,2014,2.1273081
Solar,24,2015,2.523579
Solar,24,2016,2.934076
Solar,24,2017,3.3771002
Solar,24,2018,3.8498824
Solar,24,2019,4.48667
Solar,24,2020,5.3653355
Solar,24,2021,7.2811704
Solar,24,2022,8.391033
Solar,25,1990,0.0
Solar,25,1991,0.0
Solar,25,1992,0.0
Solar,25,1993,0.0
Solar,25,1994,0.0
Solar,25,1995,0.0
Solar,25,1996,0.0
Solar,25,1997,0.0
Solar,25,1998,0.0
Solar,25,1999,0.0
Solar,25,2000,0.0
Solar,25,2001,0.0
Solar,25,2002,0.0
Solar,25,2003,0.0
Solar,25,2004,0.0
Solar,25,2005,0.0
Solar,25,2006,0.0
Solar,25,2007,0.0
Solar,25,2008,0.0
Solar,25,2009,0.0
Solar,25,2010,0.0
Solar,25,2011,0.0
Solar,25,2012,0.0
Solar,25,2013,0.0021803332
Solar,25,2014,0.007856389
Solar,25,2015,0.012387666
Solar,25,2016,0.09449944
Solar,25,2017,0.099
Solar,25,2018,0.10387111
Solar,25,2019,0.11651
Solar,25,2020,0.12343555
Solar,25,2021,0.14444055
Solar,25,2022,0.15877444
Solar,28,1972,0.0
Solar,28,1973,0.0
Solar,28,1974,0.0
Solar,28,1975,0.0
Solar,28,1976,0.0
Solar,28,1977,0.0
Solar,28,1978,0.0
Solar,28,1979,0.0
Solar,28,1980,0.0
Solar,28,1981,0.0
Solar,28,1982,0.0
Solar,28,1983,0.0
Solar,28,1984,0.0
Solar,28,1985,0.0
Solar,28,1986,0.0
Solar,28,1987,0.0
Solar,28,1988,0.0
Solar,28,1989,0.0
Solar,28,1990,0.0
Solar,28,1991,0.0
Solar,28,1992,0.0
Solar,28,1993,0.0
Solar,28,1994,0.0
Solar,28,1995,0.0
Solar,28,1996,0.0
Solar,28,1997,0.0
Solar,28,1998,0.0
Solar,28,1999,0.0
Solar,28,2000,0.0
Solar,28,2001,0.0
Solar,28,2002,0.00029188333
Solar,28,2003,0.0026101111
Solar,28,2004,0.005475139
Solar,28,2005,0.009735611
Solar,28,2006,0.0153651945
Solar,28,2007,0.025448583
Solar,28,2008,0.042712778
Solar,28,2009,0.07009695
Solar,28,2010,0.12295806
Solar,28,2011,0.16110556
Solar,28,2012,0.24924193
Solar,28,2013,0.35311335
Solar,28,2014,0.4522758
Solar,28,2015,0.5342561
Solar,28,2016,0.58894557
Solar,28,2017,0.6742672
Solar,28,2018,0.72775495
Solar,28,2019,0.86362886
Solar,28,2020,1.0219653
Solar,28,2021,1.5379003
Solar,28,2022,1.7145659
Solar,30,1990,0.0
Solar,30,1991,0.0
Solar,30,1992,0.0
Solar,30,1993,0.0
Solar,30,1994,0.0
Solar,30,1995,0.0
Solar,30,1996,0.0
Solar,30,1997,0.0
Solar,30,1998,0.0
Solar,30,1999,0.0
Solar,30,2000,0.0
Solar,30,2001,0.0
Solar,30,2002,0.0
Solar,30,2003,0.0
Solar,30,2004,0.0
Solar,30,2005,0.0
Solar,30,2006,0.0
Solar,30,2007,0.0
Solar,30,2008,0.0
Solar,30,2009,0.0
Solar,30,2010,0.0
Solar,30,2011,0.0
Solar,30,2012,0.0
Solar,30,2013,0.0010901666
Solar,30,2014,0.0054181945
Solar,30,2015,0.02423675
Solar,30,2016,0.069603056
Solar,30,2017,0.23685472
Solar,30,2018,0.3121958
Solar,30,2019,0.47183916
Solar,30,2020,0.44646916
Solar,30,2021,0.44361973
Solar,30,2022,0.74311584
Solar,4,1990,0.0
Solar,4,1991,0.0
Solar,4,1992,0.0
Solar,4,1993,0.0
Solar,4,1994,0.0
Solar,4,1995,0.0
Solar,4,1996,0.0
Solar,4,1997,0.0
Solar,4,1998,0.0
Solar,4,1999,0.0
