fonte,entities,years,values
Wind,273,1965,0.0
Wind,273,1966,0.0
Wind,273,1967,0.0
Wind,273,1968,0.0
Wind,273,1969,0.0
Wind,273,1970,0.0
Wind,273,1971,0.0
Wind,273,1972,0.0
Wind,273,1973,0.0
Wind,273,1974,0.0
Wind,273,1975,0.0
Wind,273,1976,0.0
Wind,273,1977,0.0
Wind,273,1978,0.0
Wind,273,1979,0.0
Wind,273,1980,0.0
Wind,273,1981,0.0
Wind,273,1982,0.0
Wind,273,1983,0.0
Wind,273,1984,0.0
Wind,273,1985,0.0
Wind,273,1986,0.0
Wind,273,1987,0.0
Wind,273,1988,0.0
Wind,273,1989,0.0
Wind,273,1990,0.0
Wind,273,1991,0.0
Wind,273,1992,0.0
Wind,273,1993,0.005913972
Wind,273,1994,0.015967749
Wind,273,1995,0.018629028
Wind,273,1996,0.020994611
Wind,273,1997,0.021290332
Wind,273,1998,0.02247311
Wind,273,1999,0.058548413
Wind,273,2000,0.51895165
Wind,273,2001,1.2208858
Wind,273,2002,1.2947483
Wind,273,2003,1.5533037
Wind,273,2004,2.213917
Wind,273,2005,2.2345567
Wind,273,2006,2.4258938
Wind,273,2007,2.8734944
Wind,273,2008,3.6861722
Wind,273,2009,4.4382644
Wind,273,2010,6.3410387
Wind,273,2011,6.5835404
Wind,273,2012,6.897696
Wind,273,2013,9.793645
Wind,273,2014,13.708232
Wind,273,2015,23.996231
Wind,273,2016,29.919563
Wind,273,2017,36.2268
Wind,273,2018,39.058712
Wind,273,2019,50.826218
Wind,273,2020,50.177155
Wind,273,2021,59.608654
Wind,273,2022,62.29431
Wind,367024,1965,0.0
Wind,367024,1966,0.0
Wind,367024,1967,0.0
Wind,367024,1968,0.0
Wind,367024,1969,0.0
Wind,367024,1970,0.0
Wind,367024,1971,0.0
Wind,367024,1972,0.0
Wind,367024,1973,0.0
Wind,367024,1974,0.0
Wind,367024,1975,0.0
Wind,367024,1976,0.0
Wind,367024,1977,0.0
Wind,367024,1978,0.0
Wind,367024,1979,0.0
Wind,367024,1980,0.0
Wind,367024,1981,0.0
Wind,367024,1982,0.0
Wind,367024,1983,0.0
Wind,367024,1984,0.0
Wind,367024,1985,0.0
Wind,367024,1986,0.0
Wind,367024,1987,0.0
Wind,367024,1988,0.0
Wind,367024,1989,0.0
Wind,367024,1990,0.0
Wind,367024,1991,0.0
Wind,367024,1992,0.0
Wind,367024,1993,0.005913972
Wind,367024,1994,0.015967749
Wind,367024,1995,0.018629028
Wind,367024,1996,0.020994611
Wind,367024,1997,0.021290332
Wind,367024,1998,0.02247311
Wind,367024,1999,0.05854833
Wind,367024,2000,0.51895165
Wind,367024,2001,1.2208859
Wind,367024,2002,1.2947483
Wind,367024,2003,1.5533036
Wind,367024,2004,2.213917
Wind,367024,2005,2.234557
Wind,367024,2006,2.425894
Wind,367024,2007,2.8734944
Wind,367024,2008,3.6861725
Wind,367024,2009,4.4382644
Wind,367024,2010,6.341038
Wind,367024,2011,6.58354
Wind,367024,2012,6.8976955
Wind,367024,2013,9.793645
Wind,367024,2014,13.708232
Wind,367024,2015,23.996231
Wind,367024,2016,29.919565
Wind,367024,2017,36.2268
Wind,367024,2018,39.058712
Wind,367024,2019,50.826218
Wind,367024,2020,50.17715
Wind,367024,2021,59.608654
Wind,367024,2022,62.29431
Wind,17,1990,0.0
Wind,17,1991,0.0
Wind,17,1992,0.0
Wind,17,1993,0.0
Wind,17,1994,0.0
Wind,17,1995,0.0
Wind,17,1996,0.0
Wind,17,1997,0.0
Wind,17,1998,0.0
Wind,17,1999,0.0
Wind,17,2000,0.0
Wind,17,2001,0.0
Wind,17,2002,0.0
Wind,17,2003,0.0
Wind,17,2004,0.0
Wind,17,2005,0.0
Wind,17,2006,0.0
Wind,17,2007,0.0
Wind,17,2008,0.0
Wind,17,2009,0.0
Wind,17,2010,0.0
Wind,17,2011,0.0
Wind,17,2012,0.0
Wind,17,2013,0.0
Wind,17,2014,0.0027090972
Wind,17,2015,0.05116639
Wind,17,2016,0.051003054
Wind,17,2017,0.050564446
Wind,17,2018,0.026457276
Wind,17,2019,0.02635972
Wind,17,2020,0.020222416
Wind,17,2021,0.027475111
Wind,17,2022,0.027374918
Wind,21,1990,0.0
Wind,21,1991,0.0
Wind,21,1992,0.0
Wind,21,1993,0.0
Wind,21,1994,0.0
Wind,21,1995,0.0
Wind,21,1996,0.028440276
Wind,21,1997,0.04314833
Wind,21,1998,0.09622333
Wind,21,1999,0.10284694
Wind,21,2000,0.102779165
Wind,21,2001,0.14501223
Wind,21,2002,0.21425694
Wind,21,2003,0.22607638
Wind,21,2004,0.20876417
Wind,21,2005,0.20536307
Wind,21,2006,0.19815388
Wind,21,2007,0.17416167
Wind,21,2008,0.117885
Wind,21,2009,0.10285972
Wind,21,2010,0.07036527
Wind,21,2011,0.07335416
Wind,21,2012,1.0141377
Wind,21,2013,1.2355814
Wind,21,2014,1.6782616
Wind,21,2015,1.5978347
Wind,21,2016,1.4653004
Wind,21,2017,1.6275572
Wind,21,2018,3.7377324
Wind,21,2019,13.169229
Wind,21,2020,24.71506
Wind,21,2021,33.85339
Wind,21,2022,36.92865
Wind,275,1965,0.0
Wind,275,1966,0.0
Wind,275,1967,0.0
Wind,275,1968,0.0
Wind,275,1969,0.0
Wind,275,1970,0.0
Wind,275,1971,0.0
Wind,275,1972,0.0
Wind,275,1973,0.0
Wind,275,1974,0.0
Wind,275,1975,0.0
Wind,275,1976,0.0
Wind,275,1977,0.0
Wind,275,1978,0.0
Wind,275,1979,0.0
Wind,275,1980,0.0
Wind,275,1981,0.0
Wind,275,1982,0.0
Wind,275,1983,0.0
Wind,275,1984,0.0
Wind,275,1985,0.0
Wind,275,1986,0.0
Wind,275,1987,0.0
Wind,275,1988,0.0
Wind,275,1989,0.0
Wind,275,1990,0.09853655
Wind,275,1991,0.3637123
Wind,275,1992,0.6528531
Wind,275,1993,0.91622543
Wind,275,1994,1.70937
Wind,275,1995,3.2958343
Wind,275,1996,2.88862
Wind,275,1997,3.5361347
Wind,275,1998,4.3112326
Wind,275,1999,6.0019674
Wind,275,2000,7.0454373
Wind,275,2001,9.402452
Wind,275,2002,10.129173
Wind,275,2003,13.323996
Wind,275,2004,23.48332
Wind,275,2005,29.352158
Wind,275,2006,45.691483
Wind,275,2007,60.313587
Wind,275,2008,91.66827
Wind,275,2009,141.52357
Wind,275,2010,216.39903
Wind,275,2011,303.7643
Wind,275,2012,395.0644
Wind,275,2013,504.18372
Wind,275,2014,571.8369
Wind,275,2015,648.8327
Wind,275,2016,835.9113
Wind,275,2017,1040.41
Wind,275,2018,1232.154
Wind,275,2019,1355.3057
Wind,275,2020,1518.7006
Wind,275,2021,2056.8257
Wind,275,2022,2365.34
Wind,367029,1965,0.0
Wind,367029,1966,0.0
Wind,367029,1967,0.0
Wind,367029,1968,0.0
Wind,367029,1969,0.0
Wind,367029,1970,0.0
Wind,367029,1971,0.0
Wind,367029,1972,0.0
Wind,367029,1973,0.0
Wind,367029,1974,0.0
Wind,367029,1975,0.0
Wind,367029,1976,0.0
Wind,367029,1977,0.0
Wind,367029,1978,0.0
Wind,367029,1979,0.0
Wind,367029,1980,0.0
Wind,367029,1981,0.0
Wind,367029,1982,0.0
Wind,367029,1983,0.0
Wind,367029,1984,0.0
Wind,367029,1985,0.0
Wind,367029,1986,0.0
Wind,367029,1987,0.0
Wind,367029,1988,0.0
Wind,367029,1989,0.0
Wind,367029,1990,0.095579445
Wind,367029,1991,0.36075526
Wind,367029,1992,0.65193945
Wind,367029,1993,0.92209774
Wind,367029,1994,1.7256635
Wind,367029,1995,3.316563
Wind,367029,1996,2.9309826
Wind,367029,1997,3.589637
Wind,367029,1998,4.404584
Wind,367029,1999,6.071435
Wind,367029,2000,7.5815635
Wind,367029,2001,10.333403
Wind,367029,2002,11.870938
Wind,367029,2003,15.4892025
Wind,367029,2004,26.472853
Wind,367029,2005,34.41592
Wind,367029,2006,52.83862
Wind,367029,2007,69.56833
Wind,367029,2008,101.3866
Wind,367029,2009,153.1746
Wind,367029,2010,226.16588
Wind,367029,2011,313.24823
Wind,367029,2012,405.04855
Wind,367029,2013,513.6654
Wind,367029,2014,580.485
Wind,367029,2015,654.5476
Wind,367029,2016,833.16296
Wind,367029,2017,1030.3228
Wind,367029,2018,1222.5673
Wind,367029,2019,1348.6019
Wind,367029,2020,1508.7869
Wind,367029,2021,2039.0095
Wind,367029,2022,2348.8215
Wind,23,1990,0.0
Wind,23,1991,0.0
Wind,23,1992,0.0
Wind,23,1993,0.005913972
Wind,23,1994,0.016263444
Wind,23,1995,0.020698916
Wind,23,1996,0.020698916
Wind,23,1997,0.022177415
Wind,23,1998,0.05322583
Wind,23,1999,0.12715055
Wind,23,2000,0.39623666
Wind,23,2001,0.84314525
Wind,23,2002,1.5573441
Wind,23,2003,2.0418324
Wind,23,2004,2.2909133
Wind,23,2005,3.7197175
Wind,23,2006,6.152049
Wind,23,2007,8.064658
Wind,23,2008,9.718445
Wind,23,2009,12.393357
Wind,23,2010,13.836261
Wind,23,2011,17.743668
Wind,23,2012,21.181452
Wind,23,2013,25.234642
