Code,Year,ConsumptionTotal,Population,PerCapitaConsumption
ABW,2000,0.0,89100.99999999999,0.0
ABW,2001,0.0,90690.5,0.0
ABW,2002,0.0,91781.0,0.0
ABW,2003,0.0,92701.0,0.0
ABW,2004,0.0,93539.5,0.0
ABW,2005,0.0,94483.0,0.0
ABW,2006,0.0,95606.5,0.0
ABW,2007,0.0,96787.00000000001,0.0
ABW,2008,0.0,97996.0,0.0
ABW,2009,0.0,99212.0,0.0
ABW,2010,0.0,100341.5,0.0
ABW,2011,0.0,101287.99999999996,0.0
ABW,2012,0.0,102111.5,0.0
ABW,2013,0.0,102879.99999999999,0.0
ABW,2014,0.0,103594.0,0.0
ABW,2015,0.0,104257.50000000001,0.0
ABW,2016,0.0,104874.50000000004,0.0
ABW,2017,0.0,105438.50000000001,0.0
ABW,2018,0.0,105961.5,0.0
ABW,2019,0.0,106442.50000000003,0.0
ABW,2020,0.0,106584.50000000001,0.0
ABW,2021,0.0,106536.5,0.0
AFG,2000,0.0,19542982.50000001,0.0
AFG,2001,0.0,19688632.500000004,0.0
AFG,2002,0.0,21000256.500000007,0.0
AFG,2003,0.0,22645130.000000015,0.0
AFG,2004,0.0,23553550.5,0.0
AFG,2005,0.0,24411190.49999999,0.0
AFG,2006,0.0,25442944.0,0.0
AFG,2007,0.0,25903300.5,0.0
AFG,2008,0.0,26427199.000000004,0.0
AFG,2009,0.0,27385307.5,0.0
AFG,2010,0.0,28189671.99999999,0.0
AFG,2011,0.0,29249157.000000004,0.0
AFG,2012,0.0,30466478.500000004,0.0
AFG,2013,0.0,31541208.5,0.0
AFG,2014,0.0,32716210.000000004,0.0
AFG,2015,0.0,33753499.0,0.0
AFG,2016,0.0,34636207.5,0.0
AFG,2017,0.0,35643417.5,0.0
AFG,2018,0.0,36686783.99999999,0.0
AFG,2019,0.0,37769498.5,0.0
AFG,2020,0.0,38972230.50000001,0.0
AFG,2021,0.0,40099462.0,0.0
AGO,1965,0.0,5736581.5,0.0
AGO,1966,0.0,5787044.499999999,0.0
AGO,1967,0.0,5827502.999999999,0.0
AGO,1968,0.0,5868203.500000001,0.0
AGO,1969,0.0,5928385.500000001,0.0
AGO,1970,0.0,6029700.499999998,0.0
AGO,1971,0.0,6177048.999999998,0.0
AGO,1972,0.0,6364731.500000002,0.0
AGO,1973,0.0,6578229.500000001,0.0
AGO,1974,0.0,6802494.500000001,0.0
AGO,1975,0.0,7032713.000000001,0.0
AGO,1976,0.0,7266780.500000001,0.0
AGO,1977,0.0,7511894.499999998,0.0
AGO,1978,0.0,7771589.999999998,0.0
AGO,1979,0.0,8043218.000000002,0.0
AGO,1980,0.0,8330046.5,0.0
AGO,1981,0.0,8631456.500000002,0.0
AGO,1982,0.0,8947152.000000002,0.0
AGO,1983,0.0,9276706.500000002,0.0
AGO,1984,0.0,9617701.999999996,0.0
AGO,1985,0.0,9970621.000000004,0.0
AGO,1986,0.0,10332573.500000002,0.0
AGO,1987,0.0,10694057.0,0.0
AGO,1988,0.0,11060260.5,0.0
AGO,1989,0.0,11439498.0,0.0
AGO,1990,0.0,11828637.5,0.0
AGO,1991,0.0,12228690.500000002,0.0
AGO,1992,0.0,12632506.999999998,0.0
AGO,1993,0.0,13038269.5,0.0
AGO,1994,0.0,13462031.0,0.0
AGO,1995,0.0,13912252.499999996,0.0
AGO,1996,0.0,14383349.5,0.0
AGO,1997,0.0,14871146.0,0.0
AGO,1998,0.0,15366863.999999996,0.0
AGO,1999,0.0,15870752.500000004,0.0
AGO,2000,0.0,16394061.999999998,0.0
AGO,2001,0.0,16941586.5,0.0
AGO,2002,0.0,17516138.5,0.0
AGO,2003,0.0,18124342.5,0.0
AGO,2004,0.0,18771125.0,0.0
AGO,2005,0.0,19450958.5,0.0
AGO,2006,0.0,20162340.50000001,0.0
AGO,2007,0.0,20909684.0,0.0
AGO,2008,0.0,21691522.000000004,0.0
AGO,2009,0.0,22507673.999999993,0.0
AGO,2010,0.0,23364185.5,0.0
AGO,2011,0.0,24259111.500000004,0.0
AGO,2012,0.0,25188292.5,0.0
AGO,2013,0.0,26147002.000000004,0.0
AGO,2014,0.0,27128336.5,0.0
AGO,2015,0.0,28127721.0,0.0
AGO,2016,0.0,29154745.5,0.0
AGO,2017,0.0,30208628.0,0.0
AGO,2018,0.0,31273533.0,0.0
AGO,2019,0.0,32353588.0,0.0
AGO,2020,0.0,33428485.999999996,0.0
AGO,2021,0.0,34503773.5,0.0
AGO,2022,0.0,35588987.00000001,0.0
ALB,1990,0.0,3295065.499999999,0.0
ALB,1991,0.0,3302081.5,0.0
ALB,1992,0.0,3303739.0,0.0
ALB,1993,0.0,3300710.500000001,0.0
ALB,1994,0.0,3293998.5,0.0
ALB,1995,0.0,3284364.000000001,0.0
ALB,1996,0.0,3271331.0000000005,0.0
ALB,1997,0.0,3253718.999999999,0.0
ALB,1998,0.0,3232175.5,0.0
ALB,1999,0.0,3208260.0,0.0
ALB,2000,0.0,3182020.499999999,0.0
ALB,2001,0.0,3153612.000000001,0.0
ALB,2002,0.0,3123551.000000001,0.0
ALB,2003,0.0,3092991.0000000014,0.0
ALB,2004,0.0,3062622.5,0.0
ALB,2005,0.0,3032634.0,0.0
ALB,2006,0.0,3003387.0000000005,0.0
ALB,2007,0.0,2976083.5,0.0
ALB,2008,0.0,2951689.0,0.0
ALB,2009,0.0,2930541.500000001,0.0
ALB,2010,0.0,2913399.5,0.0
ALB,2011,0.0,2900654.0,0.0
ALB,2012,0.0,2892193.0000000005,0.0
ALB,2013,0.0,2887014.000000001,0.0
ALB,2014,0.0,2884102.0000000005,0.0
ALB,2015,0.0,2882480.5,0.0
ALB,2016,0.0,2881063.000000001,0.0
ALB,2017,0.0,2879355.0,0.0
ALB,2018,0.0,2877013.000000001,0.0
ALB,2019,0.0,2873883.5000000005,0.0
ALB,2020,0.0,2866848.5,0.0
ALB,2021,0.0,2854710.0,0.0
ANT,1965,0.0,,0.0
ANT,1966,0.0,,0.0
ANT,1967,0.0,,0.0
ANT,1968,0.0,,0.0
ANT,1969,0.0,,0.0
ANT,1970,0.0,,0.0
ANT,1971,0.0,,0.0
ANT,1972,0.0,,0.0
ANT,1973,0.0,,0.0
ANT,1974,0.0,,0.0
ANT,1975,0.0,,0.0
ANT,1976,0.0,,0.0
ANT,1977,0.0,,0.0
ANT,1978,0.0,,0.0
ANT,1979,0.0,,0.0
ANT,1980,0.0,,0.0
ANT,1981,0.0,,0.0
ANT,1982,0.0,,0.0
ANT,1983,0.0,,0.0
ANT,1984,0.0,,0.0
ANT,1985,0.0,,0.0
ANT,1986,0.0,,0.0
ANT,1987,0.0,,0.0
ANT,1988,0.0,,0.0
ANT,1989,0.0,,0.0
ANT,1990,0.0,,0.0
ANT,1991,0.0,,0.0
ANT,1992,0.0,,0.0
ANT,1993,0.0,,0.0
ANT,1994,0.0,,0.0
ANT,1995,0.0,,0.0
ANT,1996,0.0,,0.0
ANT,1997,0.0,,0.0
ANT,1998,0.0,,0.0
ANT,1999,0.0,,0.0
ANT,2000,0.0,,0.0
ANT,2001,0.0,,0.0
ANT,2002,0.0,,0.0
ANT,2003,0.0,,0.0
ANT,2004,0.0,,0.0
ANT,2005,0.0,,0.0
