Code,FirstYear,FirstPerCapitaConsumption,LastYear,LastPerCapitaConsumption,TotalGrowth,Period,AvgGrowth
ABW,2000,0.0,2021,0.0,0.0,21,0.0
AFG,2000,0.0,2021,0.0,0.0,21,0.0
AGO,1965,0.0,2022,0.0,0.0,57,0.0
ALB,1990,0.0,2021,0.0,0.0,31,0.0
ANT,1965,0.0,2011,0.0,0.0,46,0.0
ARE,1965,4.916859660580047,2022,148.57421560580497,143.6573559452249,57,2.5203044902671037
ARG,1965,14.896737784261758,2022,21.994425066421194,7.097687282159436,57,0.12452082951156905
ARM,2000,0.0,2021,0.0,0.0,21,0.0
ASM,2000,0.0,2021,0.0,0.0,21,0.0
ATG,2000,0.0,2021,0.0,0.0,21,0.0
AUS,1965,37.397533373490816,2022,63.45883675635106,26.061303382860245,57,0.4572158488221096
AUT,1965,26.066190565796894,2022,42.68537969803404,16.619189132237146,57,0.2915647216181955
AZE,1980,0.0,2022,18.74792384718434,18.74792384718434,42,0.4463791392186747
BDI,2000,0.0,2022,0.0,0.0,22,0.0
BEL,1965,43.87349788768963,2022,58.39579089785198,14.52229301016235,57,0.25477707035372543
BEN,2000,0.0,2021,0.0,0.0,21,0.0
BFA,2000,0.0,2021,0.0,0.0,21,0.0
BGD,1971,0.19607521411981274,2022,2.912047918417104,2.7159727042972914,51,0.05325436675092728
BGR,1965,14.545131427908174,2022,34.17553100117327,19.630399573265095,57,0.34439297496956306
BHR,1965,0.0,2022,0.0,0.0,57,0.0
BHS,2000,0.0,2021,0.0,0.0,21,0.0
BIH,2000,0.0,2022,0.0,0.0,22,0.0
BLR,1980,0.0,2022,31.13270147225139,31.13270147225139,42,0.7412547969583665
BLZ,2000,0.0,2021,0.0,0.0,21,0.0
BMU,2000,0.0,2021,0.0,0.0,21,0.0
BOL,1970,0.0,2022,0.0,0.0,52,0.0
BRA,1965,3.2363210770120996,2022,17.29974937753321,14.06342830052111,57,0.24672681228984403
BRB,2000,0.0,2021,0.0,0.0,21,0.0
BRN,1965,0.0,2022,0.0,0.0,57,0.0
BTN,2000,0.0,2021,0.0,0.0,21,0.0
BWA,2000,0.0,2021,0.0,0.0,21,0.0
CAF,2000,0.0,2021,0.0,0.0,21,0.0
CAN,1965,70.54954132157842,2022,102.1602882297225,31.61074690814408,57,0.5545745071604224
CHE,1965,31.153632098766483,2022,33.350748426400756,2.197116327634273,57,0.0385459004848118
CHL,1965,8.052622795058086,2022,25.34271074799886,17.290087952940773,57,0.303334876367382
CHN,1965,2.1222655210215065,2022,31.051482155072957,28.92921663405145,57,0.5075301163868675
CIV,2000,0.0,2021,0.0,0.0,21,0.0
CMR,2000,0.0,2021,0.0,0.0,21,0.0
COD,1995,0.0,2022,0.0,0.0,27,0.0
COG,1965,0.0,2022,0.0,0.0,57,0.0
COK,2000,0.0,2021,0.0,0.0,21,0.0
COL,1965,5.34440605490951,2022,11.746604967449606,6.402198912540096,57,0.11231927916737011
COM,2000,0.0,2021,0.0,0.0,21,0.0
CPV,2000,0.0,2021,0.0,0.0,21,0.0
CRI,2000,0.0,2022,0.0,0.0,22,0.0
CUB,1995,0.0,2022,0.0,0.0,27,0.0
CYM,2000,0.0,2021,0.0,0.0,21,0.0
CYP,1965,7.5812613540737805,2022,25.055436817837315,17.474175463763533,57,0.30656448182041285
CZE,1965,48.31404721145493,2022,44.24216679915524,-4.071880412299684,57,-0.07143649846139798
DEU,1965,39.05039432822256,2022,40.97748690734608,1.9270925791235243,57,0.033808641739009195
DJI,2000,0.0,2021,0.0,0.0,21,0.0
DMA,2000,0.0,2021,0.0,0.0,21,0.0
DNK,1965,34.94459102618349,2022,32.1979252367478,-2.7466657894356885,57,-0.048187119112906816
DOM,2000,0.0,2021,0.0,0.0,21,0.0
DZA,1965,2.0056646328934646,2022,15.252127567674705,13.24646293478124,57,0.2323940865751095
ECU,1965,1.6219519924816646,2022,12.150252133214822,10.528300140733158,57,0.18470702001286243
EGY,1965,2.9746774923394548,2022,9.960061736315351,6.985384243975897,57,0.12255060077150697
ERI,2000,0.0,2021,0.0,0.0,21,0.0
ESH,2000,0.0,2021,0.0,0.0,21,0.0
ESP,1965,10.50717668304491,2022,33.61533313318038,23.108156450135468,57,0.40540625351114856
EST,1985,77.63403225362471,2022,46.50493340432046,-31.12909884930425,37,-0.8413269959271419
ETH,2000,0.0,2021,0.0,0.0,21,0.0
FIN,1965,25.28239498740684,2022,58.96615229845878,33.68375731105194,57,0.5909431107202096
FJI,2000,0.0,2021,0.0,0.0,21,0.0
FLK,2000,0.0,2021,0.0,0.0,21,0.0
FRA,1965,27.188883022597814,2022,36.05179358885938,8.862910566261569,57,0.1554896590572205
FRO,2000,0.0,2021,0.0,0.0,21,0.0
GAB,1965,0.0,2022,0.0,0.0,57,0.0
GBR,1965,42.711472397838044,2022,30.09788523476273,-12.613587163075312,57,-0.2212910028609704
GEO,2000,0.0,2022,0.0,0.0,22,0.0
GHA,2000,0.0,2021,0.0,0.0,21,0.0
GIN,2000,0.0,2021,0.0,0.0,21,0.0
GLP,2000,0.0,2021,0.0,0.0,21,0.0
GMB,2000,0.0,2021,0.0,0.0,21,0.0
GNB,2000,0.0,2021,0.0,0.0,21,0.0
GNQ,1980,0.0,2022,0.0,0.0,42,0.0
GRC,1965,9.282643908881678,2022,30.41034866635641,21.12770475747473,57,0.3706614869732409
GRD,2000,0.0,2021,0.0,0.0,21,0.0
GRL,2000,0.0,2021,0.0,0.0,21,0.0
GTM,2000,0.0,2021,0.0,0.0,21,0.0
GUF,2000,0.0,2021,0.0,0.0,21,0.0
GUM,2000,0.0,2021,0.0,0.0,21,0.0
GUY,2000,0.0,2021,0.0,0.0,21,0.0
HKG,1965,7.301998679077819,2022,29.152297203915413,21.850298524837594,57,0.38333857061118587
HND,2000,0.0,2021,0.0,0.0,21,0.0
HRV,1990,20.686519182064004,2022,23.46819097313328,2.781671791069275,32,0.08692724347091485
HTI,2000,0.0,2021,0.0,0.0,21,0.0
HUN,1965,18.240614871322222,2022,26.660480776779483,8.41986590545726,57,0.1477169457097765
IDN,1965,0.8354863991623156,2022,9.85445424640931,9.018967847246994,57,0.15822750609205252
IND,1965,1.2386195976069838,2022,7.143405873356667,5.904786275749684,57,0.10359274167981902
IRL,1965,23.721459745666895,2022,37.76139605584867,14.039936310181776,57,0.2463146721084522
IRN,1965,3.9441484230810815,2022,38.13308620147785,34.18893777839677,57,0.5998059259367854
IRQ,1965,2.7815447942998195,2022,14.39205426027974,11.610509465979922,57,0.20369314852596354
ISL,1965,39.431486981888526,2022,165.8728903441553,126.44140336226678,57,2.218270234425733
ISR,1965,17.37053884257197,2022,33.64303057131594,16.27249172874397,57,0.28548231103059596
ITA,1965,18.04491099755128,2022,28.910201002163475,10.865290004612195,57,0.19061912288793326
JAM,2000,0.0,2021,0.0,0.0,21,0.0
JOR,2000,0.0,2021,0.0,0.0,21,0.0
JPN,1965,18.333032554904065,2022,39.98491307403856,21.651880519134494,57,0.3798575529672718
KAZ,1985,51.64543554210876,2022,44.701977802039146,-6.943457740069611,37,-0.1876610200018814
KEN,2000,0.0,2022,0.0,0.0,22,0.0
KGZ,2000,0.0,2021,0.0,0.0,21,0.0
KHM,2000,0.0,2021,0.0,0.0,21,0.0
KIR,2000,0.0,2021,0.0,0.0,21,0.0
KNA,2000,0.0,2021,0.0,0.0,21,0.0
KOR,1965,2.5640366948518984,2022,68.12618318739187,65.56214649253998,57,1.1502130963603505
KWT,1965,154.17553323991905,2022,103.88306215481231,-50.29247108510674,57,-0.8823240541246796
LAO,2000,0.0,2021,0.0,0.0,21,0.0
LBN,2000,0.0,2021,0.0,0.0,21,0.0
LBR,2000,0.0,2021,0.0,0.0,21,0.0
LBY,1965,0.0,2022,0.0,0.0,57,0.0
LCA,2000,0.0,2021,0.0,0.0,21,0.0
LKA,1965,0.9473134482816117,2022,4.347637609372564,3.400324161090952,57,0.05965480984370091
LSO,2000,0.0,2021,0.0,0.0,21,0.0
LTU,1985,49.19694882928188,2022,23.151077705718613,-26.045871123563266,37,-0.7039424627990072
LUX,1965,126.75808359157534,2022,60.33451286984694,-66.4235707217284,57,-1.165325802135586
LVA,1985,40.03182022248471,2022,21.435644954126953,-18.596175268357758,37,-0.5025993315772367
MAC,2000,0.0,2021,0.0,0.0,21,0.0
MAR,1965,1.3272394563678847,2022,6.855111800571258,5.527872344203374,57,0.09698021656497147
MDA,2000,0.0,2022,0.0,0.0,22,0.0
MDG,1995,0.0,2022,0.0,0.0,27,0.0
MDV,2000,0.0,2021,0.0,0.0,21,0.0
MEX,1965,6.863336381441045,2022,19.009183887151956,12.145847505710911,57,0.21308504395984054
MKD,1990,14.509317015087758,2022,13.875025130176585,-0.6342918849111729,32,-0.019821621403474154
MLI,2000,0.0,2021,0.0,0.0,21,0.0
MLT,1990,0.0,2022,0.0,0.0,32,0.0
MMR,1970,0.0,2022,0.0,0.0,52,0.0
MNE,2005,0.0,2022,0.0,0.0,17,0.0
MNG,1981,0.0,2022,0.0,0.0,41,0.0
MOZ,1995,0.0,2022,0.0,0.0,27,0.0
MRT,2000,0.0,2021,0.0,0.0,21,0.0
MSR,2000,0.0,2021,0.0,0.0,21,0.0
MTQ,2000,0.0,2021,0.0,0.0,21,0.0
MUS,2000,0.0,2021,0.0,0.0,21,0.0
MWI,2000,0.0,2021,0.0,0.0,21,0.0
MYS,1965,3.639462057926199,2022,39.586990732557986,35.94752867463178,57,0.6306583978005577
NAM,2000,0.0,2021,0.0,0.0,21,0.0
NCL,1995,0.0,2022,0.0,0.0,27,0.0
NER,2000,0.0,2021,0.0,0.0,21,0.0
NGA,1965,0.0,2022,0.0,0.0,57,0.0
NIC,2000,0.0,2021,0.0,0.0,21,0.0
NIU,2000,0.0,2021,0.0,0.0,21,0.0
NLD,1965,33.72166185781176,2022,56.00077983312925,22.27911797531749,57,0.39086171886521914
NOR,1965,57.85480395449402,2022,96.92631919473261,39.0715152402386,57,0.6854651796533087
NPL,2000,0.0,2021,0.0,0.0,21,0.0
NRU,2000,0.0,2021,0.0,0.0,21,0.0
NZL,1965,30.850341657329913,2022,44.93927483494892,14.088933177619005,57,0.24717426627401762
OMN,1965,0.16399346589593436,2022,90.7514791562962,90.58748569040027,57,1.589254134919303
PAK,1965,1.586070145504987,2022,4.242753225394122,2.6566830798891345,57,0.04660847508577429
PAN,2000,0.0,2021,0.0,0.0,21,0.0
PER,1965,4.668869749691053,2022,9.835474135025157,5.166604385334104,57,0.09064218219884393
PHL,1965,1.6700149255287324,2022,5.066785186778471,3.396770261249739,57,0.05959246072367963
