Code,Year,ConsumptionTotal,GDP 2015 PPP,IntensidadeEnergetica
ARE,1975,23.859208,94151635504.27412,0.2534125708195147
ARE,1976,30.190234000000004,109711941202.1312,0.2751772839783966
ARE,1977,49.63149800000001,133233446512.59114,0.3725153052714103
ARE,1978,57.50081,131115563223.58812,0.4385506082290574
ARE,1979,67.560383,158549623910.0161,0.42611506311956626
ARE,1980,108.15641,196402989739.97333,0.5506861689997341
ARE,1981,125.928367,205553752025.1046,0.6126298632808228
ARE,1982,135.96598,191741945494.95215,0.7091092126400662
ARE,1983,130.51528000000002,182642216555.1355,0.714595357314887
ARE,1984,162.54679,189978865410.12592,0.8556045939588826
ARE,1985,201.63353,183150119704.9962,1.100919455170302
ARE,1986,244.38721,155754274681.41776,1.5690561976541155
ARE,1987,273.07709,161021855762.14236,1.6959007751306936
ARE,1988,301.88252,156804841976.73343,1.925211723020601
ARE,1989,340.16493,176151252905.14224,1.9310957168336433
ARE,1990,344.9527,208436229054.9234,1.6549555783275287
ARE,1991,420.83745,210228951429.4857,2.001805399011163
ARE,1992,406.69564,217260993938.4288,1.8719220262577667
ARE,1993,423.47035,220001069935.1135,1.9248558660414568
ARE,1994,464.67412,235172670530.5868,1.9758848634563768
ARE,1995,484.87098,250900751729.1577,1.932521033350304
ARE,1996,499.68792,265448991107.30743,1.882425387700953
ARE,1997,521.45639,287190321666.8993,1.8157171417664162
ARE,1998,534.11288,288028901176.1382,1.8543725224066117
ARE,1999,538.36894,296388115246.596,1.8164322801947541
ARE,2000,535.7819,328554240715.60474,1.6307258698991216
ARE,2001,541.56600388,333150993913.9592,1.6255872375391047
ARE,2002,591.6931297,341258079464.1457,1.7338582301966166
ARE,2003,631.1552997,371290636031.41016,1.6998955493361971
ARE,2004,675.0653756,406809919467.0694,1.659412279042634
ARE,2005,704.5980775,426561115457.78656,1.6518103783178253
ARE,2006,741.2929506,468523296414.7141,1.5821901627359922
ARE,2007,818.3610275,483442906227.10767,1.692776989710461
ARE,2008,938.4004644,498873612282.3157,1.881038486094457
ARE,2009,925.575259188,472718058377.3434,1.9579858285193052
ARE,2010,972.49168622,480295020004.42535,2.024779865947891
ARE,2011,1020.931305654,510150743511.45935,2.0012345735825967
ARE,2012,1074.099763,519458345820.2457,2.0677303033873735
ARE,2013,1133.244621469,545719872372.2198,2.0766050108141316
ARE,2014,1130.8770994345,568452880578.8679,1.9893946148762645
ARE,2015,1229.609114833,607032486510.4591,2.025606770901896
ARE,2016,1278.22257387,640792542127.3906,1.9947525756563615
ARE,2017,1229.6725674000002,645502807620.8678,1.9049840726986287
ARE,2018,1213.7157938,653984158615.0973,1.855879500766827
ARE,2019,1242.453895,661232579866.0112,1.8789967899823758
ARE,2020,1170.879241,628454934154.6503,1.8631077223937746
ARE,2021,1309.515885750555,655822608702.9158,1.9967531896171011
ARE,2022,1402.70826132111,707307425643.9161,1.9831663156146242
ARG,1965,328.5276051,315476531885.5213,1.0413693948531635
ARG,1966,339.1747314,313395250642.4772,1.0822586835782402
ARG,1967,349.03223410000004,323398816460.8552,1.0792625585945752
ARG,1968,360.844419,338994726905.00543,1.064454371590026
ARG,1969,372.9106755,371807809670.9591,1.0029662255615797
ARG,1970,353.3070067,383131749386.3592,0.9221553871895821
ARG,1971,374.5533598,404809845982.82153,0.9252575339185167
ARG,1972,379.205224,411401836382.3461,0.9217392594416534
ARG,1973,396.266299,422969444131.2502,0.9368674368757378
ARG,1974,412.0831503,446375745823.3645,0.923175495433539
ARG,1975,402.366917,446248921083.52,0.9016647390945578
ARG,1976,422.519335,437242495464.8968,0.966327242622558
