Year,Population,Code
1950,0.0,ATA
1951,0.0,ATA
1952,0.0,ATA
1953,0.0,ATA
1954,0.0,ATA
1955,0.0,ATA
1956,0.0,ATA
1957,0.0,ATA
1958,0.0,ATA
1959,0.0,ATA
1960,0.0,ATA
1961,0.0,ATA
1962,0.0,ATA
1963,0.0,ATA
1964,0.0,ATA
1965,0.0,ATA
1966,0.0,ATA
1967,0.0,ATA
1968,0.0,ATA
1969,0.0,ATA
1970,0.0,ATA
1971,0.0,ATA
1972,0.0,ATA
1973,0.0,ATA
1974,0.0,ATA
1975,0.0,ATA
1976,0.0,ATA
1977,0.0,ATA
1978,0.0,ATA
1979,0.0,ATA
1980,0.0,ATA
1981,0.0,ATA
1982,0.0,ATA
1983,0.0,ATA
1984,0.0,ATA
1985,0.0,ATA
1986,0.0,ATA
1987,0.0,ATA
1988,0.0,ATA
1989,0.0,ATA
1990,0.0,ATA
1991,0.0,ATA
1992,0.0,ATA
1993,0.0,ATA
1994,0.0,ATA
1995,0.0,ATA
1996,0.0,ATA
1997,0.0,ATA
1998,0.0,ATA
1999,0.0,ATA
2000,0.0,ATA
2001,0.0,ATA
2002,0.0,ATA
2003,0.0,ATA
2004,0.0,ATA
2005,0.0,ATA
2006,0.0,ATA
2007,0.0,ATA
2008,0.0,ATA
2009,0.0,ATA
2010,0.0,ATA
2011,0.0,ATA
2012,0.0,ATA
2013,0.0,ATA
2014,0.0,ATA
2015,0.0,ATA
2016,0.0,ATA
2017,0.0,ATA
2018,0.0,ATA
2019,0.0,ATA
2020,0.0,ATA
2021,0.0,ATA
2022,0.0,ATA
2023,0.0,ATA
2024,0.0,ATA
2025,0.0,ATA
2026,0.0,ATA
2027,0.0,ATA
2028,0.0,ATA
2029,0.0,ATA
2030,0.0,ATA
2031,0.0,ATA
2032,0.0,ATA
2033,0.0,ATA
2034,0.0,ATA
2035,0.0,ATA
2036,0.0,ATA
2037,0.0,ATA
2038,0.0,ATA
2039,0.0,ATA
2040,0.0,ATA
2041,0.0,ATA
2042,0.0,ATA
2043,0.0,ATA
2044,0.0,ATA
2045,0.0,ATA
2046,0.0,ATA
2047,0.0,ATA
2048,0.0,ATA
2049,0.0,ATA
2050,0.0,ATA
2051,0.0,ATA
2052,0.0,ATA
2053,0.0,ATA
2054,0.0,ATA
2055,0.0,ATA
2056,0.0,ATA
2057,0.0,ATA
2058,0.0,ATA
2059,0.0,ATA
2060,0.0,ATA
2061,0.0,ATA
2062,0.0,ATA
2063,0.0,ATA
2064,0.0,ATA
2065,0.0,ATA
2066,0.0,ATA
2067,0.0,ATA
2068,0.0,ATA
2069,0.0,ATA
2070,0.0,ATA
2071,0.0,ATA
2072,0.0,ATA
2073,0.0,ATA
2074,0.0,ATA
2075,0.0,ATA
2076,0.0,ATA
2077,0.0,ATA
