Code,Year,Entity,Population,GDP_2010_dolar,GDP_PPP_2010_dolar,Consumption
DZA,1965,Algeria,12381256.0,0.0,0.0,24.8326473
DZA,1966,Algeria,12613389.0,0.0,0.0,29.8325261
DZA,1967,Algeria,12897115.0,0.0,0.0,28.2474075
DZA,1968,Algeria,13190975.0,0.0,0.0,30.344985999999995
DZA,1969,Algeria,13491016.0,0.0,0.0,33.53919
DZA,1970,Algeria,13795915.0,0.0,0.0,36.7588999
DZA,1971,Algeria,14110271.0,0.0,0.0,39.73284636
DZA,1972,Algeria,14439748.0,0.0,0.0,44.647848700000004
DZA,1973,Algeria,14786469.0,0.0,0.0,53.2506787
DZA,1974,Algeria,15153602.0,0.0,0.0,58.9089356
DZA,1975,Algeria,15724692.0,0.0,0.0,70.3696825
DZA,1976,Algeria,16500516.0,0.0,0.0,82.10210880000001
DZA,1977,Algeria,17134192.0,0.0,0.0,90.2126
DZA,1978,Algeria,17632645.0,0.0,0.0,113.36147126
DZA,1979,Algeria,18166981.0,0.0,0.0,148.5402139
DZA,1980,Algeria,18739378.0,115598968399.59224,245264943934.76044,177.14294605
DZA,1981,Algeria,19351357.0,109822750462.1072,250709805914.9723,215.1861821
DZA,1982,Algeria,20000096.0,104369747606.61444,266723206266.3185,248.1121178
DZA,1983,Algeria,20682111.0,107320962900.5059,283021246205.7336,176809.25166247
DZA,1984,Algeria,21393530.0,111521272433.3064,296887799514.9556,260.19619900000004
DZA,1985,Algeria,22132905.0,127799762685.40204,312320443403.59094,262.29657499999996
DZA,1986,Algeria,22882553.0,126276421455.93867,312123465134.0996,277.49055226
DZA,1987,Algeria,23586101.0,125382692307.6923,306563653846.1539,285.1681025
DZA,1988,Algeria,24243018.0,98264340909.09093,298962181818.1818,305.4218292
DZA,1989,Algeria,24889507.0,95359298102.98103,310595383468.8347,297.0682694
DZA,1990,Algeria,25518074.0,106521064267.3522,308097359897.17224,314.97372858
DZA,1991,Algeria,26133905.0,77101949413.94202,302077078346.6996,312.09508274
DZA,1992,Algeria,26748303.0,78924027544.91019,304695463473.054,320.22688683999996
DZA,1993,Algeria,27354327.0,79348205813.95349,296479511627.907,297.9949821999999
DZA,1994,Algeria,27937006.0,64408632653.061226,292598826530.61224,301.92110628
DZA,1995,Algeria,28478022.0,62101845644.98347,301678028665.93164,313.14482885999996
DZA,1996,Algeria,28984634.0,67295502141.32763,309657369379.015,309.92473357999995
DZA,1997,Algeria,29476031.0,67514748299.319725,311296829931.9728,297.85975415999997
DZA,1998,Algeria,29924668.0,66519311340.20619,325909839175.2577,308.3489778
DZA,1999,Algeria,30346083.0,65964150277.35754,333796561775.08826,311.43417489999996
DZA,2000,Algeria,30774621.0,71520888780.48781,342649446829.2684,299.94564749999995
DZA,2001,Algeria,31200985.0,69547964895.63568,350745587286.5275,310.8129775
DZA,2002,Algeria,31624696.0,70964499533.14659,370274132586.3679,321.95053361
DZA,2003,Algeria,32055883.0,82986206392.69408,395443996347.032,336.92212275
DZA,2004,Algeria,32510186.0,101603248554.91331,412440578034.6821,349.77780473
DZA,2005,Algeria,32956690.0,118866341505.37634,435655888172.043,366.27153359999994
DZA,2006,Algeria,33435080.0,130582627500.00002,442138915833.3334,379.22004
DZA,2007,Algeria,33983827.0,146462076985.4133,456399343598.0551,399.63976226
DZA,2008,Algeria,34569592.0,178673694108.46664,458603581740.14825,423.55692636
DZA,2009,Algeria,35196037.0,143708148786.2177,471297592012.5294,448.8593175
DZA,2010,Algeria,35856344.0,166299054699.53775,486038431432.9738,438.99489530000005
DZA,2011,Algeria,36543541.0,200251000000.0,494947000000.0,464.4882946
DZA,2012,Algeria,37260563.0,204851811928.284,487321529454.8116,507.67185550000005
DZA,2013,Algeria,38000626.0,202569019112.8741,480927466282.00507,536.9768133299999
DZA,2014,Algeria,38760168.0,203187785663.5912,480989897090.1349,585.6132799999999
DZA,2015,Algeria,39543154.0,157509483345.1453,452999547838.4125,379463.29311
DZA,2016,Algeria,40339329.0,150007368568.42844,441848441022.0512,616.9958538000001
DZA,2017,Algeria,41136546.0,156207795065.1131,445845701165.1816,394854.16966690007
DZA,2018,Algeria,41927007.0,157015321297.225,450752794383.1494,6480.546467900001
DZA,2019,Algeria,42705368.0,150501136662.28647,454417186596.5835,694.884802
DZA,2020,Algeria,43451666.0,125420101265.82278,427175333333.3334,654.4135035
DZA,2021,Algeria,44177969.0,0.0,0.0,684.5840690999999
ARG,1965,Argentina,22053661.0,0.0,0.0,41521.2848849
ARG,1966,Argentina,22403116.0,0.0,0.0,339.16493549999996
ARG,1967,Argentina,22757014.0,0.0,0.0,349.0211064
ARG,1968,Argentina,23112971.0,0.0,0.0,360.8298392
ARG,1969,Argentina,23472028.0,0.0,0.0,372.89756
ARG,1970,Argentina,23842803.0,0.0,0.0,353.472982
ARG,1971,Argentina,24223379.0,0.0,0.0,374.7283
ARG,1972,Argentina,24612794.0,0.0,0.0,379.4345687
ARG,1973,Argentina,25020588.0,0.0,0.0,396.497896
ARG,1974,Argentina,25449754.0,0.0,0.0,412.25111660000005
ARG,1975,Argentina,25875558.0,0.0,0.0,87840.48756899999
ARG,1976,Argentina,26290257.0,0.0,0.0,422.67382200000003
ARG,1977,Argentina,26713780.0,0.0,0.0,441.4316124
ARG,1978,Argentina,27146121.0,0.0,0.0,442.0869
ARG,1979,Argentina,27584134.0,0.0,0.0,474.6961083
ARG,1980,Argentina,28024803.0,637959111111.1111,471480872579.001,471.97909400000003
ARG,1981,Argentina,28471285.0,469768720887.24585,441038384473.1978,458.0036329999999
ARG,1982,Argentina,28922762.0,219670583115.75284,427095550913.8381,466.51276900000005
ARG,1983,Argentina,29377137.0,262532062394.60373,446029254637.4368,143495.05294999998
ARG,1984,Argentina,29832197.0,282616679062.24744,451934690379.95154,487.49117060000003
ARG,1985,Argentina,30287112.0,206126558938.32944,418917804839.9688,481.63234600000004
ARG,1986,Argentina,30748326.0,243308099616.85825,449468953256.70496,508.85787300000004
ARG,1987,Argentina,31216453.0,240784288461.53848,455814615384.6154,531.810436
ARG,1988,Argentina,31690792.0,270816553977.27277,444255093750.0,540.711141
ARG,1989,Argentina,32165766.0,165745701897.01898,409545306233.0624,206873.855108
ARG,1990,Argentina,32637657.0,271971897172.2365,397638251928.02057,513.0083279999999
ARG,1991,Argentina,33105763.0,350203431215.2992,436028292412.0913,521.320407
ARG,1992,Argentina,33568285.0,410178195209.5809,477463346107.7845,559.295993
ARG,1993,Argentina,34027240.0,411709803488.3721,504233146511.628,577.8158470000001
ARG,1994,Argentina,34488696.0,436973996598.63947,531428149659.864,608.7478110000001
ARG,1995,Argentina,34946110.0,425906816979.0518,512603745314.2227,628.2230736
ARG,1996,Argentina,35389362.0,436224408993.57605,534914730192.71954,657.1017260000001
ARG,1997,Argentina,35815971.0,458855891156.4626,575037088435.3741,664.7417647000001
ARG,1998,Argentina,36233195.0,461394552577.3197,594872146391.7527,688.4117490000001
ARG,1999,Argentina,36653031.0,428099164901.6642,570388340897.6299,315082.21796099993
ARG,2000,Argentina,37070774.0,415101757073.1708,559628844878.0488,698.7369050000001
ARG,2001,Argentina,37480493.0,381654382352.9412,531646519924.0987,682.4707642
ARG,2002,Argentina,37885028.0,140598750700.28012,473583421101.7741,654.4199756
ARG,2003,Argentina,38278164.0,174169049315.0685,514056162557.0777,701.425384
ARG,2004,Argentina,38668796.0,196368011560.6937,559854416184.9712,744.8173260000001
ARG,2005,Argentina,39070501.0,229528212473.1183,607851864086.0215,790.6010429999999
ARG,2006,Argentina,39476851.0,259868656666.6667,655497407500.0001,406929.06439749995
ARG,2007,Argentina,39876111.0,312419950567.2609,713522066450.5673,427561.66030499997
ARG,2008,Argentina,40273769.0,379857007413.1877,728855889972.6882,878.034032
ARG,2009,Argentina,40684338.0,350879864526.2334,693381804228.661,853.5406849999999
ARG,2010,Argentina,40788453.0,438144939137.1341,759988753466.8722,328714.74100000004
ARG,2011,Argentina,41261490.0,527644000000.0,797264000000.0,909.3514460000001
ARG,2012,Argentina,41733271.0,568000566410.538,803202065129.8939,944.952695
ARG,2013,Argentina,42202935.0,590522660656.329,820509068878.4711,982.8564180000001
ARG,2014,Argentina,42669500.0,535613304471.2562,798170392476.934,979.857829
ARG,2015,Argentina,43131966.0,609680578313.253,822927004252.3033,996.5343789999998
ARG,2016,Argentina,43590368.0,521890364718.236,829765692684.6343,991.6914270000001
ARG,2017,Argentina,44044811.0,590904646333.1049,953847984235.7778,990.5849149999999
ARG,2018,Argentina,44494502.0,463115824807.7566,928464659311.2672,983.4817119999999
ARG,2019,Argentina,44938712.0,391017911957.9501,909196835742.444,930.807308
ARG,2020,Argentina,45376763.0,337491451476.7933,818652691983.1224,880.8595909999999
ARG,2021,Argentina,45808747.0,0.0,0.0,953.4125710000001
AUS,1965,Australia,11388000.0,0.0,0.0,425.76002299999993
AUS,1966,Australia,11651000.0,0.0,0.0,446.10153999999994
AUS,1967,Australia,11799000.0,0.0,0.0,473.09304
AUS,1968,Australia,12009000.0,0.0,0.0,501.69375099999996
AUS,1969,Australia,12263000.0,0.0,0.0,522.428251
AUS,1970,Australia,12507000.0,0.0,0.0,570.10162
AUS,1971,Australia,12937000.0,0.0,0.0,598.807612
AUS,1972,Australia,13177000.0,0.0,0.0,626.095028
