Entity,Code,Year,Source,Consumption,Classification
Algeria,DZA,1965,Coal,0.8141,Combustiveis Fosseis
Algeria,DZA,1966,Coal,0.79084,Combustiveis Fosseis
Algeria,DZA,1967,Coal,0.60476,Combustiveis Fosseis
Algeria,DZA,1968,Coal,0.63965,Combustiveis Fosseis
Algeria,DZA,1969,Coal,0.8141,Combustiveis Fosseis
Algeria,DZA,1970,Coal,0.96529,Combustiveis Fosseis
Algeria,DZA,1971,Coal,0.26749,Combustiveis Fosseis
Algeria,DZA,1972,Coal,0.2326,Combustiveis Fosseis
Algeria,DZA,1973,Coal,0.26749,Combustiveis Fosseis
Algeria,DZA,1974,Coal,0.22097,Combustiveis Fosseis
Algeria,DZA,1975,Coal,0.27912,Combustiveis Fosseis
Algeria,DZA,1976,Coal,0.54661,Combustiveis Fosseis
Algeria,DZA,1977,Coal,0.70943,Combustiveis Fosseis
Algeria,DZA,1978,Coal,0.36053,Combustiveis Fosseis
Algeria,DZA,1979,Coal,0.83736,Combustiveis Fosseis
Algeria,DZA,1980,Coal,0.74432,Combustiveis Fosseis
Algeria,DZA,1981,Coal,0.52335,Combustiveis Fosseis
Algeria,DZA,1982,Coal,9.71105,Combustiveis Fosseis
Algeria,DZA,1983,Coal,8.66435,Combustiveis Fosseis
Algeria,DZA,1984,Coal,9.60638,Combustiveis Fosseis
Algeria,DZA,1985,Coal,10.02506,Combustiveis Fosseis
Algeria,DZA,1986,Coal,10.29255,Combustiveis Fosseis
Algeria,DZA,1987,Coal,12.30454,Combustiveis Fosseis
Algeria,DZA,1988,Coal,11.57185,Combustiveis Fosseis
Algeria,DZA,1989,Coal,9.78083,Combustiveis Fosseis
Algeria,DZA,1990,Coal,7.66417,Combustiveis Fosseis
Algeria,DZA,1991,Coal,7.9084,Combustiveis Fosseis
Algeria,DZA,1992,Coal,9.39704,Combustiveis Fosseis
Algeria,DZA,1993,Coal,7.65254,Combustiveis Fosseis
Algeria,DZA,1994,Coal,7.2106,Combustiveis Fosseis
Algeria,DZA,1995,Coal,7.2106,Combustiveis Fosseis
Algeria,DZA,1996,Coal,3.39596,Combustiveis Fosseis
Algeria,DZA,1997,Coal,5.95456,Combustiveis Fosseis
Algeria,DZA,1998,Coal,6.37324,Combustiveis Fosseis
Algeria,DZA,1999,Coal,6.82681,Combustiveis Fosseis
Algeria,DZA,2000,Coal,5.64055,Combustiveis Fosseis
Algeria,DZA,2001,Coal,6.5128,Combustiveis Fosseis
Algeria,DZA,2002,Coal,8.54805,Combustiveis Fosseis
Algeria,DZA,2003,Coal,7.04778,Combustiveis Fosseis
Algeria,DZA,2004,Coal,8.40849,Combustiveis Fosseis
Algeria,DZA,2005,Coal,6.90822,Combustiveis Fosseis
Algeria,DZA,2006,Coal,10.25766,Combustiveis Fosseis
Algeria,DZA,2007,Coal,8.80391,Combustiveis Fosseis
Algeria,DZA,2008,Coal,8.80391,Combustiveis Fosseis
Algeria,DZA,2009,Coal,5.65218,Combustiveis Fosseis
Algeria,DZA,2010,Coal,3.6053,Combustiveis Fosseis
Algeria,DZA,2011,Coal,3.19825,Combustiveis Fosseis
Algeria,DZA,2012,Coal,3.39596,Combustiveis Fosseis
Algeria,DZA,2013,Coal,1.83754,Combustiveis Fosseis
Algeria,DZA,2014,Coal,2.08177,Combustiveis Fosseis
Algeria,DZA,2015,Coal,1.54679,Combustiveis Fosseis
Algeria,DZA,2016,Coal,0.56987,Combustiveis Fosseis
Algeria,DZA,2017,Coal,2.11666,Combustiveis Fosseis
Algeria,DZA,2018,Coal,5815.0,Combustiveis Fosseis
Algeria,DZA,2019,Coal,4.80319,Combustiveis Fosseis
Algeria,DZA,2020,Coal,4.8163495,Combustiveis Fosseis
Algeria,DZA,2021,Coal,4.80319,Combustiveis Fosseis
Argentina,ARG,1965,Coal,8.4550495,Combustiveis Fosseis
Argentina,ARG,1966,Coal,6.9718184,Combustiveis Fosseis
Argentina,ARG,1967,Coal,7.840397,Combustiveis Fosseis
Argentina,ARG,1968,Coal,7.6190352,Combustiveis Fosseis
Argentina,ARG,1969,Coal,9.12217,Combustiveis Fosseis
Argentina,ARG,1970,Coal,11.722598,Combustiveis Fosseis
Argentina,ARG,1971,Coal,10.277542,Combustiveis Fosseis
Argentina,ARG,1972,Coal,8.651295,Combustiveis Fosseis
Argentina,ARG,1973,Coal,9.496522,Combustiveis Fosseis
Argentina,ARG,1974,Coal,11.825922,Combustiveis Fosseis
Argentina,ARG,1975,Coal,11.510941,Combustiveis Fosseis
Argentina,ARG,1976,Coal,11.642586,Combustiveis Fosseis
Argentina,ARG,1977,Coal,11.008503,Combustiveis Fosseis
Argentina,ARG,1978,Coal,13.419195,Combustiveis Fosseis
Argentina,ARG,1979,Coal,12.501674,Combustiveis Fosseis
Argentina,ARG,1980,Coal,11.144589,Combustiveis Fosseis
Argentina,ARG,1981,Coal,10.560467,Combustiveis Fosseis
Argentina,ARG,1982,Coal,10.666076,Combustiveis Fosseis
Argentina,ARG,1983,Coal,9.679963,Combustiveis Fosseis
Argentina,ARG,1984,Coal,7.1852236,Combustiveis Fosseis
Argentina,ARG,1985,Coal,10.599606,Combustiveis Fosseis
Argentina,ARG,1986,Coal,12.109349,Combustiveis Fosseis
Argentina,ARG,1987,Coal,13.439672,Combustiveis Fosseis
Argentina,ARG,1988,Coal,13.772349,Combustiveis Fosseis
Argentina,ARG,1989,Coal,14.902768,Combustiveis Fosseis
Argentina,ARG,1990,Coal,12.266132,Combustiveis Fosseis
Argentina,ARG,1991,Coal,10.794012,Combustiveis Fosseis
Argentina,ARG,1992,Coal,12.168163,Combustiveis Fosseis
Argentina,ARG,1993,Coal,8.069987,Combustiveis Fosseis
Argentina,ARG,1994,Coal,7.065107,Combustiveis Fosseis
Argentina,ARG,1995,Coal,7.4141526,Combustiveis Fosseis
Argentina,ARG,1996,Coal,7.766816,Combustiveis Fosseis
Argentina,ARG,1997,Coal,6.1277137,Combustiveis Fosseis
Argentina,ARG,1998,Coal,8.23741,Combustiveis Fosseis
Argentina,ARG,1999,Coal,9.885469,Combustiveis Fosseis
Argentina,ARG,2000,Coal,7.512647,Combustiveis Fosseis
Argentina,ARG,2001,Coal,6.1568522,Combustiveis Fosseis
Argentina,ARG,2002,Coal,4.5862966,Combustiveis Fosseis
Argentina,ARG,2003,Coal,5.593865,Combustiveis Fosseis
Argentina,ARG,2004,Coal,9.519819,Combustiveis Fosseis
Argentina,ARG,2005,Coal,10.961645,Combustiveis Fosseis
Argentina,ARG,2006,Coal,9.9238205,Combustiveis Fosseis
Argentina,ARG,2007,Coal,14.360361,Combustiveis Fosseis
Argentina,ARG,2008,Coal,17.51607,Combustiveis Fosseis
Argentina,ARG,2009,Coal,9.620938,Combustiveis Fosseis
Argentina,ARG,2010,Coal,13.47208,Combustiveis Fosseis
Argentina,ARG,2011,Coal,14.618646,Combustiveis Fosseis
Argentina,ARG,2012,Coal,13.669181,Combustiveis Fosseis
Argentina,ARG,2013,Coal,14.939302,Combustiveis Fosseis
Argentina,ARG,2014,Coal,15.891717,Combustiveis Fosseis
Argentina,ARG,2015,Coal,15.814129,Combustiveis Fosseis
Argentina,ARG,2016,Coal,12.188642,Combustiveis Fosseis
Argentina,ARG,2017,Coal,12.525288,Combustiveis Fosseis
Argentina,ARG,2018,Coal,13.709147,Combustiveis Fosseis
Argentina,ARG,2019,Coal,8.123962,Combustiveis Fosseis
Argentina,ARG,2020,Coal,10.015326,Combustiveis Fosseis
Argentina,ARG,2021,Coal,18.253904,Combustiveis Fosseis
Australia,AUS,1965,Coal,202.02777,Combustiveis Fosseis
Australia,AUS,1966,Coal,209.38889,Combustiveis Fosseis
Australia,AUS,1967,Coal,215.25,Combustiveis Fosseis
Australia,AUS,1968,Coal,221.69444,Combustiveis Fosseis
Australia,AUS,1969,Coal,229.27777,Combustiveis Fosseis
Australia,AUS,1970,Coal,231.69444,Combustiveis Fosseis
Australia,AUS,1971,Coal,232.56944,Combustiveis Fosseis
Australia,AUS,1972,Coal,242.93056,Combustiveis Fosseis
Australia,AUS,1973,Coal,252.98611,Combustiveis Fosseis
Australia,AUS,1974,Coal,264.06946,Combustiveis Fosseis
