Source,CodeNumeric,Year,CO2 Emission,Code
Coal,15,1949,14656.0,AFG
Coal,15,1950,21068.0,AFG
Coal,15,1951,25648.0,AFG
Coal,15,1952,31707.998,AFG
Coal,15,1953,37949.0,AFG
Coal,15,1954,42502.0,AFG
Coal,15,1955,62288.0,AFG
Coal,15,1956,62288.0,AFG
Coal,15,1957,76944.0,AFG
Coal,15,1958,91600.0,AFG
Coal,15,1959,109920.0,AFG
Coal,15,1960,127115.0,AFG
Coal,15,1961,175872.0,AFG
Coal,15,1962,296784.0,AFG
Coal,15,1963,263808.0,AFG
Coal,15,1964,300448.0,AFG
Coal,15,1965,381056.0,AFG
Coal,15,1966,428688.0,AFG
Coal,15,1967,399376.0,AFG
Coal,15,1968,332429.0,AFG
Coal,15,1969,362736.0,AFG
Coal,15,1970,436974.0,AFG
Coal,15,1971,359072.0,AFG
Coal,15,1972,190528.0,AFG
Coal,15,1973,310745.0,AFG
Coal,15,1974,304695.0,AFG
Coal,15,1975,398689.0,AFG
Coal,15,1976,425024.0,AFG
Coal,15,1977,450672.0,AFG
Coal,15,1978,576226.0,AFG
Coal,15,1979,351744.0,AFG
Coal,15,1980,315762.0,AFG
Coal,15,1981,333424.0,AFG
Coal,15,1982,384720.0,AFG
Coal,15,1983,384720.0,AFG
Coal,15,1984,392556.0,AFG
Coal,15,1985,399794.0,AFG
Coal,15,1986,425024.0,AFG
Coal,15,1987,442824.0,AFG
Coal,15,1988,366400.0,AFG
Coal,15,1989,337088.0,AFG
Coal,15,1990,278464.0,AFG
Coal,15,1991,249627.0,AFG
Coal,15,1992,21984.0,AFG
Coal,15,1993,18320.0,AFG
Coal,15,1994,14693.0,AFG
Coal,15,1995,14656.0,AFG
Coal,15,1996,7328.0,AFG
Coal,15,1997,3664.0,AFG
Coal,15,1998,3664.0,AFG
Coal,15,1999,3664.0,AFG
Coal,15,2000,3664.0,AFG
Coal,15,2001,69616.0,AFG
Coal,15,2002,55109.0,AFG
Coal,15,2003,91813.0,AFG
Coal,15,2004,91600.0,AFG
Coal,15,2005,106256.0,AFG
Coal,15,2006,160944.0,AFG
Coal,15,2007,747456.0,AFG
Coal,15,2008,1078145.0,AFG
Coal,15,2009,1514100.0,AFG
Coal,15,2010,2246032.0,AFG
Coal,15,2011,4180624.0,AFG
Coal,15,2012,3125392.0,AFG
Coal,15,2013,3326912.0,AFG
Coal,15,2014,3705783.0,AFG
Coal,15,2015,2843264.0,AFG
Coal,15,2016,2878736.0,AFG
Coal,15,2017,3447824.0,AFG
Coal,15,2018,3847200.0,AFG
Coal,15,2019,3954767.0,AFG
Coal,15,2020,4150072.0,AFG
Coal,15,2021,4203536.0,AFG
Coal,16,1933,0.0,ALB
Coal,16,1934,0.0,ALB
Coal,16,1935,0.0,ALB
Coal,16,1936,0.0,ALB
Coal,16,1937,0.0,ALB
Coal,16,1938,0.0,ALB
Coal,16,1939,0.0,ALB
