Code,Year,GDP 2015 PPP,GDP 2022 (2015 USD PPP),GDP 2022 (2017 USD PPP),Multiplier
ALB,1960,0.0,14319794712.62677,43032145215.430275,3.0050811536764424
DZA,1960,67190713438.06237,179602019799.3934,502836797680.8245,2.7997279665477506
AGO,1960,0.0,84884003207.67839,210192674041.07547,2.4762342266871546
ATG,1960,0.0,1625386015.5663264,2092965498.6233954,1.287672884212771
ARG,1960,261742104377.90726,598312841626.6625,1038500903537.0753,1.7357155509376199
ARM,1960,0.0,14225451502.938084,44646008687.24302,3.1384598708885942
ABW,1960,0.0,3458629953.8575096,4393369954.478044,1.2702630848316083
AUS,1960,171340007583.28906,1586172577281.9646,1328629886582.1914,0.8376326167855622
AUT,1960,101607520937.0107,422235060667.7145,505142751774.37897,1.1963543505258798
AZE,1960,0.0,56692460618.264046,153082546341.84137,2.70022759062471
BHS,1960,2499671469.1546555,12415913222.114647,14211478928.315609,1.1446180940603534
BHR,1960,0.0,35915819622.23451,76342224646.34322,2.1255877061784165
BGD,1960,78070564000.88712,305522973769.77783,1072141041304.6641,3.5091994165799116
BRB,1960,0.0,4671803289.539002,4342050281.818505,0.9294163329909731
BLR,1960,0.0,57251844490.04911,176183357453.7714,3.0773394119100157
BEL,1960,129537298671.98245,516334013910.15607,622703765727.1161,1.2060095770399288
BLZ,1960,218002289.59185335,2509307581.4663134,3839427623.501786,1.5300745320580498
BEN,1960,4517242581.605196,16765953415.373268,45869379412.79815,2.7358646583581083
BMU,1960,1285367393.7682166,6757261642.8850765,5156616135.794429,0.7631221652078523
BOL,1960,12433654254.369442,38319728331.377884,100778443555.23866,2.629936274175431
BIH,1960,0.0,20253843510.489414,54120255478.634735,2.672098036632207
BWA,1960,473881323.18623435,17511419429.825825,40818645769.76409,2.330972993556473
BRA,1960,322107528849.2017,1901461002548.223,3249826771296.481,1.7091209164643713
BRN,1960,0.0,13000432684.362951,26342902750.901257,2.026309692183304
BGR,1960,0.0,61747770024.9603,174307363231.7279,2.822893250416455
BFA,1960,3438467097.407816,16610125161.12291,48949444177.88855,2.9469641982263894
BDI,1960,2156898086.47172,3379450965.724945,9128118191.935005,2.7010654347449248
CPV,1960,0.0,2072800252.318005,4376993313.836453,2.1116329510967966
KHM,1960,0.0,24964207155.80371,76023115594.85773,3.045284599682701
CMR,1960,12466902931.336714,40247035778.39087,103940677455.943,2.582567273482288
CAN,1960,277711259435.3535,1761102321572.639,1919103211766.6484,1.0897170415702575
CYM,1960,0.0,5561542246.168983,4902440234.204242,0.8814893454385323
CAF,1960,2215051121.627208,2034662228.5854633,4597115265.385968,2.259399717948257
TCD,1960,4061035732.013766,10462164584.338987,25037208134.91984,2.3931193141807876
CHL,1960,48281302853.03968,281423471715.4019,507464611471.7903,1.803206421904209
CHN,1960,250010631493.31805,16325084918817.193,25684414532114.31,1.573309704656362
COL,1960,69855339421.31232,354949695739.65753,810103779460.959,2.282305884986982
COM,1960,0.0,1140337215.429494,2715974855.8402495,2.3817295613011376
COD,1960,41057473718.42551,52355494607.56282,112144335466.7943,2.1419783407144988
COG,1960,2714593928.222664,10175228552.173552,21912647905.44046,2.153528816879465
CRI,1960,7877579965.085498,69549856034.35025,114345667442.27005,1.6440820148613309
CIV,1960,12515030391.644108,68438760123.05962,155935333630.81125,2.2784652052495424
HRV,1960,0.0,64042742435.41905,132256136091.92622,2.0651229329426957
CUW,1960,0.0,2608023260.7895446,3467150360.5245,1.3294169621304934
CYP,1960,0.0,27902745979.207535,41068271475.657196,1.4718361951279024
CZE,1960,0.0,215974795467.24942,438115477819.058,2.028549103941595
