Code,Year,Population
ABW,1960,54608.0
ABW,1961,55811.0
ABW,1962,56682.0
ABW,1963,57475.0
ABW,1964,58178.0
ABW,1965,58782.0
ABW,1966,59291.0
ABW,1967,59522.0
ABW,1968,59471.0
ABW,1969,59330.0
ABW,1970,59106.0
ABW,1971,58816.0
ABW,1972,58855.0
ABW,1973,59365.0
ABW,1974,60028.0
ABW,1975,60715.0
ABW,1976,61193.0
ABW,1977,61465.0
ABW,1978,61738.0
ABW,1979,62006.0
ABW,1980,62267.0
ABW,1981,62614.0
ABW,1982,63116.0
ABW,1983,63683.0
ABW,1984,64174.0
ABW,1985,64478.0
ABW,1986,64553.0
ABW,1987,64450.0
ABW,1988,64332.0
ABW,1989,64596.0
ABW,1990,65712.0
ABW,1991,67864.0
ABW,1992,70192.0
ABW,1993,72360.0
ABW,1994,74710.0
ABW,1995,77050.0
ABW,1996,79417.0
ABW,1997,81858.0
ABW,1998,84355.0
ABW,1999,86867.0
ABW,2000,89101.0
ABW,2001,90691.0
ABW,2002,91781.0
ABW,2003,92701.0
ABW,2004,93540.0
ABW,2005,94483.0
ABW,2006,95606.0
ABW,2007,96787.0
ABW,2008,97996.0
ABW,2009,99212.0
ABW,2010,100341.0
ABW,2011,101288.0
ABW,2012,102112.0
ABW,2013,102880.0
ABW,2014,103594.0
ABW,2015,104257.0
ABW,2016,104874.0
ABW,2017,105439.0
ABW,2018,105962.0
ABW,2019,106442.0
ABW,2020,106585.0
ABW,2021,106537.0
ABW,2022,106445.0
AFG,1960,8622466.0
AFG,1961,8790140.0
AFG,1962,8969047.0
AFG,1963,9157465.0
AFG,1964,9355514.0
AFG,1965,9565147.0
AFG,1966,9783147.0
AFG,1967,10010030.0
AFG,1968,10247780.0
AFG,1969,10494489.0
AFG,1970,10752971.0
AFG,1971,11015857.0
AFG,1972,11286753.0
AFG,1973,11575305.0
AFG,1974,11869879.0
AFG,1975,12157386.0
AFG,1976,12425267.0
AFG,1977,12687301.0
AFG,1978,12938862.0
AFG,1979,12986369.0
AFG,1980,12486631.0
AFG,1981,11155195.0
AFG,1982,10088289.0
AFG,1983,9951449.0
AFG,1984,10243686.0
AFG,1985,10512221.0
AFG,1986,10448442.0
AFG,1987,10322758.0
AFG,1988,10383460.0
AFG,1989,10673168.0
AFG,1990,10694796.0
AFG,1991,10745167.0
AFG,1992,12057433.0
AFG,1993,14003760.0
AFG,1994,15455555.0
AFG,1995,16418912.0
AFG,1996,17106595.0
AFG,1997,17788819.0
AFG,1998,18493132.0
AFG,1999,19262847.0
AFG,2000,19542982.0
AFG,2001,19688632.0
AFG,2002,21000256.0
AFG,2003,22645130.0
AFG,2004,23553551.0
AFG,2005,24411191.0
AFG,2006,25442944.0
AFG,2007,25903301.0
AFG,2008,26427199.0
AFG,2009,27385307.0
AFG,2010,28189672.0
AFG,2011,29249157.0
AFG,2012,30466479.0
AFG,2013,31541209.0
AFG,2014,32716210.0
AFG,2015,33753499.0
AFG,2016,34636207.0
AFG,2017,35643418.0
AFG,2018,36686784.0
AFG,2019,37769499.0
AFG,2020,38972230.0
AFG,2021,40099462.0
AFG,2022,41128771.0
AGO,1960,5357195.0
AGO,1961,5441333.0
AGO,1962,5521400.0
AGO,1963,5599827.0
AGO,1964,5673199.0
AGO,1965,5736582.0
AGO,1966,5787044.0
AGO,1967,5827503.0
AGO,1968,5868203.0
AGO,1969,5928386.0
AGO,1970,6029700.0
AGO,1971,6177049.0
AGO,1972,6364731.0
AGO,1973,6578230.0
AGO,1974,6802494.0
AGO,1975,7032713.0
AGO,1976,7266780.0
AGO,1977,7511895.0
AGO,1978,7771590.0
AGO,1979,8043218.0
AGO,1980,8330047.0
AGO,1981,8631457.0
AGO,1982,8947152.0
AGO,1983,9276707.0
AGO,1984,9617702.0
AGO,1985,9970621.0
AGO,1986,10332574.0
AGO,1987,10694057.0
AGO,1988,11060261.0
AGO,1989,11439498.0
AGO,1990,11828638.0
AGO,1991,12228691.0
AGO,1992,12632507.0
AGO,1993,13038270.0
AGO,1994,13462031.0
AGO,1995,13912253.0
AGO,1996,14383350.0
AGO,1997,14871146.0
AGO,1998,15366864.0
AGO,1999,15870753.0
AGO,2000,16394062.0
AGO,2001,16941587.0
AGO,2002,17516139.0
AGO,2003,18124342.0
AGO,2004,18771125.0
AGO,2005,19450959.0
AGO,2006,20162340.0
AGO,2007,20909684.0
AGO,2008,21691522.0
AGO,2009,22507674.0
AGO,2010,23364185.0
AGO,2011,24259111.0
AGO,2012,25188292.0
AGO,2013,26147002.0
AGO,2014,27128337.0
AGO,2015,28127721.0
AGO,2016,29154746.0
AGO,2017,30208628.0
AGO,2018,31273533.0
AGO,2019,32353588.0
AGO,2020,33428486.0
AGO,2021,34503774.0
AGO,2022,35588987.0
ALB,1960,1608800.0
ALB,1961,1659800.0
ALB,1962,1711319.0
ALB,1963,1762621.0
ALB,1964,1814135.0
ALB,1965,1864791.0
ALB,1966,1914573.0
ALB,1967,1965598.0
ALB,1968,2022272.0
ALB,1969,2081695.0
ALB,1970,2135479.0
ALB,1971,2187853.0
ALB,1972,2243126.0
ALB,1973,2296752.0
ALB,1974,2350124.0
ALB,1975,2404831.0
ALB,1976,2458526.0
ALB,1977,2513546.0
ALB,1978,2566266.0
ALB,1979,2617832.0
ALB,1980,2671997.0
ALB,1981,2726056.0
ALB,1982,2784278.0
ALB,1983,2843960.0
ALB,1984,2904429.0
ALB,1985,2964762.0
ALB,1986,3022635.0
ALB,1987,3083605.0
ALB,1988,3142336.0
ALB,1989,3227943.0
ALB,1990,3286542.0
