Source,Year,Consumption,Classification,Code,Entity,Population,GDP_2010_dolar,GDP_PPP_2010_dolar
Coal,1965,0.81409997,Combustiveis Fosseis,DZA,Algeria,12381256.0,0.0,0.0
Coal,1966,0.79083997,Combustiveis Fosseis,DZA,Algeria,12613389.0,0.0,0.0
Coal,1967,0.60476,Combustiveis Fosseis,DZA,Algeria,12897115.0,0.0,0.0
Coal,1968,0.63965,Combustiveis Fosseis,DZA,Algeria,13190975.0,0.0,0.0
Coal,1969,0.81409997,Combustiveis Fosseis,DZA,Algeria,13491016.0,0.0,0.0
Coal,1970,0.96528995,Combustiveis Fosseis,DZA,Algeria,13795915.0,0.0,0.0
Coal,1971,0.26749,Combustiveis Fosseis,DZA,Algeria,14110271.0,0.0,0.0
Coal,1972,0.23259999,Combustiveis Fosseis,DZA,Algeria,14439748.0,0.0,0.0
Coal,1973,0.26749,Combustiveis Fosseis,DZA,Algeria,14786469.0,0.0,0.0
Coal,1974,0.22096999,Combustiveis Fosseis,DZA,Algeria,15153602.0,0.0,0.0
Coal,1975,0.27912,Combustiveis Fosseis,DZA,Algeria,15724692.0,0.0,0.0
Coal,1976,0.54660994,Combustiveis Fosseis,DZA,Algeria,16500516.0,0.0,0.0
Coal,1977,0.70943,Combustiveis Fosseis,DZA,Algeria,17134192.0,0.0,0.0
Coal,1978,0.36053,Combustiveis Fosseis,DZA,Algeria,17632645.0,0.0,0.0
Coal,1979,0.83736,Combustiveis Fosseis,DZA,Algeria,18166981.0,0.0,0.0
Coal,1980,0.74432,Combustiveis Fosseis,DZA,Algeria,18739378.0,115598968399.59224,245264943934.76044
Coal,1981,0.52335,Combustiveis Fosseis,DZA,Algeria,19351357.0,109822750462.1072,250709805914.9723
Coal,1982,9.711049,Combustiveis Fosseis,DZA,Algeria,20000096.0,104369747606.61444,266723206266.3185
Coal,1983,8.66435,Combustiveis Fosseis,DZA,Algeria,20682111.0,107320962900.5059,283021246205.7336
Coal,1984,9.60638,Combustiveis Fosseis,DZA,Algeria,21393530.0,111521272433.3064,296887799514.9556
Coal,1985,10.025061,Combustiveis Fosseis,DZA,Algeria,22132905.0,127799762685.40204,312320443403.59094
Coal,1986,10.292549,Combustiveis Fosseis,DZA,Algeria,22882553.0,126276421455.93867,312123465134.0996
Coal,1987,12.30454,Combustiveis Fosseis,DZA,Algeria,23586101.0,125382692307.6923,306563653846.1539
Coal,1988,11.571849,Combustiveis Fosseis,DZA,Algeria,24243018.0,98264340909.09093,298962181818.1818
Coal,1989,9.78083,Combustiveis Fosseis,DZA,Algeria,24889507.0,95359298102.98103,310595383468.8347
Coal,1990,7.66417,Combustiveis Fosseis,DZA,Algeria,25518074.0,106521064267.3522,308097359897.17224
Coal,1991,7.9084,Combustiveis Fosseis,DZA,Algeria,26133905.0,77101949413.94202,302077078346.6996
Coal,1992,9.397039,Combustiveis Fosseis,DZA,Algeria,26748303.0,78924027544.91019,304695463473.054
Coal,1993,7.6525397,Combustiveis Fosseis,DZA,Algeria,27354327.0,79348205813.95349,296479511627.907
Coal,1994,7.2106,Combustiveis Fosseis,DZA,Algeria,27937006.0,64408632653.061226,292598826530.61224
Coal,1995,7.2106,Combustiveis Fosseis,DZA,Algeria,28478022.0,62101845644.98347,301678028665.93164
Coal,1996,3.3959599,Combustiveis Fosseis,DZA,Algeria,28984634.0,67295502141.32763,309657369379.015
Coal,1997,5.95456,Combustiveis Fosseis,DZA,Algeria,29476031.0,67514748299.319725,311296829931.9728
Coal,1998,6.37324,Combustiveis Fosseis,DZA,Algeria,29924668.0,66519311340.20619,325909839175.2577
Coal,1999,6.82681,Combustiveis Fosseis,DZA,Algeria,30346083.0,65964150277.35754,333796561775.08826
Coal,2000,5.6405497,Combustiveis Fosseis,DZA,Algeria,30774621.0,71520888780.48781,342649446829.2684
Coal,2001,6.5127997,Combustiveis Fosseis,DZA,Algeria,31200985.0,69547964895.63568,350745587286.5275
Coal,2002,8.54805,Combustiveis Fosseis,DZA,Algeria,31624696.0,70964499533.14659,370274132586.3679
Coal,2003,7.0477796,Combustiveis Fosseis,DZA,Algeria,32055883.0,82986206392.69408,395443996347.032
Coal,2004,8.408489,Combustiveis Fosseis,DZA,Algeria,32510186.0,101603248554.91331,412440578034.6821
Coal,2005,6.9082203,Combustiveis Fosseis,DZA,Algeria,32956690.0,118866341505.37634,435655888172.043
Coal,2006,10.25766,Combustiveis Fosseis,DZA,Algeria,33435080.0,130582627500.00002,442138915833.3334
Coal,2007,8.80391,Combustiveis Fosseis,DZA,Algeria,33983827.0,146462076985.4133,456399343598.0551
Coal,2008,8.80391,Combustiveis Fosseis,DZA,Algeria,34569592.0,178673694108.46664,458603581740.14825
Coal,2009,5.65218,Combustiveis Fosseis,DZA,Algeria,35196037.0,143708148786.2177,471297592012.5294
Coal,2010,3.6053,Combustiveis Fosseis,DZA,Algeria,35856344.0,166299054699.53775,486038431432.9738
Coal,2011,3.1982498,Combustiveis Fosseis,DZA,Algeria,36543541.0,200251000000.0,494947000000.0
Coal,2012,3.3959599,Combustiveis Fosseis,DZA,Algeria,37260563.0,204851811928.284,487321529454.8116
Coal,2013,1.83754,Combustiveis Fosseis,DZA,Algeria,38000626.0,202569019112.8741,480927466282.00507
Coal,2014,2.08177,Combustiveis Fosseis,DZA,Algeria,38760168.0,203187785663.5912,480989897090.1349
Coal,2015,1.5467899,Combustiveis Fosseis,DZA,Algeria,39543154.0,157509483345.1453,452999547838.4125
Coal,2016,0.56987,Combustiveis Fosseis,DZA,Algeria,40339329.0,150007368568.42844,441848441022.0512
Coal,2017,2.1166599,Combustiveis Fosseis,DZA,Algeria,41136546.0,156207795065.1131,445845701165.1816
Coal,2018,5.815,Combustiveis Fosseis,DZA,Algeria,41927007.0,157015321297.225,450752794383.1494
Coal,2019,4.80319,Combustiveis Fosseis,DZA,Algeria,42705368.0,150501136662.28647,454417186596.5835
Coal,2020,1.52353,Combustiveis Fosseis,DZA,Algeria,43451666.0,125420101265.82278,427175333333.3334
Coal,2021,3.10521,Combustiveis Fosseis,DZA,Algeria,44177969.0,0.0,0.0
Coal,1965,8.4550495,Combustiveis Fosseis,ARG,Argentina,22053661.0,0.0,0.0
